fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2013-12-31,USD,2353000000,23060000000,20707000000,20707000000,1153000000,406000000,86000000,1200000000,None,None,None,305000000,None,None,None,1026000000,-1816000000,123000000,None,None,None,-969000000,57000000,-2285000000
2014-12-31,USD,3437000000,23945000000,20508000000,20508000000,2224000000,383000000,95000000,1213000000,None,None,None,309000000,None,None,None,954000000,497000000,284000000,None,-347000000,None,1388000000,2342000000,268000000
2015-12-31,USD,1401000000,11220000000,9819000000,9819000000,991000000,353000000,69000000,410000000,None,None,346000000,270000000,None,None,None,780000000,-337000000,402000000,None,-739000000,None,-67000000,713000000,-863000000
2016-12-31,USD,709000000,9325000000,8616000000,8616000000,385000000,359000000,33000000,324000000,None,-243000000,330000000,243000000,None,89000000,None,718000000,-162000000,184000000,None,-346000000,None,81000000,799000000,-400000000
2017-12-31,USD,2020000000,11780000000,9760000000,9760000000,1708000000,284000000,32000000,312000000,None,-104000000,164000000,104000000,None,58000000,None,752000000,1159000000,592000000,None,559000000,None,1261000000,2013000000,217000000
2018-12-31,USD,2694000000,13517000000,10823000000,10823000000,2415000000,248000000,31000000,279000000,None,-122000000,57000000,122000000,None,-64000000,None,733000000,1625000000,732000000,None,871000000,None,1747000000,2480000000,250000000
2019-12-31,USD,1202000000,10495000000,9293000000,9293000000,895000000,280000000,27000000,307000000,None,-121000000,185000000,121000000,None,-162000000,None,713000000,-438000000,415000000,None,-853000000,None,-317000000,396000000,-1125000000
2020-12-31,USD,765000000,9372000000,8607000000,8607000000,532000000,206000000,27000000,233000000,None,-146000000,146000000,146000000,None,-8000000,None,653000000,173000000,187000000,None,-14000000,None,319000000,972000000,-170000000
2021-12-31,USD,2622000000,12437000000,9815000000,9815000000,2364000000,227000000,31000000,258000000,None,-195000000,195000000,195000000,None,445000000,None,664000000,1199000000,629000000,None,570000000,None,1394000000,2058000000,429000000
2022-12-31,USD,1933000000,12762000000,10829000000,10829000000,1697000000,204000000,32000000,236000000,None,-106000000,106000000,106000000,None,118000000,None,617000000,702000000,664000000,None,59000000,None,808000000,1425000000,-123000000
2023-12-31,USD,241000000,10706000000,10465000000,10465000000,-24000000,226000000,39000000,265000000,None,-107000000,276000000,107000000,None,None,None,632000000,-584000000,189000000,None,-773000000,None,-477000000,155000000,-651000000
2024-12-31,USD,1498000000,11895000000,10686000000,10686000000,1166000000,275000000,57000000,332000000,None,-156000000,248000000,156000000,None,None,None,642000000,289000000,265000000,None,24000000,None,445000000,1087000000,60000000
2025-12-31,USD,1729000000,12831000000,11007000000,11007000000,971000000,299000000,24000000,758000000,None,-158000000,158000000,158000000,None,None,None,623000000,1083000000,-49000000,None,1119000000,None,1241000000,1864000000,1148000000
