fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,10624900000,2463000000,70700000,70700000,552400000,1605400000,8161900000,5989000000,None,92700000,92700000,916200000,None,None,None,234500000,None,5735600000,1729700000,1285900000,None,None,335700000,4005900000,None,2272400000,None,None,2608100000,-850800000,None,4708800000,-1142800000,5426400000,249400000,227100000
2006-03-31,USD,11032500000,2563000000,73900000,73900000,567800000,1814100000,8469500000,6155100000,None,97500000,97500000,1002700000,None,None,None,107200000,None,5873100000,1894000000,1231600000,None,None,453600000,3979100000,None,2349200000,None,None,2802800000,-763900000,None,4967700000,-1083700000,5553700000,249400000,228500000
2006-06-30,USD,11290800000,2612500000,60500000,60500000,581100000,1845100000,8678300000,6284400000,None,114500000,114500000,1031500000,None,None,None,125800000,None,6073000000,2061200000,1326200000,None,None,572800000,4011800000,None,2406700000,None,None,2979500000,162200000,None,5046600000,-1257300000,5688300000,249400000,229200000
2006-09-30,USD,11180700000,2612600000,35200000,35200000,492300000,1997900000,8568100000,6162000000,None,113000000,113000000,989100000,None,None,None,87200000,None,6078700000,2323400000,1655100000,None,None,569600000,3755300000,None,2280200000,None,None,2849800000,98700000,None,4924000000,-1529700000,5743500000,249400000,223400000
2006-12-31,USD,11500000000,2650100000,64500000,64500000,536400000,2049200000,8849900000,6264200000,None,114100000,114100000,1007600000,None,None,None,144200000,None,6199700000,2406000000,1483900000,None,None,814200000,3793700000,None,2336000000,None,None,3150200000,-666500000,None,5111500000,-1607600000,5901400000,249400000,223400000
2007-03-31,USD,11878000000,2908700000,37300000,37300000,530700000,2113500000,8969300000,6335700000,None,111200000,111200000,1009900000,None,None,None,227200000,None,6423100000,2262300000,1506600000,None,None,609400000,4160800000,None,2704500000,None,None,3313900000,-682700000,None,5276500000,-1642400000,6054400000,249400000,223400000
2007-06-30,USD,12568800000,3014900000,31700000,31700000,541100000,2084100000,9553900000,6626400000,None,266100000,266100000,1158300000,None,None,None,358000000,None,6936500000,2723500000,1535700000,None,None,1029600000,4213000000,None,2749300000,None,None,3778900000,158200000,None,5456300000,-1711900000,6247600000,249400000,223100000
2007-09-30,USD,12659500000,2858400000,42300000,42300000,486600000,1818600000,9801100000,6770000000,None,276200000,276200000,1229600000,None,None,None,512700000,None,6986600000,2422700000,1550900000,None,None,694400000,4563900000,None,2976500000,None,None,3677200000,87200000,None,5495600000,-1828900000,6458500000,249400000,222300000
2007-12-31,USD,13014300000,2863800000,96500000,96500000,517300000,1865300000,10150500000,6700300000,None,282400000,282400000,1236600000,None,None,None,384700000,None,7227800000,2224600000,1502300000,None,None,559800000,5003200000,None,3415600000,None,None,3975400000,-783800000,None,5603000000,-1959200000,6625500000,249400000,222300000
2008-03-31,USD,13228400000,2991500000,138800000,138800000,533700000,2209600000,10236900000,6856400000,None,306100000,306100000,1280500000,None,None,None,109400000,None,7586700000,2453700000,1569500000,None,None,740400000,5133000000,None,3646400000,None,None,4386800000,-861100000,None,5524300000,-2313600000,6846000000,249400000,219200000
