fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2013-12-31,USD,None,None,None,None,-27778,27778,None,27778,None,None,None,None,None,None,None,None,-27778,None,None,None,None,None,-27778,-27778
2014-03-31,USD,None,None,None,None,-14525,14525,None,14525,None,None,None,None,None,None,None,None,-14525,None,None,None,None,None,-14525,-14525
2014-06-30,USD,None,None,None,None,-28529,28529,None,28529,None,None,None,None,None,None,None,-718,-27811,None,None,None,None,-27811,-28529,-27811
2014-09-30,USD,None,None,None,None,-14120,14120,None,14120,None,None,None,None,None,None,None,4696,-18817,1,None,None,None,-14120,-9424,-18817
2014-12-31,USD,-250,None,250,250,-28000,27750,None,28000,None,None,None,None,None,None,None,250,-28718,2218,None,None,None,-28000,-27750,-28718
2015-03-31,USD,853,13200,12347,12347,-19603,20456,None,20456,None,None,None,None,None,None,None,4417,-19603,-2285,None,None,None,-19603,-15186,-17318
2015-06-30,USD,32579,32591,12,12,-143583,163412,None,176162,None,None,None,None,None,None,None,12750,-143407,8501,None,None,None,-143583,-130833,-151908
2015-09-30,USD,-31225,16638,47863,47863,-207675,163700,None,176450,None,None,None,None,None,None,None,12750,-246743,-26112,None,None,None,-207675,-194925,-220631
2015-12-31,USD,66230,84865,18635,18635,-2808,56288,None,69038,None,None,None,None,None,None,None,12750,-18568,24090,None,None,None,-2308,10442,-42658
2016-03-31,USD,24533,59997,35464,35464,-27471,39254,1187861,52004,None,None,None,None,None,None,None,12750,-1353,730,None,None,None,-1354,11396,-2083
2016-06-30,USD,18142,39938,21796,21796,-51734,57126,168250,69876,None,None,None,None,None,None,None,12750,-28537,-77505,None,None,None,-28538,-15788,48968
2016-09-30,USD,-42546,-37518,5028,5028,-229264,186468,None,186718,None,None,None,None,None,None,None,250,-672082,None,None,None,None,-229264,-229014,-721858
2016-12-31,USD,20170,56129,35959,35959,-16563,36483,105970,36733,None,None,None,None,None,None,None,250,-15279,5293,None,None,None,-16563,-16313,-20572
2017-03-31,USD,-371375,6612081,6983456,6983456,-2933133,438492,1795205,2561758,None,None,None,128533,None,None,None,459644,-3040610,0,None,-3040610,None,-2933133,-2473489,-3217588
2017-06-30,USD,-1914754,4369998,6284752,6284752,-4072105,145455,1498190,2157351,None,None,None,96754,None,None,None,699644,-4076276,0,None,-3134873.49,None,-4072105,-3372461,-4140872
2017-09-30,USD,-8336,4351968,4360304,4360304,-1554562,171652,1035286,1546226,None,None,None,342683,None,None,None,697214,-1741799,0,None,-1741799,None,-1554562,-857348,-1809643
2017-12-31,USD,688878,4351968,3663090,3663090,-1584617,1206938,1035286,2243440,None,None,None,342683,None,None,None,697154,-1741799,67844,None,-5322763,None,-1399056,-701902,-1809643
2018-03-31,USD,902155,7325376,6423221,6423221,-2463543,2438365,1687173,3365698,None,None,None,247154,None,None,None,479571,-2541012,128514,None,-2541012,None,-2293858,-1814287,-2669526
2018-06-30,USD,1625241,7023040,5397799,5397799,-2224802,2752296,2032201,3850043,None,None,None,311295,None,0,None,649985,-1837915,22764,None,-2139100.33,None,-1078857,-428872,-1860679
2018-09-30,USD,1305903,9038268,7732365,7732365,-4181513,4116277,2188833,5487416,None,None,None,305655,None,0,None,831368,-3611226,1181597,None,-3611226,None,-2765802,-1934434,-3611226
2018-12-31,USD,-1455514,8138141,9593655,9593655,-3434438,4140869,2092972,1978924,None,None,None,1095487,None,0,None,979434,-4767159,0,None,-4767159,None,-3434438,-2455004,-4767145
2019-03-31,USD,-909397,6994276,7903673,7903673,-9891406,7306601,1600117,8982009,None,-417979,283680,459150,None,0,None,1353707,-10065620,-14,None,-10065620,None,-9606470,-8252763,-10065620
2019-06-30,USD,3083601,9342126,6258525,6258525,-3354276,4510300,2887448,6437877,None,-3275935,41172,3317107,None,0,None,1607479,-8961042,3531636,None,-8961042,None,-5643935,-4036456,-8961042
2019-09-30,USD,-2057175,1847279,3904454,3904454,-7076252,3030506,1425024,5019077,None,-1038685,82343,1121028,None,None,None,1667671,-7344532,1891433,None,-7344532,None,-6223504,-4555833,-7344532
2019-12-31,USD,-7565263,6294026,13859289,13859289,-12338694,2929718,1324063,4773431,None,-1236805,0,1236805,None,None,None,1616952,-40047543,None,None,-40047543,None,-12338694,-10721742,-40047543
2020-03-31,USD,-1491083,524334,2015417,2015417,-4255076,1165130,128159,2763993,None,-418297,82343,500640,None,None,None,1228276,-3261368,1912645,None,-3261368,None,-2760728,-1532452,-3261368
2020-06-30,USD,-525547,226836,752383,752383,-2810938,1307834,307247,2285391,None,-975590,41171,1016761,None,None,None,606970,1308237,-709423,None,1308237,None,2324998,2931968,1308237
