fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,82358000,193771000,111413000,111413000,29216000,53142000,2884000,53142000,None,None,None,0,None,None,None,6674000,26552000,11074000,None,None,None,29216000,35890000,15448000
2007-12-31,USD,95730000,216662000,120932000,120932000,36013000,59717000,2013000,59717000,None,None,None,0,None,None,None,10088000,30526000,11798000,None,None,None,36013000,46101000,18728000
2008-12-31,USD,101131000,237538000,136407000,136407000,36144000,64987000,3410000,64987000,None,None,None,4300000,None,None,None,11613000,32173000,12154000,None,None,None,36219000,47832000,20019000
2009-12-31,USD,60426000,209329000,148903000,148903000,-6329000,34066000,10630000,66755000,None,None,None,3253000,None,None,None,13487000,-9538000,-3749000,None,None,None,-6329000,7158000,-5789000
2010-12-31,USD,89082000,229620000,140538000,140538000,19191000,34842000,12635000,69891000,None,None,None,3017000,None,None,None,14381000,16174000,5190000,None,None,None,4810000,19191000,10984000
2011-12-31,USD,123068000,304429000,181361000,181361000,39226000,42483000,18041000,83842000,None,None,None,3460000,None,-543000,None,13546000,35223000,13155000,None,22068000,None,38682430,52228430,22068000
2012-12-31,USD,161125000,366190000,205065000,205065000,59323000,29715000,20750000,101802000,None,None,None,1751000,None,1000,None,13487000,56852000,20026000,None,36826000,None,58603000,72090000,36867000
2013-12-31,USD,171347000,381021000,209674000,209674000,55735000,33536000,21644000,115612000,None,None,None,1190000,None,-985000,None,14845000,53834000,18916000,None,34918000,None,55024000,69869000,34449000
2014-12-31,USD,114496000,298634000,184138000,184138000,6710000,27057000,21206000,107786000,None,None,None,2488000,None,19000,None,16332000,3644000,-451000,None,4066000,None,6132000,22464000,4841000
2015-12-31,USD,111902000,289382000,177480000,177480000,11524000,28516000,18808000,100378000,None,None,2562000,2136000,None,None,None,16474000,8962000,2009000,None,6953000,None,11459000,27933000,6591000
2016-12-31,USD,128288000,312113000,183825000,183825000,20540000,32128000,21298000,107748000,None,-1586000,7000,1630000,None,None,None,16327000,18917000,5540000,None,13377000,None,20547000,36874000,12788000
2017-12-31,USD,147392000,355047000,207655000,207655000,26794000,37660000,26076000,120598000,None,-1859000,41000,1982000,None,None,None,16958000,24853000,4443000,None,20410000,None,32016000,48974000,20274000
2018-12-31,USD,182631000,454272000,271641000,271641000,39021000,42981000,26428000,143610000,None,-3629000,174000,4198000,None,-1401000,None,18893000,33596000,9145000,None,24451000,None,43668000,62561000,24195000
2019-12-31,USD,177354000,468186000,290832000,290832000,26221000,46593000,24070000,151133000,None,-7060000,182000,7391000,None,None,None,18643000,18803000,5202000,None,13810000,None,26221000,44864000,13601000
2020-12-31,USD,172590000,458704000,286114000,286114000,22908000,36084000,26310000,149682000,None,-5178000,5178000,5267000,None,None,None,19902000,18322000,3080000,None,15242000,None,23391000,43293000,15242000
2021-12-31,USD,170723000,557676000,386953000,386953000,30946000,105892000,28855000,139777000,None,-3687000,4477000,3687000,None,None,None,26172000,26753000,8166000,None,18975000,None,30828000,57000000,18587000
2022-12-31,USD,241352000,609615000,368263000,368263000,40651000,53456000,31816000,200701000,None,-3954000,4686000,4121000,None,None,None,22138000,35965000,8561000,None,27404000,None,40651000,62789000,27404000
2023-12-31,USD,179164000,579371000,400207000,400207000,23295000,111151000,38025000,155869000,None,-9980000,368000,12639000,None,None,None,21780000,10297000,2778000,None,4438000,None,22936000,44716000,7519000
2024-12-31,USD,120317000,547306000,426989000,426989000,-101555000,115523001,32662000,221872000,None,-16547000,18903000,16777000,None,None,None,22548000,-120458000,5882000,None,-126340000,None,-31979000,-9431000,-126340000
2025-12-31,USD,135438000,515114000,379676000,379676000,6580000,98510000,23161000,128858000,None,-18470000,106000,18576000,None,None,None,18742000,-47203000,2679000,None,-49882000,None,6580000,25322000,-49882000
