fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,87200000,711500000,624300000,624300000,60500000,None,None,26700000,None,None,None,41600000,None,None,None,12400000,42500000,200000,None,None,None,63500000,75900000,21700000
2006-03-31,USD,90900000,674600000,583700000,583700000,67900000,47300000,None,23000000,None,None,None,20600000,None,None,None,14300000,50600000,1700000,None,None,None,69100000,83400000,46800000
2006-06-30,USD,93700000,686400000,592700000,592700000,63500000,49900000,None,30200000,None,None,None,18900000,None,None,None,14300000,44800000,2400000,None,None,None,63700000,78000000,42400000
2006-09-30,USD,77800000,666200000,588400000,588400000,36400000,51600000,None,41700000,None,None,None,20800000,None,None,None,14200000,21100000,1500000,None,None,None,36400000,50600000,19600000
2006-12-31,USD,77200000,595200000,518000000,518000000,22400000,None,None,54200000,None,None,None,24800000,None,None,None,14300000,3400000,-11600000,None,None,None,23000000,37300000,14400000
2007-03-31,USD,95100000,657800000,562700000,562700000,26500000,61000000,None,68600000,None,None,None,16200000,None,None,None,14100000,11200000,3800000,None,None,None,26500000,40600000,7400000
2007-06-30,USD,94700000,688800000,594100000,594100000,12400000,66200000,None,82300000,None,None,None,29300000,None,None,None,14500000,-9800000,-4400000,None,None,None,12400000,26900000,-5400000
2007-09-30,USD,41800000,664800000,623000000,623000000,-23600000,63000000,None,65400000,None,None,None,28900000,None,None,None,14100000,-43200000,-45500000,None,None,None,-23600000,-9500000,2300000
2007-12-31,USD,74800000,631300000,556500000,556500000,18600000,None,None,56200000,None,None,None,11300000,None,None,None,14700000,9400000,2300000,None,None,None,18600000,33300000,7100000
2008-03-31,USD,96300000,713700000,617400000,617400000,20100000,68500000,None,76200000,None,None,None,12400000,None,None,None,15800000,9700000,3200000,None,None,None,20100000,35900000,6500000
2008-06-30,USD,88500000,748100000,659600000,659600000,24000000,75000000,None,64500000,None,None,None,11200000,None,None,None,15900000,13500000,4700000,None,None,None,8100000,24000000,8800000
2008-09-30,USD,65200000,735100000,669900000,669900000,1300000,69700000,None,63900000,None,None,None,9700000,None,None,None,20100000,-8400000,-2800000,None,None,None,-18800000,1300000,-5600000
2008-12-31,USD,58000000,541800000,483800000,483800000,-174700000,None,None,93900000,None,None,None,181900000,None,None,None,16200000,-185900000,96700000,None,None,None,-175900000,-159700000,-282600000
2009-03-31,USD,59200000,463400000,404200000,404200000,-2700000,70200000,None,70200000,None,None,None,8800000,None,None,None,20000000,-18100000,-8800000,None,None,None,-22700000,-2700000,-9300000
2009-06-30,USD,86300000,496500000,410200000,410200000,19300000,77100000,None,87200000,None,None,None,8800000,None,None,None,14000000,9800000,6300000,None,None,None,13200000,27200000,3500000
2009-09-30,USD,107300000,548300000,441000000,441000000,56200000,56300000,None,56300000,None,None,None,8500000,None,None,None,15800000,46500000,-3100000,None,None,None,53700000,69500000,49600000
2009-12-31,USD,87700000,552500000,464800000,464800000,25600000,None,None,68700000,None,None,None,8200000,None,None,None,15000000,16300000,-7700000,None,None,None,24500000,39500000,24000000
2010-03-31,USD,103500000,630400000,526900000,526900000,31100000,73900000,None,75400000,None,None,None,8000000,None,None,None,14000000,22400000,4000000,None,None,None,33000000,47000000,18400000
2010-06-30,USD,126700000,692900000,566200000,566200000,61500000,73000000,None,65200000,None,None,None,7700000,None,None,None,13800000,52600000,6900000,None,None,None,62700000,76500000,45700000
2010-09-30,USD,111200000,680800000,569600000,569600000,44600000,77100000,None,66600000,None,None,None,7500000,None,None,None,13700000,7400000,6400000,None,None,None,44600000,58300000,1000000
2010-12-31,USD,87500000,617800000,530300000,530300000,37100000,None,None,134400000,None,None,None,8300000,None,None,None,13700000,28600000,-68900000,None,None,None,36900000,50600000,97500000
2011-03-31,USD,122700000,718500000,595800000,595800000,179800000,76800000,None,76800000,None,None,None,8500000,None,-200000,None,14100000,171100000,60900000,None,110200000,None,179600000,193700000,110200000
2011-06-30,USD,129200000,768800000,639600000,639600000,50500000,78700000,None,78700000,None,None,None,8400000,None,1600000,None,14300000,43700000,15200000,None,28500000,None,52100000,66400000,28500000
2011-09-30,USD,114000000,735800000,621800000,621800000,42500000,71500000,None,71500000,None,None,None,8300000,None,-900000,None,14000000,33300000,11700000,None,21600000,None,41600000,55600000,21600000
2011-12-31,USD,96800000,640400000,543600000,543600000,-39800000,154700000,None,136600000,None,None,None,8500000,None,-1100000,None,15100000,-49400000,-61700000,None,12300000,None,-40900000,-25800000,12300000
2012-03-31,USD,140600000,781000000,640400000,640400000,44900000,96100000,None,95700000,None,None,None,12300000,None,-1100000,None,17700000,31500000,11300000,None,20200000,None,36100000,53800000,20200000
2012-06-30,USD,154700000,792000000,637300000,637300000,53100000,101600000,None,101600000,None,None,None,12400000,None,-1200000,None,17900000,39500000,14900000,None,24600000,None,42400000,60300000,24600000
2012-09-30,USD,142700000,740200000,597500000,597500000,50400000,92300000,None,92300000,None,None,None,12400000,None,-400000,None,17200000,37600000,13600000,None,24000000,None,43000000,60200000,24000000
2012-12-31,USD,126300000,679400000,553100000,553100000,18700000,130500000,None,130600000,None,None,None,13700000,None,-600000,None,17000000,4400000,1400000,None,3000000,None,18100000,35100000,3100000
2013-03-31,USD,162300000,801100000,638800000,638800000,40500000,121900000,None,121900000,None,None,None,15600000,None,1400000,None,19900000,15700000,4700000,None,21600000,None,41900000,61800000,15300000
2013-06-30,USD,203700000,1037600000,833900000,833900000,80700000,123000000,None,123000000,None,None,None,16600000,None,-1200000,None,25900000,62900000,24600000,None,62900000,None,79500000,105400000,180900000
2013-09-30,USD,181300000,1008900000,827600000,827600000,61600000,119700000,None,119700000,None,None,None,16000000,None,-1600000,None,25500000,38800000,15800000,None,38800000,None,59600000,85100000,23000000
2013-12-31,USD,114900000,923600000,808700000,808700000,48700000,93000000,52600000,93000000,None,None,None,15300000,None,-15600000,None,38500000,33600000,13000000,None,-30400000,None,48900000,87400000,24600000
