fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,1228100000,576100000,37400000,37400000,251100000,53900000,652000000,630100000,None,900000,900000,900000,None,None,179300000,54400000,None,458600000,341100000,171600000,None,None,125800000,117500000,None,4200000,None,None,4200000,163700000,None,755900000,None,19700000,600000,274999995
2006-03-31,USD,1300800000,642400000,38700000,38700000,331300000,70900000,658400000,619200000,None,900000,900000,900000,None,None,157600000,43900000,None,551400000,442400000,155900000,None,None,240900000,109000000,None,4200000,None,None,4200000,281500000,None,730000000,None,-6000000,600000,275000000
2006-06-30,USD,1182000000,540800000,24700000,24700000,202600000,85000000,641200000,608400000,None,900000,900000,900000,None,None,203300000,25200000,None,371600000,253800000,148100000,None,None,61000000,117800000,None,4400000,None,None,4400000,96600000,None,773000000,None,35500000,600000,275000000
2006-09-30,USD,1291800000,655300000,21400000,21400000,241400000,86500000,636500000,603200000,None,900000,900000,900000,None,None,284000000,22000000,None,469200000,342100000,145900000,None,None,139800000,127100000,None,4400000,None,None,4400000,187200000,None,780800000,None,41700000,600000,275000000
2006-12-31,USD,1290400000,633100000,25400000,25400000,176100000,113900000,657300000,597000000,None,900000,900000,900000,None,None,300200000,17500000,None,509800000,353400000,37400000,None,None,94700000,156400000,None,4200000,None,None,4200000,316000000,None,767000000,None,48600000,600000,275500000
2007-03-31,USD,1597700000,936700000,27800000,27800000,303700000,118500000,661000000,593900000,None,900000,900000,900000,None,None,463000000,23700000,None,746900000,580600000,194800000,None,None,314200000,166300000,None,4300000,None,None,4300000,375000000,None,829800000,None,104700000,600000,281000000
2007-06-30,USD,1587900000,923300000,59600000,59600000,180100000,158000000,664600000,596000000,None,900000,900000,900000,None,None,506000000,19600000,None,610800000,429400000,182000000,None,None,162900000,181400000,None,4600000,None,None,4600000,242600000,None,933800000,None,197200000,600000,283000000
2007-09-30,USD,1825300000,1138800000,53000000,53000000,236700000,149700000,686500000,618400000,None,900000,900000,900000,None,None,677400000,22000000,None,737700000,563700000,175400000,None,None,316700000,174000000,None,5000000,None,None,5000000,372300000,None,1028400000,None,282600000,600000,284500000
2007-12-31,USD,2012500000,1279100000,366500000,366500000,231700000,148700000,733400000,623600000,None,900000,900000,900000,None,None,494500000,37700000,None,808200000,629300000,59800000,None,None,124500000,178900000,None,4900000,None,None,4900000,388200000,None,1187000000,None,416800000,600000,283500000
2008-03-31,USD,2530600000,1516500000,852000000,852000000,444500000,154200000,1014100000,636400000,None,900000,900000,900000,None,None,None,65800000,None,1153000000,985900000,254300000,None,None,None,167100000,None,4800000,None,None,4800000,731600000,None,1342900000,None,570000000,600000,287500000
