fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,203244000,1641048000,1437804000,1437804000,121437000,80900000,None,81807000,None,None,None,9030000,None,None,None,11821000,94072000,190000,None,None,None,109616000,121437000,93882000
2007-12-31,USD,181356000,1637848000,1456492000,1456492000,101200000,77300000,None,-81586000,None,None,None,4717000,None,None,None,17775000,83375000,501000,None,None,None,262942000,280717000,82874000
2008-12-31,USD,253883000,2488994000,2235111000,2235111000,128740000,123600000,None,125143000,None,None,None,33938000,None,None,None,61729000,44694000,257000,None,None,None,78078000,139807000,44437000
2009-12-31,USD,173102000,1846600000,1673498000,1673498000,67360000,32570000,None,105742000,None,None,None,33573000,None,None,None,72663000,61936000,151000,None,None,None,92270000,164933000,60549000
2010-12-31,USD,198749000,2190752000,1992003000,1992003000,71490000,35224000,None,127259000,None,None,None,30497000,None,None,None,64151000,17299000,598000,None,None,None,71490000,135641000,16367000
2011-12-31,USD,274130000,3134923000,2860793000,2860793000,125292000,50836000,0,148838000,None,None,None,48747000,None,-32580000,None,74393000,43965000,929000,None,43036000,None,92010000,166403000,86072000
2012-12-31,USD,513177000,4657282000,4144105000,4144105000,285928000,168804000,0,227249000,None,None,None,85573000,None,6135000,None,91669000,206490000,753000,None,205737000,None,292031000,383700000,204538000
2013-12-31,USD,410000000,5421400000,5011400000,5011400000,91600000,224800000,0,318400000,None,None,None,96800000,None,9100000,None,117800000,3900000,400000,None,3500000,None,100700000,218500000,3300000
2014-12-31,USD,529700000,5791100000,5261400000,5261400000,46800000,269700000,0,446900000,None,None,None,110800000,None,-49000000,None,138600000,-113000000,-800000,None,-112200000,None,-91800000,46800000,-112200000
2015-12-31,USD,594600000,4212800000,3618200000,3618200000,75000000,311000000,0,485800000,None,None,136300000,104900000,None,-137900000,None,145400000,-167800000,-28400000,None,-139400000,None,48900000,194300000,-139400000
2016-12-31,USD,408300000,3599400000,3191100000,3191100000,-39700000,279800000,0,412300000,None,-161700000,165800000,161700000,None,-134900000,None,185200000,-336300000,-7700000,None,-328600000,None,-224900000,-39700000,-328600000
2017-12-31,USD,498200000,3763800000,3265600000,3265600000,158000000,275800000,0,368900000,None,-183100000,192700000,183100000,None,-6300000,None,179100000,-31400000,-100000,None,-31500000,None,151700000,330800000,-103800000
2018-12-31,USD,436700000,3497500000,3060800000,3060800000,122900000,259700000,0,318600000,None,-155500000,121700000,155500000,None,-17700000,None,130900000,-50300000,700000,None,-49600000,None,105200000,236100000,-55100000
2019-12-31,USD,451700000,3452600000,3000900000,3000900000,76300000,259600000,None,375400000,None,-134600000,125600000,134600000,None,15200000,None,110100000,-43100000,500000,None,-42600000,None,91500000,201600000,-43600000
2020-12-31,USD,99100000,2268200000,2169100000,2169100000,-71900000,91100000,None,171000000,None,-125900000,None,125900000,None,49900000,None,105100000,-147900000,1100000,None,-146800000,None,-22000000,83100000,-149000000
2021-12-31,USD,142900000,3148000000,3005100000,3005100000,-85600000,151100000,None,228500000,None,-149500000,None,149500000,None,-23500000,None,124700000,-258600000,1500000,None,-260100000,None,-109100000,15600000,-254900000
2022-12-31,USD,351700000,4686300000,4334600000,4334600000,131900000,143400000,None,219800000,None,-175900000,None,175900000,None,-125900000,None,98300000,-169900000,3400000,None,-171800000,None,6000000,104300000,-169800000
2023-12-31,USD,451700000,4181000000,3729300000,3729300000,267200000,133000000,None,184500000,None,-203600000,None,221700000,None,None,None,146800000,49700000,1600000,None,19100000,None,271400000,418200000,48100000
2024-12-31,USD,230800000,4189400000,3958600000,3958600000,8100000,145500000,None,222700000,None,-236700000,None,236700000,None,None,None,149000000,-221200000,800000,None,-222000000,None,15500000,164500000,-222000000
2025-12-31,USD,245700000,4137100000,3891400000,3891400000,54200000,123800000,None,191500000,None,-215800000,None,216000000,None,None,None,148800000,-126400000,-92600000,None,-33800000,None,89600000,238400000,-33800000
