fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,44950000,394091000,349141000,349141000,20634000,23686000,0,24142000,None,None,None,6190000,None,None,None,2972000,38779000,-11337000,None,0,None,20808000,23780000,32145000
2006-03-31,USD,50950000,397694000,346744000,346744000,31085000,19800000,0,19865000,None,None,None,3976000,None,None,None,2673000,3546000,14000,None,0,None,32078000,34751000,3831000
2006-06-30,USD,58075000,429925000,371850000,371850000,37200000,20700000,0,20875000,None,None,None,2157000,None,None,None,2961000,23207000,52000,None,0,None,38405000,41366000,23540000
2006-09-30,USD,51146000,444747000,393601000,393601000,29122000,21700000,0,22024000,None,None,None,1705000,None,None,None,2822000,35737000,64000,None,0,None,30364000,33186000,36087000
2006-12-31,USD,43073000,368682000,325609000,325609000,24032000,18800000,0,19041000,None,None,None,1192000,None,None,None,3365000,31584000,62000,None,0,None,24032000,27397000,31522000
2007-03-31,USD,55034000,351113000,296079000,296079000,34975000,19900000,0,20059000,None,None,None,1015000,None,None,None,4541000,28260000,50000,None,0,None,30434000,34975000,28210000
2007-06-30,USD,60471000,421726000,361255000,361255000,38942000,21400000,0,21529000,None,None,None,1113000,None,None,None,4775000,37673000,255000,None,0,None,34167000,38942000,37418000
2007-09-30,USD,37875000,428084000,390209000,390209000,17279000,18400000,0,20596000,None,None,None,1346000,None,None,None,4248000,9552000,96000,None,0,None,13031000,17279000,9456000
2007-12-31,USD,27975000,436925000,408950000,408950000,10004000,17700000,0,-143771000,None,None,None,1243000,None,None,None,4211000,7891000,100000,None,0,None,171746000,175957000,7791000
2008-03-31,USD,34834000,594723000,559889000,559889000,1444000,33200000,0,33390000,None,None,None,5166000,None,None,None,11680000,-3384000,8000,None,0,None,-10236000,1444000,-3392000
2008-06-30,USD,60882000,671220000,610338000,610338000,28946000,31600000,0,31936000,None,None,None,8536000,None,None,None,15250000,41959000,151000,None,0,None,13696000,28946000,41808000
2008-09-30,USD,76974000,724371000,647397000,647397000,41606000,35000000,0,35368000,None,None,None,10670000,None,None,None,16480000,-12367000,148000,None,0,None,25126000,41606000,-12515000
2008-12-31,USD,81193000,498679000,417486000,417486000,56744000,23800000,0,24449000,None,None,None,9565000,None,None,None,18319000,18485000,-51000,None,0,None,56744000,75063000,18536000
2009-03-31,USD,78971000,414264000,335293000,335293000,52951000,9322000,0,26020000,None,None,None,8644000,None,None,None,17732000,75720000,82000,None,0,None,84364000,102096000,75638000
2009-06-30,USD,18368000,444039000,425671000,425671000,-5801000,6939000,0,24169000,None,None,None,8447000,None,None,None,18084000,-25920000,67000,None,0,None,-23885000,-5801000,-25468000
