fiscalDateEnding,reportedEPS
1996-12-31,0.45
1997-12-31,0.5
1998-12-31,0.58
1999-12-31,0.66
2000-12-31,0.75
2001-12-31,0.73
2002-12-31,0.93
2003-12-31,1.04
2004-12-31,1.19
2005-12-31,1.34
2006-12-31,1.43
2007-12-31,1.66
2008-12-31,1.86
2009-12-31,1.99
2010-12-31,2.23
2011-12-31,2.54
2012-12-31,2.98
2013-12-31,3.54
2014-12-31,4.18
2015-12-31,4.38
2016-12-31,4.38
2017-12-31,4.69
2018-12-31,5.25
2019-12-31,5.82
2020-12-31,4.16
2021-12-31,4.82
2022-12-31,4.49
2023-12-31,5.21
2024-12-31,6.66
2025-12-31,7.54
2026-03-31,0
