fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2017-03-31,2017-06-09,-0.02,0,-0.02,None,pre-market
2017-06-30,2017-08-30,0.13,0,0.13,None,pre-market
2017-09-30,2017-11-13,0.11,0.08,0.03,37.5,post-market
2017-12-31,2018-03-21,0.19,0.11,0.08,72.7273,pre-market
2018-03-31,2018-05-10,0.16,0.15,0.01,6.6667,pre-market
2018-06-30,2018-08-09,0.28,0.27,0.01,3.7037,pre-market
2018-09-30,2018-11-06,0.26,0.25,0.01,4,pre-market
2018-12-31,2019-02-21,0.17,0.13,0.04,30.7692,pre-market
2019-03-31,2019-05-09,0.13,0.09,0.04,44.4444,pre-market
2019-06-30,2019-08-08,0.31,0.23,0.08,34.7826,pre-market
2019-09-30,2019-10-31,0.36,0.28,0.08,28.5714,pre-market
2019-12-31,2020-02-20,0.13,0.09,0.04,44.4444,pre-market
2020-03-31,2020-05-05,0.16,0.1,0.06,60,pre-market
2020-06-30,2020-07-30,0.22,0.19,0.03,15.7895,pre-market
2020-09-30,2020-10-30,0.2,0.24,-0.04,-16.6667,pre-market
2020-12-31,2021-03-09,0.61,0.11,0.5,454.5455,pre-market
2021-03-31,2021-05-06,0.04,0.0015,0.0385,2566.6667,pre-market
2021-06-30,2021-08-05,0.11,0.07,0.04,57.1429,pre-market
2021-09-30,2021-11-09,0.19,0.15,0.04,26.6667,pre-market
2021-12-31,2022-02-25,0.17,0.15,0.02,13.3333,pre-market
2022-03-31,2022-04-28,0.15,0.14,0.01,7.1429,post-market
2022-06-30,2022-07-29,0.22,0.18,0.04,22.2222,pre-market
2022-09-30,2022-11-01,0.23,0.24,-0.01,-4.1667,pre-market
2022-12-31,2023-02-28,0.25,0.23,0.02,8.6957,pre-market
2023-03-31,2023-05-04,0.06,0.05,0.01,20,pre-market
2023-06-30,2023-08-03,0.29,0.27,0.02,7.4074,pre-market
2023-09-30,2023-11-02,0.19,0.21,-0.02,-9.5238,pre-market
2023-12-31,2024-02-28,0.22,0.23,-0.01,-4.3478,pre-market
2024-03-31,2024-05-02,0.04,0.05,-0.01,-20,pre-market
2024-06-30,2024-08-01,0.12,0.13,-0.01,-7.6923,pre-market
2024-09-30,2024-10-31,0.14,0.17,-0.03,-17.6471,pre-market
2024-12-31,2025-02-26,0.28,0.2386,0.0414,17.3512,pre-market
2025-03-31,2025-04-30,0.01,-0.034,0.044,129.4118,pre-market
2025-06-30,2025-07-30,0.12,0.0979,0.0221,22.5741,pre-market
2025-09-30,2025-11-04,0.19,0.17,0.02,11.7647,pre-market
2025-12-31,2026-03-04,0.28,0.1508,0.1292,85.6764,pre-market
2026-03-31,2026-04-30,0,0.0573,-0.0573,-100,pre-market
