fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-06-30,1998-06-30,0.1333,None,0,None,pre-market
1998-09-30,1998-09-30,0.1338,None,0,None,pre-market
1998-12-31,1998-12-31,0.0901,None,0,None,pre-market
1999-06-30,1999-06-30,0.0835,None,0,None,pre-market
1999-09-30,1999-09-30,0.1029,None,0,None,pre-market
1999-12-31,1999-12-31,0.0663,None,0,None,pre-market
2000-06-30,2000-06-30,0.1111,None,0,None,pre-market
2000-09-30,2000-09-30,0.1066,None,0,None,pre-market
2000-12-31,2000-12-31,0.0853,None,0,None,pre-market
2001-06-30,2001-06-30,0.0581,None,0,None,pre-market
2001-09-30,2001-09-30,0.0525,None,0,None,pre-market
2001-12-31,2001-12-31,-0.0256,None,0,None,pre-market
2002-06-30,2002-06-30,0.0366,None,0,None,pre-market
2002-09-30,2002-09-30,0.0619,None,0,None,pre-market
2002-12-31,2002-12-31,0.0264,None,0,None,pre-market
2003-06-30,2003-08-15,0.0615,None,0,None,pre-market
2003-09-30,2003-11-14,0.0381,None,0,None,pre-market
2003-12-31,2004-02-17,0.0013,None,0,None,pre-market
2004-06-30,2004-08-15,0.2095,None,0,None,pre-market
2004-09-30,2004-11-14,0.2904,None,0,None,pre-market
2004-12-31,2005-02-14,0.1578,None,0,None,pre-market
2005-06-30,2005-08-15,0.1554,None,0,None,pre-market
2005-09-30,2005-11-14,0.2156,None,0,None,pre-market
2005-12-31,2006-02-15,0.2299,None,0,None,pre-market
2006-03-31,2006-06-29,0.3,None,0,None,pre-market
2006-06-30,2006-08-14,0.317,None,0,None,pre-market
2006-09-30,2006-11-15,0.3353,None,0,None,pre-market
2006-12-31,2007-02-15,0.2038,None,0,None,pre-market
2007-06-30,2007-08-15,0.229,None,0,None,pre-market
2007-09-30,2007-11-15,0.1359,None,0,None,pre-market
2007-12-31,2008-02-15,0.0975,None,0,None,pre-market
2008-06-30,2008-08-13,0.5847,None,0,None,pre-market
2008-09-30,2008-11-14,0.8007,None,0,None,pre-market
2008-12-31,2009-02-16,0.6698,None,0,None,pre-market
2009-03-31,2009-06-29,-0.0442,None,0,None,pre-market
2009-06-30,2009-08-14,-0.0239,None,0,None,pre-market
2009-09-30,2009-11-16,-0.0303,None,0,None,pre-market
2009-12-31,2010-02-15,-0.0061,None,0,None,pre-market
2010-03-31,2010-06-29,0.1562,None,0,None,pre-market
2010-06-30,2010-08-13,0.2111,None,0,None,pre-market
2010-09-30,2010-12-31,0.25,None,0,None,pre-market
2010-12-31,2011-03-31,0.47,None,0,None,pre-market
2011-03-31,2011-06-30,0.2693,None,0,None,pre-market
2011-06-30,2011-09-30,0.34,None,0,None,pre-market
2011-09-30,2011-12-31,0.26,None,0,None,pre-market
2011-12-31,2012-03-31,0.3243,None,0,None,pre-market
2012-03-31,2012-06-30,0.3077,None,0,None,pre-market
2012-06-30,2012-09-30,0.24,None,0,None,pre-market
2012-09-30,2012-12-31,0.1691,None,0,None,pre-market
2012-12-31,2013-03-31,0.18,None,0,None,pre-market
2013-03-31,2013-06-30,0.1189,None,0,None,pre-market
2013-06-30,2013-09-30,0.0041,None,0,None,pre-market
2013-09-30,2013-11-11,0.07,None,0,None,pre-market
2013-12-31,2014-03-31,0.0573,None,0,None,pre-market
2014-03-31,2014-06-30,-0.02,None,0,None,pre-market
2014-06-30,2014-09-30,0.11,None,0,None,pre-market
2014-09-30,2014-12-31,0.0276,None,0,None,pre-market
2014-12-31,2015-03-31,-0.0666,None,0,None,pre-market
2015-03-31,2015-06-30,0.0774,None,0,None,pre-market
2015-06-30,2015-09-30,-0.03,None,0,None,pre-market
2015-09-30,2015-12-31,0.07,None,0,None,pre-market
2015-12-31,2016-02-12,-0.08,None,0,None,pre-market
2016-03-31,2016-06-30,-0.2149,None,0,None,pre-market
2016-06-30,2016-08-15,-0.09,None,0,None,post-market
2016-09-30,2016-11-14,-0.0348,None,0,None,post-market
2016-12-31,2017-02-14,-0.055,None,0,None,post-market
2017-03-31,2017-06-29,0.05,None,0,None,post-market
2017-06-30,2017-08-14,-0.05,None,0,None,post-market
2017-09-30,2017-11-13,0.04,None,0,None,post-market
2017-12-31,2018-02-14,0.05,None,0,None,post-market
2018-03-31,2018-06-28,0.26,None,0,None,post-market
2018-06-30,2018-08-14,0.51,None,0,None,post-market
2018-09-30,2018-11-14,0.29,None,0,None,post-market
2018-12-31,2019-02-14,0.09,None,0,None,post-market
2019-03-31,2019-06-27,-0.17,None,0,None,pre-market
2019-06-30,2019-08-14,0.03,None,0,None,post-market
2019-09-30,2019-11-14,-0.22,None,0,None,post-market
2019-12-31,2020-02-14,-0.13,None,0,None,post-market
2020-03-31,2020-06-29,-0.43,None,0,None,post-market
2020-06-30,2020-08-14,-0.12,None,0,None,post-market
2020-09-30,2020-11-16,-0.04,None,0,None,post-market
2020-12-31,2021-02-22,0.3,None,0,None,post-market
2021-03-31,2021-06-30,1.6395,0,1.6395,None,pre-market
2021-06-30,2021-08-23,1.5,None,0,None,post-market
2021-09-30,2021-11-19,1.91,None,0,None,post-market
