fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2008-12-31,USD,208000,208000,0,0,0,12057000,7376000,0,None,None,None,1385000,None,None,None,None,0,0,None,0,None,0,None,0
2009-03-31,USD,158000,158000,None,None,-3229000,1567000,1820000,3387000,None,None,None,267000,None,None,None,237000,-4476000,688000,None,None,None,-3229000,-2992000,-3917000
2009-06-30,USD,189000,189000,None,None,-3472000,1586000,2065000,3661000,None,None,None,430000,None,None,None,240000,-3918000,50000,None,None,None,-3472000,-3232000,-3522000
2009-09-30,USD,204000,204000,None,None,-5173000,None,2845000,5377000,None,None,None,348000,None,None,None,353000,-5864000,213000,None,None,None,-5173000,-4820000,-5386000
2009-12-31,USD,-551000,-551000,0,0,-6695000,17696000,3778000,6144000,None,None,None,58000,None,None,None,681000,-8105000,152000,None,0,None,-6695000,-6014000,-7060000
2010-03-31,USD,330000,330000,6501000,6501000,-6980000,2642000,4668000,7310000,None,None,None,308000,None,None,None,809000,-7532000,879000,None,0,None,-6980000,-6171000,-7859000
2010-06-30,USD,462000,462000,7351000,7351000,-7619000,0,3210000,8081000,None,None,None,361000,None,None,None,730000,-8279000,982000,None,0,None,-7619000,-6889000,-8601000
2010-09-30,USD,640000,1496000,856000,856000,-14515000,0,3554000,15155000,None,None,None,779000,None,None,None,634000,-17308000,19198000,None,0,None,-16529000,-15895000,-17308000
2010-12-31,USD,1518000,14108000,12590000,12590000,-6399000,2642000,3388000,7917000,None,None,None,830000,None,None,None,1015000,-22804000,-16460000,None,0,None,-6399000,-5384000,-6344000
2011-03-31,USD,88000,15281000,15193000,15193000,-8412000,5234000,3266000,8500000,None,None,None,892000,None,None,None,1013000,-10377000,871000,None,0,None,-8391000,-7378000,-9283000
2011-06-30,USD,896000,14533000,13637000,13637000,-11633000,7180000,5338000,12518000,None,None,None,851000,None,18000,None,1163000,-12466000,844000,None,-12466000,None,-11615000,-10452000,-12466000
2011-09-30,USD,1274000,17506000,16232000,16232000,-11524000,7587000,5211000,12798000,None,None,None,798000,None,17000,None,1196000,9444000,17000,None,-12305000,None,-11524000,-10328000,-12305000
2011-12-31,USD,1703000,17229000,15526000,15526000,-13124000,8889000,5938000,14827000,None,None,None,1036000,None,None,None,1228000,-35909000,-21749000,None,0,None,-13169000,-11941000,-14160000
