fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,96006932,44196474,43088464,43088464,526524,183611,51810458,61572000,None,None,None,None,None,None,169000,924399,None,10110752,9780752,381200,None,None,60000,330000,None,22004000,None,None,390000,9339552,None,85896180,None,470371,6003,4905000
2007-12-31,USD,180272718,25178989,11913868,11913868,6903231,3063000,155093729,241163000,None,None,None,None,None,None,894000,3299000,None,88180408,24325006,1644000,None,None,9218639,63855402,None,80711000,None,None,73074041,13462367,None,92092310,None,-6668101,7245,6074000
2008-12-31,USD,693300000,190800000,62300000,62300000,44300000,54300000,502500000,495772000,None,None,None,None,None,None,None,29900000,None,413600000,108400000,61711000,None,None,27405000,305200000,None,299011000,None,None,326400000,46600000,None,279700000,None,-10500000,25000,12400000
2009-12-31,USD,693121000,190655000,89779000,89779000,81558000,44637000,502466000,596235000,None,14543000,14543000,14543000,None,None,12554000,34880000,None,413136000,108304000,70246000,None,None,63985000,304832000,None,388573000,None,None,299011000,26161000,None,279985000,None,9331000,25000,25069000
2010-12-31,USD,1429866000,638773000,233205000,233205000,184888000,89170000,791093000,747421000,None,23125000,23125000,23125000,None,None,33557000,97953000,None,932224000,374590000,155084000,None,None,141068000,557634000,None,527900000,None,None,527900000,55857000,None,497642000,None,57343000,36000,32347000
2011-12-31,USD,1420828000,576420000,174988000,174988000,229070000,106198000,844408000,776789000,None,40877000,40877000,40877000,None,None,19619000,66164000,None,915471000,360965000,172328000,None,None,143359000,554506000,None,493407000,None,None,636766000,29825000,5129000,505357000,-28201000,95761000,36000,41808000
2012-12-31,USD,1349734000,568035000,254289000,254289000,172009000,80537000,781699000,708110000,None,40877000,40877000,40877000,None,None,25815000,61200000,None,859232000,432384000,95564000,None,None,300728000,426848000,None,362549000,None,None,663277000,32475000,4217000,490502000,-65808000,107540000,37000,30463000
2013-12-31,USD,1532045000,633305000,272027000,272027000,158328000,106808000,898740000,806046000,None,40877000,40877000,40877000,None,None,26994000,96142000,None,986687000,409197000,112001000,None,None,254433000,577490000,None,480746000,None,None,735179000,38645000,5450000,545358000,-65808000,148505000,38000,38304000
2014-12-31,USD,1828557000,910910000,425510000,425510000,254967000,138073000,917647000,825210000,None,40877000,40877000,40877000,None,None,29742000,92360000,None,1031108000,511540000,170199000,None,None,273351000,519568000,None,399440000,63465000,None,672791000,64025000,4893000,797449000,-65808000,299101000,45000,40730000
2015-12-31,USD,1929328000,912577000,384867000,384867000,353957000,105254000,1016751000,922070000,None,40877000,40877000,40877000,None,None,30540000,68499000,None,970419000,438669000,168528000,None,None,231435000,531750000,None,443547000,4507000,None,674982000,38706000,6406000,958909000,-69811000,290974000,45000,39028000
2016-12-31,USD,2506492000,1000576000,304211000,304211000,422181000,147495000,1505916000,1178706000,None,183696000,183696000,183696000,None,None,47236000,126689000,None,1527301000,594946000,192275000,None,None,326282000,932355000,None,782610000,326282000,None,1108892000,76389000,9483000,862507000,-75816000,283214000,46000,38573000
2017-12-31,USD,2763801000,1206471000,266651000,266651000,711878000,157535000,1557330000,1176707000,None,182879000,182879000,182879000,None,None,13810000,70407000,None,1704665000,886261000,205479000,None,None,594103000,818404000,None,767396000,594103000,None,1361499000,76770000,15056000,942182000,-55184000,325411000,46000,50240000
2018-12-31,USD,2215658000,1205868000,251683000,251683000,734883000,100919000,1009790000,886576000,None,None,None,34689000,None,29714000,None,563860000,None,1152669000,833700000,135829000,None,None,218520000,318969000,None,298190000,593050000,None,891240000,479351000,11430000,946819000,-58162000,324728000,47000,41254000
2019-12-31,USD,1698218000,667913000,245977000,245977000,252992000,113399000,1030305000,827271000,None,None,None,34689000,None,68998000,None,55545000,None,832932000,541791000,156693000,None,None,336993000,291141000,54940000,243990000,320367000,None,619297000,8721000,47151000,751905000,-119808000,148150000,47000,38111000
2020-12-31,USD,1578917000,642353000,233860000,233860000,269491000,56229000,936564000,801690000,None,None,None,10598000,None,3994000,3994000,82773000,None,802253000,452556000,140058000,None,None,253762000,349697000,64451000,287299000,238860000,None,590610000,20265000,62398000,646852000,-131287000,39375000,47000,34631000
2021-12-31,USD,2159755000,1117749000,426220000,426220000,267838000,120872000,1042006000,957559000,None,22751000,22751000,29132000,None,None,124859000,177960000,None,1057736000,471804000,146063000,None,None,225517000,585932000,66609000,514006000,208703000,None,789318000,100224000,22131000,950500000,-91626000,-15199000,62000,46652000
2022-12-31,USD,2123131000,928750000,444661000,444661000,278950000,109896000,1194381000,1102571000,None,17988000,17988000,29132000,None,None,0,95243000,None,1062065000,486922000,234301000,None,None,160237000,575143000,76236000,495243000,139516000,None,710995000,92384000,24385000,910031000,None,-142417000,62000,55541000
2023-12-31,USD,1939322000,732730000,349574000,349574000,215810000,95268000,1206592000,None,None,15145000,15145000,29100000,None,None,None,72078000,None,949266000,384962000,186643000,None,None,130713000,564304000,76787000,491918000,107805000,None,676510000,67606000,18507000,843733000,None,-235801000,62000,58814000
2024-12-31,USD,1782174000,569032000,173041000,173041000,227444000,94901000,1213142000,None,None,12666000,12666000,18500000,None,None,None,73646000,None,907637000,385687000,154817000,None,None,167658000,521950000,73901000,432460000,142947000,None,649308000,63212000,40300000,865215000,None,-318298000,68000,63796000
2025-12-31,USD,1578396000,482212000,182319000,182319000,148095000,74374000,1096184000,None,None,None,None,None,None,None,None,77424000,None,806425000,268706000,134912000,None,None,59065000,537718999,65205000,361992000,28924000,None,508353000,74729000,132079000,766247000,None,-439576000,76000,67496000
