fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2004-12-31,2005-03-10,-0.1048,None,0,None,pre-market
2005-03-31,2005-05-03,0.8,0.42,0.38,90.4762,pre-market
2005-06-30,2005-08-04,0.73,0.82,-0.09,-10.9756,pre-market
2005-09-30,2005-11-02,0.35,0.28,0.07,25,pre-market
2005-12-31,2006-02-24,0.14,0.28,-0.14,-50,pre-market
2006-03-31,2006-04-28,0.33,0.35,-0.02,-5.7143,pre-market
2006-06-30,2006-08-02,0.53,0.47,0.06,12.766,pre-market
2006-09-30,2006-10-27,0.44,0.46,-0.02,-4.3478,pre-market
2006-12-31,2007-02-15,0.5,0.34,0.16,47.0588,pre-market
2007-03-31,2007-05-01,0.24,0.26,-0.02,-7.6923,pre-market
2007-06-30,2007-07-31,0.33,0.33,0,0,pre-market
2007-09-30,2007-11-09,0.26,0.36,-0.1,-27.7778,pre-market
2007-12-31,2008-02-22,0.2,0.25,-0.05,-20,pre-market
2008-03-31,2008-05-09,0.07,0.22,-0.15,-68.1818,pre-market
2008-06-30,2008-07-30,0.09,0.14,-0.05,-35.7143,pre-market
2008-09-30,2008-11-06,-0.01,0.1,-0.11,-110,pre-market
2008-12-31,2009-02-26,-0.38,-0.05,-0.33,-660,pre-market
2009-03-31,2009-05-08,-0.55,-0.22,-0.33,-150,pre-market
2009-06-30,2009-08-06,-0.27,-0.13,-0.14,-107.6923,pre-market
2009-09-30,2009-11-04,-0.24,-0.08,-0.16,-200,pre-market
2009-12-31,2010-02-19,0.27,-0.12,0.39,325,pre-market
2010-03-31,2010-05-07,-0.07,-0.07,0,0,pre-market
2010-06-30,2010-08-05,0.22,0.08,0.14,175,pre-market
2010-09-30,2010-11-04,0.34,0.21,0.13,61.9048,pre-market
2010-12-31,2011-02-17,0.24,0.2,0.04,20,pre-market
2011-03-31,2011-05-05,0.47,0.24,0.23,95.8333,pre-market
2011-06-30,2011-08-04,0.48,0.49,-0.01,-2.0408,pre-market
2011-09-30,2011-11-02,0.45,0.43,0.02,4.6512,pre-market
2011-12-31,2012-02-16,0.28,0.27,0.01,3.7037,pre-market
2012-03-31,2012-05-01,0.74,0.4,0.34,85,pre-market
2012-06-30,2012-08-01,0.58,0.54,0.04,7.4074,pre-market
2012-09-30,2012-11-02,0.7,0.51,0.19,37.2549,pre-market
2012-12-31,2013-02-12,0.24,0.23,0.01,4.3478,pre-market
2013-03-31,2013-04-30,0.19,0.16,0.03,18.75,pre-market
2013-06-30,2013-07-31,0.39,0.39,0,0,pre-market
2013-09-30,2013-10-29,0.54,0.54,0,0,pre-market
2013-12-31,2014-02-11,0.48,0.37,0.11,29.7297,pre-market
2014-03-31,2014-04-29,0.43,0.4,0.03,7.5,pre-market
2014-06-30,2014-07-30,0.59,0.48,0.11,22.9167,pre-market
2014-09-30,2014-10-27,0.6,0.53,0.07,13.2075,pre-market
2014-12-31,2015-02-18,0.33,0.37,-0.04,-10.8108,pre-market
2015-03-31,2015-04-30,0.4,0.28,0.12,42.8571,pre-market
2015-06-30,2015-07-29,0.63,0.55,0.08,14.5455,pre-market
2015-09-30,2015-10-27,0.47,0.41,0.06,14.6341,pre-market
2015-12-31,2016-02-11,0.51,0.21,0.3,142.8571,pre-market
2016-03-31,2016-04-28,0.37,0.27,0.1,37.037,pre-market
2016-06-30,2016-07-27,0.53,0.53,0,0,pre-market
2016-09-30,2016-10-28,0.38,0.36,0.02,5.5556,pre-market
2016-12-31,2017-02-15,0.3,0.25,0.05,20,pre-market
2017-03-31,2017-04-26,0.57,0.37,0.2,54.0541,pre-market
2017-06-30,2017-07-27,0.85,0.66,0.19,28.7879,pre-market
2017-09-30,2017-10-27,0.67,0.51,0.16,31.3725,pre-market
2017-12-31,2018-02-23,0.76,0.66,0.1,15.1515,pre-market
2018-03-31,2018-05-01,0.96,0.8,0.16,20,pre-market
2018-06-30,2018-07-31,1.01,0.84,0.17,20.2381,pre-market
