fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2008-03-31,2008-06-02,2.7,2.4,0.3,12.5,pre-market
2008-06-30,2008-08-13,4.3,3.77,0.53,14.0584,pre-market
2008-09-30,2008-11-12,6.6,7.3,-0.7,-9.589,pre-market
2008-12-31,2009-03-05,3,3.04,-0.04,-1.3158,pre-market
2009-03-31,2009-05-07,3.3,2.55,0.75,29.4118,pre-market
2009-06-30,2009-08-06,1.9,2.34,-0.44,-18.8034,pre-market
2009-09-30,2009-11-05,1.3,1.33,-0.03,-2.2556,pre-market
2009-12-31,2010-03-01,0.9,1.07,-0.17,-15.8879,pre-market
2010-03-31,2010-05-04,1.6,1.46,0.14,9.589,pre-market
2010-06-30,2010-08-04,0.5,1.15,-0.65,-56.5217,pre-market
2010-09-30,2010-11-03,1.6,1.01,0.59,58.4158,pre-market
2010-12-31,2011-02-23,2.4,1.99,0.41,20.603,pre-market
2011-03-31,2011-05-04,2.8,3.13,-0.33,-10.5431,pre-market
2011-06-30,2011-08-03,3.7,3.64,0.06,1.6484,pre-market
2011-09-30,2011-11-02,3.4,3.57,-0.17,-4.7619,pre-market
2011-12-31,2012-02-15,3,3,0,0,pre-market
2012-03-31,2012-05-02,2.7,2.81,-0.11,-3.9146,pre-market
2012-06-30,2012-08-01,2.5,2.46,0.04,1.626,pre-market
2012-09-30,2012-10-31,3.8,3.39,0.41,12.0944,pre-market
2012-12-31,2013-02-13,2.6,2.43,0.17,6.9959,pre-market
2013-03-31,2013-05-01,2,1.92,0.08,4.1667,pre-market
2013-06-30,2013-07-31,1.7,2.05,-0.35,-17.0732,pre-market
2013-09-30,2013-10-30,0.7,0.85,-0.15,-17.6471,pre-market
2013-12-31,2014-02-12,-1.1,0.03,-1.13,-3766.6667,pre-market
2014-03-31,2014-04-30,-0.1,-0.19,0.09,47.3684,pre-market
2014-06-30,2014-07-30,0.7,0.11,0.59,536.3636,pre-market
2014-09-30,2014-10-29,-0.2,0.52,-0.72,-138.4615,post-market
2014-12-31,2015-02-18,0.8,0.23,0.57,247.8261,post-market
2015-03-31,2015-04-28,0.9,0.5,0.4,80,pre-market
2015-06-30,2015-07-28,-0.8,0.13,-0.93,-715.3846,pre-market
2015-09-30,2015-10-27,-0.6,-0.68,0.08,11.7647,pre-market
2015-12-31,2016-02-29,-2.6,-1.11,-1.49,-134.2342,pre-market
2016-03-31,2016-05-09,-2.2,-1.59,-0.61,-38.3648,post-market
2016-06-30,2016-08-02,-1.7,-1.5,-0.2,-13.3333,pre-market
2016-09-30,2016-11-02,-2.3,-1.15,-1.15,-100,pre-market
2016-12-31,2017-02-28,-1.9,-1.16,-0.74,-63.7931,pre-market
2017-03-31,2017-05-02,-1.5,-0.77,-0.73,-94.8052,pre-market
2017-06-30,2017-08-02,-0.3,-0.55,0.25,45.4545,pre-market
2017-09-30,2017-10-30,-0.2,-0.4,0.2,50,pre-market
2017-12-31,2018-02-27,-0.3,-0.04,-0.26,-650,pre-market
2018-03-31,2018-04-24,0.1,0.22,-0.12,-54.5455,pre-market
2018-06-30,2018-08-02,-0.1,0.42,-0.52,-123.8095,pre-market
2018-09-30,2018-10-30,0.3,0.38,-0.08,-21.0526,pre-market
2018-12-31,2019-03-12,0.6,0.3,0.3,100,pre-market
2019-03-31,2019-05-07,0.5,0.42,0.08,19.0476,pre-market
2019-06-30,2019-08-06,0.4,0.36,0.04,11.1111,pre-market
2019-09-30,2019-11-05,-0.0017,0.36,-0.3617,-100.4722,pre-market
2019-12-31,2020-03-02,0.2,0.2,0,0,post-market
2020-03-31,2020-05-06,-0.2,0.2,-0.4,-200,post-market
2020-06-30,2020-08-03,-0.7,-0.05,-0.65,-1300,post-market
2020-09-30,2020-11-02,-0.78,-0.16,-0.62,-387.5,post-market
2020-12-31,2021-03-01,-0.05,-0.14,0.09,64.2857,post-market
2021-03-31,2021-05-03,0.18,0.13,0.05,38.4615,post-market
2021-06-30,2021-08-02,0.55,0.42,0.13,30.9524,post-market
2021-09-30,2021-11-01,0.57,0.58,-0.01,-1.7241,post-market
2021-12-31,2022-03-07,0.6,1.17,-0.57,-48.7179,post-market
2022-03-31,2022-05-02,2.32,1.95,0.37,18.9744,post-market
2022-06-30,2022-08-04,1.82,1.99,-0.17,-8.5427,post-market
2022-09-30,2022-11-02,0.97,1.74,-0.77,-44.2529,post-market
2022-12-31,2023-03-06,0.83,0.94,-0.11,-11.7021,post-market
2023-03-31,2023-05-03,0.37,0.67,-0.3,-44.7761,post-market
2023-06-30,2023-08-02,0.33,0.44,-0.11,-25,post-market
2023-09-30,2023-11-08,-0.53,-0.11,-0.42,-381.8182,post-market
2023-12-31,2024-03-06,-0.41,-0.22,-0.19,-86.3636,post-market
2024-03-31,2024-05-08,-0.14,-0.11,-0.03,-27.2727,post-market
2024-06-30,2024-08-05,-0.06,0.01,-0.07,-700,post-market
2024-09-30,2024-11-04,-0.14,-0.13,-0.01,-7.6923,post-market
2024-12-31,2025-03-04,-0.11,-0.0429,-0.0671,-156.4103,pre-market
2025-03-31,2025-05-06,0.39,-0.0518,0.4418,852.8958,pre-market
2025-06-30,2025-08-07,0.25,0.02,0.23,1150,pre-market
2025-09-30,2025-11-05,0.11,0.13,-0.02,-15.3846,pre-market
2025-12-31,2026-03-04,0.49,0.247,0.243,98.3806,pre-market
