fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,11102000000,2059000000,36000000,36000000,381000000,1456000000,9043000000,6694000000,None,71000000,71000000,1613000000,None,None,None,186000000,None,6326000000,1758000000,682000000,None,None,186000000,4568000000,None,2981000000,None,None,3167000000,890000000,None,4554000000,-1739000000,4687000000,4000000,329293000
2007-12-31,USD,13382000000,2408000000,17000000,17000000,474000000,1723000000,10974000000,7963000000,None,134000000,134000000,1967000000,None,None,None,194000000,None,7919000000,2650000000,818000000,None,None,828000000,5269000000,None,3364000000,None,None,4192000000,1004000000,None,5142000000,-2589000000,5325000000,4000000,324842000
2008-12-31,USD,13054000000,2301000000,32000000,32000000,445000000,1604000000,10753000000,7922000000,None,121000000,121000000,1909000000,None,None,None,220000000,None,8743000000,2979000000,820000000,None,None,1166000000,5764000000,None,3709000000,None,None,5025000000,693000000,None,4009000000,-3623000000,6068000000,4000000,318302000
2009-12-31,USD,14317000000,2223000000,45000000,45000000,377000000,1579000000,12094000000,8990000000,None,142000000,142000000,2070000000,None,None,None,222000000,None,8669000000,1813000000,730000000,None,None,298000000,6856000000,None,4757000000,None,None,5055000000,785000000,None,5315000000,-3838000000,6831000000,4000000,312382000
2010-12-31,USD,15274000000,2378000000,39000000,39000000,399000000,1664000000,12896000000,9532000000,None,132000000,132000000,2066000000,None,None,None,276000000,None,9129000000,2110000000,830000000,None,None,402000000,7019000000,None,5155000000,None,None,5557000000,878000000,None,5792000000,-4371000000,7475000000,4000000,311395000
2011-12-31,USD,16356000000,2607000000,90000000,90000000,456000000,1795000000,13749000000,10131000000,None,167000000,167000000,2372000000,None,None,None,266000000,None,10559000000,2535000000,896000000,None,None,724000000,8024000000,None,5838000000,None,None,6562000000,915000000,None,5488000000,-5089000000,8510000000,4000000,306722000
2012-12-31,USD,18090000000,2792000000,157000000,157000000,476000000,1834000000,15298000000,11453000000,None,173000000,173000000,2507000000,None,None,None,325000000,None,11417000000,2479000000,928000000,None,None,677000000,8938000000,None,6685000000,None,None,7362000000,751000000,None,6064000000,-5511000000,9534000000,4000000,301845000
2013-12-31,USD,20255000000,2916000000,138000000,138000000,506000000,1892000000,17339000000,12278000000,None,596000000,596000000,3194000000,None,None,0,380000000,None,12945000000,2664000000,921000000,None,None,785000000,10281000000,None,8026000000,None,None,8811000000,790000000,None,6609000000,-5912000000,10528000000,4000000,298965000
2014-12-31,USD,19802000000,2839000000,126000000,126000000,551000000,1644000000,16963000000,11997000000,None,603000000,603000000,3121000000,None,715000000,None,518000000,None,13616000000,2490000000,864000000,None,None,589000000,11126000000,None,8669000000,2000000,None,9258000000,918000000,None,5623000000,-6651000000,11461000000,4000000,295608000
2015-12-31,USD,18319000000,2626000000,147000000,147000000,531000000,1601000000,15693000000,10998000000,None,568000000,568000000,2986000000,None,683000000,None,347000000,None,13413000000,1893000000,791000000,None,None,256000000,11520000000,None,8975000000,6000000,None,9231000000,702000000,None,4389000000,-7253000000,12229000000,4000000,289055000
