fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,3706937,582515,26865,26865,52000,None,None,2677000,None,None,None,None,None,None,None,504000,None,21616495,20855216,1270000,None,None,13490811,None,None,208000,None,None,13621054,3596000,None,None,None,-23524302,216000,83644
2006-03-31,USD,3706937,582515,26865,26865,52000,27500,3124422,2604000,None,None,None,None,None,None,None,476150,None,21616495,20855216,1270074,None,None,15988919,761279,None,198000,None,None,16197008,3596223,None,-17909558,None,-23524302,216481,83644
2006-06-30,USD,3836619,908858,110089,110089,404690,65564,2927761,2551000,None,None,None,None,None,None,None,733205,None,17850973,17124160,405567,None,None,12519453,726813,None,174000,None,None,12693076,4199140,None,-14014354,None,-25653171,532800,71264.90
2006-09-30,USD,4142087,1330015,195413,195413,220008,45619,2812072,2435000,None,None,None,None,None,None,None,1088983,None,19218215,18501836,293106,None,None,13019453,716379,None,163000,None,None,13899021,5189277,None,-15076128,None,-26714679,532800,80000
2006-12-31,USD,3554152,799004,None,None,None,None,None,2378000,None,None,None,None,None,None,None,799000,None,19252768,18631011,520000,None,None,10188652,None,None,69000,None,None,10211988,5041000,None,None,None,-27940829,639000,209455
2007-03-31,USD,3474765,792671,-39092,-39092,None,None,2682094,2305000,None,None,None,None,None,None,None,792671,None,19688128,19075111,670288,None,None,13176903,613017,None,60000,None,None,13236730,5227920,None,-16213363,None,-29062745,758049,104728
2007-06-30,USD,3687521,1096263,60503,60503,None,None,2591258,2214000,None,None,None,None,None,None,None,1035760,None,20550912,19951506,427182,None,None,13603707,599406,None,46000,None,None,13649923,5920617,None,-16863391,None,-30038179,917491,126598
2007-09-30,USD,3390416,880371,-17082,-17082,None,None,2510045,2133000,None,None,None,None,None,None,None,880371,None,20631740,20046587,251695,None,None,13518205,585153,None,32000,None,None,13550168,6276687,None,-17241324,None,-31015197,1485778,154913
2007-12-31,USD,3675448,360413,174996,174996,None,None,None,2031000,None,None,None,None,None,None,None,185000,None,20876462,19535275,306000,None,None,9610698,None,None,12000,None,None,9622310,5635000,None,None,None,-31997401,1827000,583540
2008-03-31,USD,3919325,919917,680334,680334,None,None,2999408,1715000,None,None,None,None,None,None,None,239583,None,19560062,18221496,423192,None,None,13867349,1338566,None,9000,None,None,13876340,3930955,None,-15640737,None,-33034521,2009314,291770
2008-06-30,USD,2582465,534668,370085,370085,None,None,2047797,1671000,None,None,None,None,None,None,None,164583,None,18810800,17931640,404607,None,None,13659438,879160,None,326000,None,None,13985408,3867595,None,-16228335,None,-35628775,2098470,3078738
2008-09-30,USD,2736412,190017,100434,100434,None,None,2546395,1780000,None,None,None,None,None,None,None,89583,None,19579153,14526926,434154,None,None,10908981,5052227,None,4285000,None,None,15194440,3183791,None,-16842741,None,-37899696,2181895,324516
