fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,86200000,None,None,None,None,71600000,91000000,None,-13000000,None,-72600000,-32700000,None,None,None,None,2500000,2500000,None,None,None,None,None,None,None,None,None,55000000
2006-03-31,USD,-75700000,None,None,None,None,None,82600000,None,None,None,-67700000,125200000,None,None,None,None,2600000,2600000,None,None,None,None,None,None,None,None,None,-39400000
2006-06-30,USD,187800000,None,None,None,None,192000000,125200000,None,17600000,None,-130200000,-37300000,None,None,None,None,2600000,2600000,None,None,None,None,None,None,8100000,None,None,-213100000
2006-09-30,USD,150600000,None,None,None,None,None,85200000,None,None,None,-85100000,-28900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,109000000
2006-12-31,USD,142200000,None,None,None,None,None,29400000,None,None,None,-29600000,-36900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,65900000
2007-03-31,USD,147500000,None,None,None,None,None,61900000,None,None,None,-74200000,103600000,None,None,None,None,2600000,2600000,None,None,None,None,None,None,None,None,None,-132700000
2007-06-30,USD,267600000,None,None,None,None,None,115600000,None,None,None,-115100000,-211000000,None,None,None,None,100000,100000,None,None,None,None,None,None,None,None,None,377500000
2007-09-30,USD,438400000,None,None,None,None,None,82100000,None,None,None,-73700000,-150300000,None,None,None,None,100000,100000,None,None,None,None,None,None,None,None,None,305500000
2007-12-31,USD,542500000,None,None,None,None,None,79100000,None,None,None,-79100000,-485700000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,394000000
2008-03-31,USD,528000000,None,None,None,None,None,86600000,None,None,None,-56900000,17100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,520800000
2008-06-30,USD,1037700000,None,None,None,None,97800000,124300000,None,-590200000,None,-131900000,-90900000,None,None,None,None,22200000,22200000,None,None,None,None,None,None,None,None,None,862500000
2008-09-30,USD,561500000,None,None,None,None,97800000,186900000,None,-590200000,None,-187800000,-76500000,None,None,None,None,22200000,22200000,None,None,None,None,None,None,10100000,None,None,1184700000
2008-12-31,USD,386500000,None,None,None,None,79300000,223200000,None,-1900000,None,491400000,-83100000,None,None,None,None,22200000,22200000,None,None,None,None,None,None,-695300000,None,None,959800000
2009-03-31,USD,-11200000,None,None,None,None,93800000,196700000,None,176200000,None,-192900000,-47700000,None,None,None,None,22200000,22200000,None,None,None,None,None,None,3600000,None,None,58800000
2009-06-30,USD,305800000,None,None,None,None,88800000,174300000,None,237200000,None,-192300000,-17600000,None,None,None,None,22300000,22300000,None,None,None,None,None,None,4500000,None,None,146900000
2009-09-30,USD,172400000,None,None,None,None,92100000,236200000,None,78900000,None,-236100000,-27500000,None,None,None,None,100000,100000,None,None,None,None,None,None,14200000,None,None,102500000
2009-12-31,USD,174800000,None,None,None,None,138900000,190600000,None,77800000,None,-154600000,-5700000,None,None,None,None,22600000,22600000,None,None,None,None,None,None,3200000,None,None,109000000
2010-03-31,USD,476700000,None,None,None,None,101600000,208800000,None,15300000,None,-204700000,-639000000,None,None,None,None,600900000,600900000,None,None,None,None,None,None,3100000,None,None,223500000
2010-06-30,USD,532100000,None,None,None,None,112400000,275000000,41300000,-80000000,None,-270900000,-38400000,None,None,None,None,22300000,22300000,None,None,None,None,1500000,None,3000000,-160300000,-1900000,396500000
2010-09-30,USD,556200000,None,None,None,None,104700000,294700000,-87600000,-42300000,None,-681600000,-33000000,None,None,None,None,100000,100000,None,None,None,None,9200000,None,13100000,1296700000,55200000,298900000
2010-12-31,USD,365900000,None,None,None,None,114100000,311600000,-137600000,-314900000,None,-271600000,-452400000,None,None,None,None,22400000,22400000,None,None,None,None,8000000,None,2600000,-307300000,50800000,542600000
2011-03-31,USD,365900000,None,None,None,None,130500000,311600000,-113400000,-314900000,None,-358900000,-452400000,None,None,None,None,22400000,22400000,None,None,None,None,1600000,None,None,554300000,9700000,542100000
2011-06-30,USD,554300000,None,None,None,None,120300000,391400000,130600000,-135800000,None,-392500000,-28800000,None,None,None,None,22400000,22400000,None,None,None,None,1200000,None,13800000,131600000,-1400000,526400000
2011-09-30,USD,554300000,None,None,None,None,127200000,391400000,-144400000,-135800000,None,-384600000,-28800000,None,None,None,None,22400000,22400000,None,None,None,None,-1161400000,None,None,-410400000,-83100000,526000000
2011-12-31,USD,404500000,None,None,None,None,127900000,411800000,253200000,-123400000,None,-404700000,-479900000,None,None,None,None,21400000,21400000,None,None,None,None,200000,None,3100000,-425700000,54400000,271900000
2012-03-31,USD,404500000,None,None,None,None,150900000,411800000,-120900000,-123400000,None,-445600000,-479900000,None,None,None,None,21400000,21400000,None,None,None,None,500000,None,None,609100000,-82600000,273300000
2012-06-30,USD,1229300000,None,None,None,None,139700000,449000000,11500000,72700000,None,-445600000,-92000000,None,None,None,None,53400000,53400000,None,None,None,None,-1162500000,None,3300000,-216200000,20100000,506900000
2012-09-30,USD,339300000,None,None,None,None,137400000,449100000,-75300000,-246400000,None,-443800000,-131800000,None,None,None,None,106600000,106600000,None,None,None,None,500000,None,17800000,-174100000,3200000,430700000
2012-12-31,USD,371100000,None,None,None,None,152200000,397800000,-77700000,16700000,None,-390100000,-65600000,None,None,None,None,106700000,106700000,None,None,None,None,2100000,None,2900000,-98000000,-13400000,345400000
2013-03-31,USD,371100000,None,None,None,None,None,397800000,None,-62200000,None,None,-65600000,None,None,None,None,106700000,106700000,None,None,None,None,None,None,None,None,None,344600000
2013-06-30,USD,854700000,None,None,None,None,167800000,347900000,None,6100000,None,-359800000,-96800000,None,None,None,None,106600000,106600000,None,None,None,None,None,None,2700000,None,None,485400000
2013-09-30,USD,-45000000,None,None,None,None,166100000,332500000,131700000,-2500000,None,-465700000,-89500000,None,None,None,None,106800000,106800000,None,None,None,None,500000,None,14100000,-576900000,23300000,125800000
2013-12-31,USD,7986000,None,None,None,None,183686000,297429000,None,32500000,None,-415315000,3249972000,None,None,None,None,46000000,46000000,None,None,None,None,-4300000,None,23329000,None,None,-351143000
2014-03-31,USD,627000000,None,None,None,None,174300000,274900000,-84900000,-27300000,None,-1634300000,-1770300000,None,None,None,None,99700000,99700000,None,None,None,None,-1677900000,None,34900000,-2802400000,-24800000,217700000
2014-06-30,USD,796300000,None,None,None,None,194400000,214000000,14800000,-8900000,None,-360300000,-574500000,None,None,None,None,95100000,95100000,None,None,None,None,-454800000,None,8600000,-123700000,14800000,248200000
2014-09-30,USD,488600000,None,None,None,None,189500000,188400000,6100000,74500000,None,-158100000,455400000,None,None,None,None,93800000,93800000,None,None,None,None,-375000000,None,5700000,603600000,-50200000,202900000
2014-12-31,USD,381800000,None,None,None,None,192700000,251800000,-162500000,-168000000,None,-586400000,-318500000,None,None,None,None,93900000,93900000,None,None,None,None,-247600000,None,5100000,-596000000,-72900000,361600000
2015-03-31,USD,655500000,None,None,None,None,182800000,229500000,8000000,108500000,None,-182900000,-300400000,None,None,None,None,91400000,91400000,None,None,None,None,-134400000,None,4600000,142800000,-102800000,294600000
2015-06-30,USD,583100000,None,None,None,None,191100000,227400000,37300000,-77900000,None,-343400000,-597400000,None,None,None,None,98100000,98100000,None,None,None,None,-500100000,None,29300000,-307500000,30000000,391000000
2015-09-30,USD,282100000,None,None,None,None,180900000,245300000,-104400000,-73400000,None,-822600000,-131000000,None,None,None,None,98300000,98300000,None,None,None,None,-74900000,None,2000000,-925000000,-159900000,160700000
2015-12-31,USD,286900000,None,None,None,None,185000000,298100000,-1600000,-10900000,None,-399500000,135400000,None,None,None,None,96900000,96900000,None,None,None,None,-100000,None,5400000,-8600000,-31400000,155500000
2016-03-31,USD,265900000,None,None,None,None,183700000,235600000,17100000,34300000,None,-273900000,-280000000,None,None,None,None,96200000,96200000,None,None,None,None,-75000000,None,16900000,-218600000,69400000,256900000
2016-06-30,USD,583200000,None,None,None,None,189300000,201700000,239900000,-70900000,None,-350800000,-242500000,None,None,None,None,96200000,96200000,None,None,None,None,1800000,None,5400000,1600000,17400000,-11000000
2016-09-30,USD,95800000,None,None,None,None,172700000,196400000,-134900000,195100000,None,-975300000,-111600000,None,None,None,None,96400000,96400000,None,None,None,None,-2600000,None,4200000,-405800000,-8000000,39200000
2016-12-31,USD,321200000,None,None,None,None,165500000,209400000,-118600000,104500000,None,-37100000,-254500000,None,None,None,None,96300000,96300000,None,None,None,None,75000000,None,4000000,19600000,-10000000,14600000
2017-03-31,USD,146000000,None,None,None,None,158800000,223800000,45700000,-133300000,None,-245600000,102200000,None,None,None,None,96400000,96400000,None,None,None,None,0,None,15900000,5600000,3000000,-1100000
2017-06-30,USD,242800000,None,None,None,None,165900000,168500000,5700000,-172400000,None,-177000000,-85300000,None,None,None,None,52700000,52700000,None,None,None,None,0,None,5000000,-18000000,1500000,97100000
2017-09-30,USD,135500000,None,None,None,None,168800000,197600000,-58200000,51100000,None,-220700000,94300000,None,None,None,None,52700000,52700000,None,None,None,None,0,None,3600000,27400000,18300000,229600000
