fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-01-31,USD,11328959,11328956,6377990,6377990,None,4277766,3,None,None,None,None,None,None,None,648193,25007,None,6343932,6343932,None,None,None,None,None,None,None,None,None,None,6343932,None,4985027,None,4985024,3,13120000
2006-04-30,USD,6573976,6573973,110551,110551,None,1700192,3,None,None,None,None,None,None,None,4749405,13825,None,4051098,4051098,None,None,None,None,None,None,None,None,None,None,4051098,None,2522878,None,2522875,3,13120000
2006-07-31,USD,8760268,8760265,5398820,5398820,None,2631154,3,None,None,None,None,None,None,None,668387,61904,None,5296039,5296039,None,None,None,None,None,None,None,None,None,None,5296039,None,3464229,None,3464226,3,13120000
2006-10-31,USD,10573313,10573310,7871337,7871337,None,1933788,3,None,None,None,None,None,None,None,727883,40302,None,7738663,7738663,None,None,None,None,None,None,None,None,None,None,7738663,None,2834650,None,2834647,3,13120000
2007-01-31,USD,5414552,5414549,4258201,4258201,None,409764,3,None,None,None,None,None,None,None,727883,18701,None,4274875,4274875,None,None,None,None,None,None,None,None,None,None,4274875,None,1139677,None,1139674,3,13120000
2007-04-30,USD,2916257,2916254,697895,697895,None,1539883,3,None,None,None,None,None,None,None,642672,35804,None,667363,667363,None,None,None,None,None,None,None,None,None,None,667363,None,2248894,None,2248891,3,13120000
2007-07-31,USD,6529907,6529904,4284481,4284481,None,1756107,3,None,None,None,None,None,None,None,434962,54354,None,4174076,4174076,None,None,None,None,None,None,None,None,None,None,4174076,None,2355831,None,2355828,3,13120000
2007-10-31,USD,9008282,9008279,6520101,6520101,None,1958783,3,None,None,None,None,None,None,None,494663,34732,None,6356926,6356926,None,None,None,None,None,None,None,None,None,None,6356926,None,2651356,None,2651353,3,13120000
2008-01-31,USD,8488509,8488506,6959701,6959701,None,959925,3,None,None,None,None,None,None,None,544193,24687,None,6828485,6828485,None,None,None,None,None,None,None,None,None,None,6828485,None,1660024,None,1660021,3,13120000
2008-04-30,USD,5440774,5440771,1772470,1772470,None,3140603,3,None,None,None,None,None,None,None,493784,33914,None,1715672,1715672,None,None,None,None,None,None,None,None,None,None,1715672,None,3725102,None,3725099,3,13120000
2008-07-31,USD,20380928,20380925,13472832,13472832,None,6453966,3,None,None,None,None,None,None,None,438198,15929,None,13205346,13205346,None,None,None,None,None,None,None,None,None,None,13205346,None,7175582,None,7175579,3,13120000
