date,dividend
1973-04-24,0.251
1990-07-24,0.15
1990-10-24,0.05
1991-01-24,0.05
1991-04-24,0.05
1991-07-24,0.02
1991-10-24,0.04
1992-01-24,0.035
1992-04-24,0.027
1992-10-26,0.02
1993-01-25,0.05
1993-04-26,0.025
1993-07-26,0.05
1993-10-25,0.1
1994-01-24,0.1
1994-07-25,0.06
1994-10-24,0.06
1995-01-24,0.06
1995-10-26,0.065
1996-01-26,0.12
1996-07-26,0.085
1996-10-28,0.19
1997-01-28,0.145
1997-10-28,0.16
1998-01-28,0.265
1998-07-28,0.11
1998-10-28,0.184
1999-01-27,0.155
1999-07-28,0.06
1999-10-27,0.115
2000-01-26,0.18
2000-07-26,0.1
2000-10-26,0.175
2001-01-26,0.13
2001-07-26,0.07
2001-10-26,0.105
2002-01-28,0.08
2002-07-26,0.05
2002-10-28,0.12
2003-01-28,0.19
2003-07-28,0.07
2003-10-28,0.12
2004-01-28,0.3
2004-04-28,0.05
2004-07-28,0.175
2004-10-27,0.25
2005-01-26,0.295
2005-04-27,0.33
2005-07-27,0.37
2005-10-26,0.36
2006-01-26,0.47
2006-04-26,0.3
2006-07-26,0.4
2006-10-26,0.585
2007-01-26,0.315
2007-04-26,0.045
2007-07-26,0.31
2007-10-26,0.48
2008-01-28,0.515
2008-04-28,0.12
2008-07-28,1.0
2008-10-28,1.25
2009-01-28,0.11
2009-04-28,0.38
2009-10-28,0.22
2010-01-27,0.55
2010-04-28,0.125
2010-07-28,0.8
2010-10-27,0.91
2011-01-26,0.65
2011-04-27,0.05
2011-07-27,0.6
2011-10-26,1.12
2012-01-26,0.76
2012-04-26,0.065
2012-07-26,0.64
2012-10-26,1.13
2013-01-28,0.49
2013-04-26,0.08
2013-07-26,0.46
2013-10-28,0.51
2014-01-28,0.57
2014-07-28,0.32
2014-10-28,0.88
2015-01-28,0.64
2015-07-28,0.04
2016-01-27,0.05
2016-04-27,0.2
2016-07-27,0.2
2016-10-26,0.1
2017-01-26,0.14
2017-04-26,0.55
2017-07-26,0.16
2017-10-27,0.64
2018-01-29,1.18
2018-04-27,0.45
2018-07-27,0.22
2018-10-29,0.94
2019-01-29,1.39
2019-04-29,0.89
2019-07-29,0.21
2019-10-29,0.87
2020-01-29,0.7
2020-04-29,0.56
2020-07-29,0.05
2020-10-29,0.36
2021-01-28,0.46
2021-04-29,0.89
2021-07-29,0.09
2021-10-28,1.42
2022-01-27,1.75
2022-04-28,1.04
2022-07-28,0.84
2023-10-27,0.35
2024-01-29,0.37
2024-04-29,0.29
2024-07-30,0.3
2024-10-30,0.39
2025-01-30,5.95
2025-04-30,0.56
2025-07-30,0.12
2025-10-30,0.34
2026-01-30,0.26
2026-04-30,0.24
