fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2014-06-30,2014-07-31,0.55,0.65,-0.1,-15.3846,pre-market
2014-09-30,2014-10-30,0.56,0.53,0.03,5.6604,post-market
2014-12-31,2015-01-29,0.37,0.4,-0.03,-7.5,post-market
2015-03-31,2015-04-30,0.15,0.04,0.11,275,post-market
2015-06-30,2015-07-30,-0.54,-0.37,-0.17,-45.9459,post-market
2015-09-30,2015-10-29,-0.69,-0.78,0.09,11.5385,post-market
2015-12-31,2016-01-28,-0.58,-0.68,0.1,14.7059,post-market
2016-03-31,2016-04-28,-0.31,-0.41,0.1,24.3902,post-market
2016-06-30,2016-07-27,-0.24,-0.25,0.01,4,post-market
2016-09-30,2016-10-27,-0.38,-0.35,-0.03,-8.5714,post-market
2016-12-31,2017-02-16,-1.52,-0.4,-1.12,-280,post-market
2017-03-31,2017-04-27,-0.12,-0.1,-0.02,-20,post-market
2017-06-30,2017-07-31,0.03,0.02,0.01,50,post-market
2017-09-30,2017-10-26,-0.13,-0.07,-0.06,-85.7143,post-market
2017-12-31,2018-01-25,-0.77,-0.34,-0.43,-126.4706,post-market
2018-03-31,2018-04-26,-0.04,0.08,-0.12,-150,post-market
2018-06-30,2018-07-26,0.21,0.28,-0.07,-25,post-market
2018-09-30,2018-10-25,0.05,-0.06,0.11,183.3333,post-market
2018-12-31,2019-02-20,0.15,-0.06,0.21,350,post-market
2019-03-31,2019-05-02,0.09,0.04,0.05,125,post-market
2019-06-30,2019-08-01,0.12,-0.3,0.42,140,post-market
2019-09-30,2019-11-06,-0.1,-0.45,0.35,77.7778,post-market
2019-12-31,2020-02-20,-0.87,-0.52,-0.35,-67.3077,post-market
2020-03-31,2020-05-07,-0.25,-0.23,-0.02,-8.6957,post-market
2020-06-30,2020-08-06,-0.31,-0.8,0.49,61.25,post-market
2020-09-30,2020-10-29,-0.38,-0.24,-0.14,-58.3333,post-market
2020-12-31,2021-02-25,0.01,-0.19,0.2,105.2632,post-market
2021-03-31,2021-05-06,0.43,0.36,0.07,19.4444,post-market
2021-06-30,2021-08-05,0.96,0.62,0.34,54.8387,post-market
2021-09-30,2021-11-04,1.04,0.66,0.38,57.5758,post-market
2021-12-31,2022-02-24,0.8,0.6,0.2,33.3333,post-market
2022-03-31,2022-05-04,0.92,0.81,0.11,13.5802,post-market
2022-06-30,2022-08-04,1.27,1.33,-0.06,-4.5113,post-market
2022-09-30,2022-11-03,-0.09,0.25,-0.34,-136,post-market
2022-12-31,2023-02-23,-0.1,-0.09,-0.01,-11.1111,post-market
2023-03-31,2023-05-04,0.44,0.17,0.27,158.8235,post-market
2023-06-30,2023-08-03,0.6,0.57,0.03,5.2632,post-market
2023-09-30,2023-11-02,0.52,0.53,-0.01,-1.8868,post-market
2023-12-31,2024-02-27,0.36,0.27,0.09,33.3333,post-market
2024-03-31,2024-05-09,0.56,0.37,0.19,51.3514,post-market
2024-06-30,2024-08-08,0.15,0.33,-0.18,-54.5455,post-market
2024-09-30,2024-11-07,-0.09,-0.02,-0.07,-350,post-market
2024-12-31,2025-02-25,-0.08,0.0033,-0.0833,-2524.2424,pre-market
2025-03-31,2025-05-07,0.07,0.1233,-0.0533,-43.2279,post-market
2025-06-30,2025-08-07,0.09,0.21,-0.12,-57.1429,pre-market
2025-09-30,2025-11-06,0.2,0.18,0.02,11.1111,pre-market
2025-12-31,2026-02-19,-0.18,0.0225,-0.2025,-900,pre-market
2026-03-31,2026-04-30,0,0.2033,-0.2033,-100,pre-market
