fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,14425000000,2709000000,979000000,979000000,349000000,274000000,11716000000,6011000000,None,2879000000,2879000000,2902000000,None,None,535000000,-147000000,None,4777000000,1502000000,232000000,None,None,202000000,3275000000,None,1705000000,None,None,1907000000,1068000000,None,8671000000,None,838000000,669000000,451000000
2006-06-30,USD,14830000000,2818000000,1135000000,1135000000,349000000,353000000,12012000000,6185000000,None,2902000000,2902000000,2902000000,None,None,354000000,-196000000,None,4885000000,1649000000,231000000,None,None,205000000,3236000000,None,1709000000,None,None,1914000000,1213000000,None,8897000000,None,953000000,673000000,452000000
2006-09-30,USD,15121000000,2593000000,1059000000,1059000000,372000000,298000000,12528000000,6547000000,None,2895000000,2895000000,2895000000,None,None,273000000,-150000000,None,5089000000,1638000000,158000000,None,None,158000000,3451000000,None,1799000000,None,None,1799000000,1480000000,None,9036000000,None,1106000000,675000000,452000000
2006-12-31,USD,15601000000,2642000000,1166000000,1166000000,760000000,358000000,12959000000,6847000000,None,3004000000,3004000000,3004000000,None,None,109000000,-520000000,None,5166000000,1739000000,340000000,None,None,159000000,3445000000,None,1752000000,None,None,1911000000,849000000,None,9337000000,None,1284000000,677000000,451000000
2007-03-31,USD,15175000000,2295000000,786000000,786000000,381000000,417000000,12880000000,7036000000,None,2986000000,2986000000,2986000000,None,None,130000000,-275000000,None,4825000000,1466000000,291000000,None,None,164000000,3359000000,None,1726000000,None,None,1890000000,677000000,None,9187000000,None,1199000000,680000000,452000000
2007-06-30,USD,13861000000,3071000000,668000000,668000000,743000000,366000000,10790000000,7024000000,None,1320000000,1320000000,1320000000,None,None,1028000000,-565000000,None,5251000000,1274000000,274000000,None,None,161000000,3977000000,None,2493000000,None,None,2654000000,746000000,None,7302000000,None,-908000000,683000000,451000000
2007-09-30,USD,14984000000,3692000000,1053000000,1053000000,782000000,499000000,11292000000,7334000000,None,1320000000,1320000000,1320000000,None,None,1085000000,-747000000,None,5849000000,1622000000,265000000,None,None,288000000,4227000000,None,2745000000,None,None,3033000000,807000000,None,7629000000,None,-512000000,690000000,453000000
2007-12-31,USD,15598000000,2672000000,1231000000,1231000000,463000000,345000000,12926000000,9140000000,None,186000000,186000000,186000000,None,None,61000000,-177000000,None,6601000000,1500000000,339000000,None,None,255000000,6550000000,None,2683000000,None,None,2938000000,815000000,None,7548000000,None,-801000000,696000000,453000000
2008-03-31,USD,16014000000,2546000000,1014000000,1014000000,423000000,451000000,13468000000,9744000000,None,186000000,186000000,186000000,None,None,59000000,-319000000,None,6629000000,1418000000,304000000,None,None,261000000,5211000000,None,2886000000,None,None,3147000000,796000000,None,7882000000,None,-430000000,698000000,457000000
2008-06-30,USD,17243000000,2847000000,1036000000,1036000000,454000000,410000000,14396000000,10032000000,None,186000000,186000000,186000000,None,None,72000000,-251000000,None,7101000000,1616000000,321000000,None,None,261000000,5485000000,None,3085000000,None,None,3346000000,875000000,None,8595000000,None,-154000000,703000000,456000000
2008-09-30,USD,16698000000,2625000000,854000000,854000000,508000000,322000000,14073000000,10172000000,None,219000000,219000000,188000000,None,None,26000000,-162000000,None,7147000000,1550000000,331000000,None,None,142000000,5597000000,None,3355000000,None,None,3497000000,995000000,None,8075000000,None,43000000,704000000,455000000
2008-12-31,USD,15839000000,2361000000,435000000,435000000,519000000,327000000,13478000000,10132000000,None,188000000,188000000,188000000,None,None,12000000,1068000000,None,8737000000,1596000000,412000000,None,None,169000000,7141000000,None,3373000000,None,None,3542000000,957000000,None,7102000000,None,7000000,709000000,472000000
2009-03-31,USD,17025000000,3351000000,1451000000,1451000000,475000000,549000000,13674000000,10194000000,None,188000000,188000000,188000000,None,None,13000000,-166000000,None,6796000000,1571000000,276000000,None,None,223000000,5225000000,None,2749000000,None,None,2972000000,974000000,None,8771000000,0,189000000,766000000,473000000
2009-06-30,USD,18111000000,2457000000,544000000,544000000,481000000,512000000,15654000000,13220000000,None,188000000,188000000,188000000,None,902000000,19000000,-229000000,None,7357000000,1854000000,310000000,None,None,221000000,5503000000,None,2810000000,None,None,3031000000,1233000000,1402000000,9263000000,0,302000000,768000000,491000000
2009-09-30,USD,21147000000,5038000000,3022000000,3022000000,479000000,394000000,16109000000,13592000000,None,188000000,188000000,188000000,None,1069000000,19000000,-280000000,None,9478000000,2201000000,338000000,None,None,225000000,7277000000,None,4698000000,None,None,4923000000,1427000000,1337000000,9923000000,0,641000000,768000000,491000000
2009-12-31,USD,22299000000,5822000000,3215000000,3215000000,493000000,540000000,16477000000,13872000000,None,29000000,29000000,188000000,None,1186000000,56000000,1115000000,None,9686000000,2320000000,396000000,None,None,157000000,7366000000,None,4652000000,None,None,4809000000,1550000000,1360000000,10703000000,0,1149000000,770000000,491000000
2010-03-31,USD,22645000000,5961000000,3364000000,3364000000,501000000,601000000,16684000000,13975000000,None,188000000,188000000,188000000,None,1232000000,73000000,-564000000,None,9240000000,2013000000,356000000,None,None,78000000,7227000000,None,4496000000,None,None,4574000000,1299000000,1361000000,11350000000,0,1646000000,773000000,493000000
2010-06-30,USD,22769000000,6071000000,3602000000,3602000000,510000000,464000000,16698000000,12399000000,None,91000000,91000000,188000000,None,None,64000000,-422000000,None,9214000000,2195000000,366000000,None,None,295000000,7019000000,None,4280000000,None,None,4575000000,1337000000,394000000,11515000000,0,1979000000,775000000,499000000
2010-09-30,USD,24376000000,7056000000,3951000000,3951000000,526000000,582000000,17320000000,12532000000,None,92000000,92000000,188000000,None,None,46000000,-535000000,None,9857000000,2798000000,396000000,None,None,516000000,7059000000,None,4289000000,None,None,5625000000,1621000000,349000000,12248000000,0,2442000000,778000000,502000000
