fiscalDateEnding,reportedEPS
1996-12-31,3.9
1997-12-31,3.6
1998-12-31,3.7
1999-12-31,3.05
2000-12-31,0.5
2001-12-31,0.6
2002-12-31,0.4676
2003-12-31,2.2048
2004-12-31,1.44
2005-12-31,2.133
2006-12-31,3.3047
2007-12-31,4.0828
2008-12-31,4.61
2009-12-31,11.11
2010-12-31,12.12
2011-12-31,14.11
2012-12-31,18.1
2013-12-31,17.98
2014-12-31,18.71
2015-12-31,19.6
2016-12-31,20.78
2017-12-31,18.77
2018-12-31,20.37
2019-12-31,22.74
2020-12-31,24.61
2021-12-31,17.58
2022-12-31,27.87
2023-12-31,40.43
2024-12-31,48.2176
2025-12-31,35.2997
2026-03-31,12.6176
