fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-02-28,USD,1460448,3775693,2315245,2315245,-56369,563911,78672,1516817,None,None,None,31857,None,None,None,87974,235730,31000,None,0,None,-56369,31605,204730
2006-05-31,USD,1561011,4320371,2759360,2759360,-14712,638484,65411,1575723,None,None,None,19886,None,None,None,91204,687963,-30000,None,0,None,-14712,76492,717963
2006-08-31,USD,1562550,4105271,2542721,2542721,-57584,1537295,82839,1620134,None,None,None,40000,None,None,None,89425,-1632370,-19000,None,0,None,-57584,31841,162389
2006-11-30,USD,1672319,4617374,2945055,2945055,-4643,1676961,0,1676962,None,None,None,42000,None,None,None,116369,1122224,132000,None,0,None,-4643,111726,990224
2007-02-28,USD,1425831,3884895,2459064,2459064,-233958,804289,45335,1659789,None,None,None,47483,None,None,None,115967,596203,148000,None,0,None,-233958,-117991,448203
2007-05-31,USD,1531786,4407798,2876012,2876012,-10273,608104,46941,1542059,None,None,None,41139,None,None,None,113957,718800,91000,None,0,None,-10273,103684,627800
2007-08-31,USD,1399914,3918963,2519049,2519049,-248748,1595990,52672,1648662,None,None,None,32869,None,None,None,114176,972181,-185000,None,0,None,-248748,-134572,1157181
2007-11-30,USD,1391894,3485585,2093691,2093691,-473175,1807941,57128,1865069,None,None,None,32869,None,None,None,112693,736196,78000,None,0,None,-473175,-360482,658196
2008-02-29,USD,1152902,2762856,1609954,1609954,-549541,894525,53616,1702443,None,None,None,40592,None,None,None,122144,848690,189000,None,0,None,-549541,-427397,659690
2008-05-31,USD,1209866,3269721,2059855,2059855,-325306,702592,32631,1535172,None,None,None,21757,None,None,None,144167,936148,148000,None,0,None,-325306,-181139,788148
2008-08-31,USD,1297400,3172590,1875190,1875190,-409235,1675299,31336,1706635,None,None,None,30000,None,None,None,128879,202922,-245000,None,0,None,-409235,-280356,447922
2008-11-30,USD,977977,3270944,2292967,2292967,-740098,1712008,6067,1718075,None,None,None,32000,None,None,None,136451,45886,33000,None,0,None,-740098,-603647,12886
2009-02-28,USD,578734,1734170,1155436,1155436,-1226981,644524,31395,1251715,None,None,None,42440,None,None,None,129945,-1967691,-454000,None,0,None,-672073,-542128,-1513691
2009-05-31,USD,677962,1673634,995672,995672,-512609,599012,13823,1190571,None,None,None,27933,None,None,None,134847,-594679,44000,None,0,None,-566746,-431899,-638679
