fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,567391000,None,None,None,None,90825000,69871000,None,3832000,None,-302799000,-116764000,None,None,None,None,100870000,100870000,None,None,None,None,-10263000,None,35391000,None,None,380031000
2006-06-30,USD,373118000,None,None,None,None,91663000,67445000,None,None,None,-316926000,-300849000,None,None,None,None,109149000,109149000,None,None,None,None,-170393000,None,-2783000,None,None,451913000
2006-09-30,USD,749913000,None,None,None,None,91190000,102859000,None,None,None,-228170000,-572467000,None,None,None,None,185774000,185774000,None,None,None,None,-319543000,None,None,None,None,517578000
2006-12-31,USD,560811000,None,None,None,None,90258000,98229000,None,37511000,None,-299849000,-307908000,None,None,None,None,182023000,182023000,None,None,None,None,-99247000,None,71185000,None,None,408159000
2007-03-31,USD,565510000,None,None,None,None,98402000,91349000,None,-5314000,None,-201497000,-268058000,None,None,None,None,181155000,181155000,None,None,None,None,None,None,7649000,None,None,381029000
2007-06-30,USD,172054000,None,None,None,None,97747000,107325000,None,-139186000,None,22000,-429226000,None,None,None,None,184681000,184681000,None,None,None,None,None,None,75295000,None,None,344850000
2007-09-30,USD,653119000,None,None,None,None,117568000,131912000,None,16064000,None,-120917000,-884402000,None,None,None,None,183770000,183770000,None,None,None,None,-617274000,None,80368000,None,None,381222000
2007-12-31,USD,544623000,None,None,None,None,113839000,189767000,None,25946000,None,-533745000,1110809000,None,None,None,None,176533000,176533000,None,None,None,None,None,None,78847000,None,None,364846000
2008-03-31,USD,667479000,None,None,None,None,123073000,226238000,None,8014000,None,-1461835000,134408000,None,None,None,None,268549000,268549000,None,None,None,None,6200000,None,9635000,None,None,501525000
2008-06-30,USD,160760000,None,None,None,None,140225000,275431000,None,-578584000,None,-452983000,2350108000,None,None,None,None,212049000,212049000,None,None,None,None,1988400000,None,21513000,None,None,668690000
2008-09-30,USD,494011000,None,None,None,None,142049000,304483000,None,-513253000,None,-1239602000,-391953000,None,None,None,None,264973000,264973000,None,None,None,None,-6400000,None,7280000,None,None,810803000
2008-12-31,USD,1176478000,None,None,None,None,143560000,212828000,None,719543000,None,-166266000,-309418000,None,None,None,None,440124000,440124000,None,None,None,None,-116276000,None,213057000,None,None,105892000
2009-03-31,USD,14142000,None,None,None,None,137841000,125966000,None,522744000,None,-132200000,-336845000,None,None,None,None,110514000,110514000,None,None,None,None,1000000,None,10225000,None,None,-190525000
2009-06-30,USD,618810000,None,None,None,None,140635000,114462000,None,624677000,None,-318625000,-144381000,None,None,None,None,193836000,193836000,None,None,None,None,500000,None,21435000,None,None,-127769000
2009-09-30,USD,317308000,None,None,None,None,143628000,75596000,None,-34317000,None,-201111000,-222240000,None,None,None,None,213850000,213850000,None,None,None,None,2100000,None,11800000,None,None,-5311000
2009-12-31,USD,224354000,None,None,None,None,144319000,74476000,None,4496000,None,-48476000,-116568000,None,None,None,None,115142000,115142000,None,None,None,None,3716000,None,11205000,None,None,86427000
