fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,1130000000,None,None,None,None,380000000,372000000,None,-78000000,None,-662000000,-501000000,None,None,None,None,316000000,316000000,None,None,None,None,-153000000,None,None,None,None,711000000
2007-12-31,USD,996000000,None,None,None,None,403000000,353000000,None,-49000000,None,-2207000000,1283000000,None,None,None,None,335000000,335000000,None,None,None,None,-274000000,None,None,None,None,856000000
2008-12-31,USD,1358000000,None,None,None,None,563000000,383000000,None,79000000,None,125000000,-978000000,None,None,None,None,422000000,422000000,None,None,None,None,-7000000,None,None,None,None,624000000
2009-12-31,USD,1345000000,None,None,None,None,480000000,239000000,235000000,232000000,None,-203000000,-1123000000,None,None,None,None,430000000,430000000,None,None,None,None,-59000000,None,None,36000000,17000000,426000000
2010-12-31,USD,1310000000,None,None,None,None,470000000,307000000,-178000000,-34000000,None,-949000000,-104000000,None,None,None,None,360000000,360000000,None,None,None,None,-586000000,None,None,284000000,27000000,880000000
2011-12-31,USD,1436000000,None,None,None,None,425000000,390000000,-129000000,-74000000,None,353000000,-1632000000,None,None,None,None,355000000,355000000,None,None,None,None,-858000000,None,34000000,116000000,-41000000,962000000
2012-12-31,USD,1787000000,None,None,None,None,399000000,411000000,90000000,53000000,None,-1611000000,-351000000,None,None,None,None,358000000,358000000,None,None,None,None,-92000000,None,71000000,-151000000,24000000,680000000
2013-12-31,USD,1791000000,None,None,None,None,452000000,515000000,44000000,44000000,None,3000000,-1979000000,None,None,None,None,345000000,345000000,None,None,None,None,-1000000000,None,81000000,-190000000,-5000000,973000000
2014-12-31,USD,1528000000,None,None,None,None,450000000,587000000,-119000000,-99000000,None,-857000000,-969000000,None,None,None,None,361000000,361000000,None,None,None,None,-750000000,None,71000000,-430000000,-132000000,1109000000
2015-12-31,USD,1837000000,None,None,None,None,446000000,476000000,-149000000,37000000,None,-395000000,-754000000,None,None,None,None,383000000,383000000,None,None,None,None,-751000000,None,54000000,625000000,-63000000,1332000000
2016-12-31,USD,1325000000,None,None,None,None,440000000,402000000,-59000000,56000000,None,436000000,-1184000000,None,None,None,None,414000000,414000000,None,None,None,None,-1050000000,None,45000000,509000000,-68000000,565000000
2017-12-31,USD,1568000000,None,None,None,None,460000000,360000000,-76000000,-116000000,None,-67000000,-1954000000,None,None,None,None,434000000,434000000,None,None,None,None,-813000000,None,35000000,-384000000,69000000,1390000000
2018-12-31,USD,1467000000,None,None,None,None,497000000,411000000,-69000000,-109000000,None,-764000000,-1205000000,None,None,None,None,453000000,453000000,None,None,None,None,-1721000000,None,37000000,-534000000,-32000000,1340000000
2019-12-31,USD,2080000000,None,None,None,None,511000000,413000000,121000000,145000000,None,-1009000000,-758000000,None,None,None,None,468000000,468000000,None,None,None,None,-325000000,None,39000000,314000000,1000000,1269000000
2020-12-31,USD,2130000000,None,None,None,None,509000000,304000000,187000000,111000000,None,-1447000000,-59000000,None,None,None,None,496000000,496000000,None,None,None,None,2862000000,None,44000000,624000000,None,1071000000
2021-12-31,USD,1562000000,None,None,None,None,561000000,371000000,-63000000,-279000000,None,-2404000000,93000000,None,None,None,None,536000000,536000000,None,None,None,None,-210000000,None,57000000,-749000000,None,1441000000
2022-12-31,USD,963000000,None,None,None,None,554000000,518000000,-268000000,-227000000,None,-461000000,-409000000,None,None,None,None,570000000,570000000,None,None,None,None,-190000000,None,35000000,93000000,None,1056000000
2023-12-31,USD,2411000000,None,None,None,None,514000000,516000000,None,145000000,None,-556000000,-1550000000,None,None,None,None,598000000,598000000,None,None,None,None,-86000000,None,56000000,None,None,1262000000
2024-12-31,USD,1420000000,None,None,None,None,492000000,721000000,None,-27000000,None,107000000,-1425000000,None,None,None,None,622000000,622000000,None,None,None,None,-752000000,None,42000000,None,None,1377000000
2025-12-31,USD,1941000000,None,None,None,None,546000000,778000000,None,-35000000,None,-700000000,-545000000,None,None,None,None,628000000,628000000,None,None,None,None,-790000000,None,46000000,None,None,1571000000
