fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-30,0.24,0.27,-0.03,-11.1111,pre-market
1996-06-30,1996-07-18,0.19,0.23,-0.04,-17.3913,pre-market
1996-09-30,1996-11-14,-0.2,-0.25,0.05,20,pre-market
1996-12-31,1997-01-22,-0.17,-0.19,0.02,10.5263,pre-market
1997-03-31,1997-04-22,0.48,0.39,0.09,23.0769,pre-market
1997-06-30,1997-07-16,0.36,0.32,0.04,12.5,pre-market
1997-09-30,1997-10-23,-0.16,-0.15,-0.01,-6.6667,pre-market
1997-12-31,1998-01-22,-0.21,-0.22,0.01,4.5455,pre-market
1998-03-31,1998-04-23,0.55,0.54,0.01,1.8519,pre-market
1998-06-30,1998-07-23,0.59,0.4,0.19,47.5,pre-market
1998-09-30,1998-10-22,-0.17,-0.15,-0.02,-13.3333,pre-market
1998-12-31,1999-01-22,-0.34,-0.38,0.04,10.5263,pre-market
1999-03-31,1999-04-23,1.28,0.79,0.49,62.0253,pre-market
1999-06-30,1999-07-22,0.68,0.63,0.05,7.9365,pre-market
1999-09-30,1999-10-26,-0.54,-0.55,0.01,1.8182,pre-market
1999-12-31,2000-01-27,-0.64,-0.68,0.04,5.8824,pre-market
2000-03-31,2000-04-26,1.08,0.96,0.12,12.5,pre-market
2000-06-30,2000-07-27,0.89,0.88,0.01,1.1364,pre-market
2000-09-30,2000-10-31,-0.22,-0.29,0.07,24.1379,pre-market
2000-12-31,2001-01-25,-0.91,-0.97,0.06,6.1856,pre-market
2001-03-31,2001-04-26,1.4,1.31,0.09,6.8702,pre-market
2001-06-30,2001-07-26,0.96,0.95,0.01,1.0526,pre-market
2001-09-30,2001-10-30,-0.5,-0.49,-0.01,-2.0408,pre-market
2001-12-31,2002-01-24,-0.8,-0.94,0.14,14.8936,pre-market
2002-03-31,2002-04-25,1.03,1,0.03,3,pre-market
2002-06-30,2002-07-25,1.51,1.36,0.15,11.0294,pre-market
2002-09-30,2002-10-31,-0.16,-0.22,0.06,27.2727,pre-market
2002-12-31,2003-01-23,-0.71,-0.78,0.07,8.9744,pre-market
2003-03-31,2003-04-24,1,0.92,0.08,8.6957,pre-market
2003-06-30,2003-07-31,1.43,1.37,0.06,4.3796,pre-market
2003-09-30,2003-10-30,0.01,0.01,0,0,pre-market
2003-12-31,2004-01-27,-0.67,-0.73,0.06,8.2192,pre-market
2004-03-31,2004-04-27,1.12,1.09,0.03,2.7523,pre-market
2004-06-30,2004-07-27,1.53,1.54,-0.01,-0.6494,pre-market
2004-09-30,2004-10-28,0.04,0.01,0.03,300,pre-market
2004-12-31,2005-01-25,-0.74,-0.66,-0.08,-12.1212,pre-market
2005-03-31,2005-04-28,1.23,1.2,0.03,2.5,pre-market
2005-06-30,2005-07-28,1.71,1.59,0.12,7.5472,pre-market
2005-09-30,2005-10-27,-0.01,-0.06,0.05,83.3333,pre-market
2005-12-31,2006-01-24,-0.72,-0.82,0.1,12.1951,pre-market
2006-03-31,2006-04-27,1.37,1.4,-0.03,-2.1429,pre-market
2006-06-30,2006-07-27,1.93,1.94,-0.01,-0.5155,pre-market
2006-09-30,2006-10-26,0.02,-0.01,0.03,300,pre-market
2006-12-31,2007-01-23,-0.88,-0.89,0.01,1.1236,pre-market
2007-03-31,2007-05-01,1.4,1.38,0.02,1.4493,pre-market
2007-06-30,2007-07-31,1.98,1.99,-0.01,-0.5025,pre-market
2007-09-30,2007-11-01,-0.11,-0.11,0,0,pre-market
2007-12-31,2008-01-28,-0.89,-1.04,0.15,14.4231,post-market
2008-03-31,2008-05-05,1.19,1.17,0.02,1.7094,post-market
2008-06-30,2008-07-31,2,1.9,0.1,5.2632,post-market
2008-09-30,2008-10-31,-0.27,-0.27,0,0,pre-market
2008-12-31,2009-02-03,-0.81,-0.91,0.1,10.989,pre-market
2009-03-31,2009-04-28,1.25,1.26,-0.01,-0.7937,pre-market
2009-06-30,2009-07-29,2.32,2.23,0.09,4.0359,pre-market
2009-09-30,2009-11-05,-0.33,-0.33,0,0,pre-market
2009-12-31,2010-02-02,-0.73,-0.82,0.09,10.9756,pre-market
2010-03-31,2010-05-06,1.8,1.46,0.34,23.2877,pre-market
2010-06-30,2010-08-10,2.61,2.44,0.17,6.9672,pre-market
2010-09-30,2010-11-04,-0.29,-0.34,0.05,14.7059,pre-market
2010-12-31,2011-01-28,-0.99,-0.92,-0.07,-7.6087,pre-market
2011-03-31,2011-05-03,2.22,2.04,0.18,8.8235,pre-market
2011-06-30,2011-08-08,1.82,2.2,-0.38,-17.2727,pre-market
2011-09-30,2011-11-08,-0.46,-0.44,-0.02,-4.5455,pre-market
2011-12-31,2012-02-07,-1.18,-1.22,0.04,3.2787,pre-market
2012-03-31,2012-05-08,2.15,2.06,0.09,4.3689,pre-market
2012-06-30,2012-08-09,1.6,1.96,-0.36,-18.3673,post-market
2012-09-30,2012-11-08,-0.59,-0.58,-0.01,-1.7241,pre-market
2012-12-31,2013-02-06,-1.12,-1.13,0.01,0.885,pre-market
2013-03-31,2013-05-06,1.6,2.01,-0.41,-20.398,post-market
2013-06-30,2013-08-06,2.46,2.43,0.03,1.2346,pre-market
2013-09-30,2013-11-07,-0.18,-0.37,0.19,51.3514,pre-market
2013-12-31,2014-02-06,-1.05,-1.08,0.03,2.7778,pre-market
2014-03-31,2014-05-05,2.17,1.99,0.18,9.0452,post-market
2014-06-30,2014-08-05,2.34,2.26,0.08,3.5398,pre-market
2014-09-30,2014-11-05,-0.18,-0.22,0.04,18.1818,pre-market
2014-12-31,2015-02-04,-1.13,-1.07,-0.06,-5.6075,pre-market
2015-03-31,2015-05-05,2.06,2.26,-0.2,-8.8496,pre-market
2015-06-30,2015-08-04,2.68,2.55,0.13,5.098,pre-market
2015-09-30,2015-11-03,-0.12,-0.16,0.04,25,pre-market
2015-12-31,2016-02-02,-1.13,-1.13,0,0,pre-market
2016-03-31,2016-05-03,3,2.47,0.53,21.4575,pre-market
2016-06-30,2016-08-03,2.16,2.11,0.05,2.3697,pre-market
2016-09-30,2016-11-03,-0.3,-0.28,-0.02,-7.1429,pre-market
2016-12-31,2017-01-31,-0.96,-1.25,0.29,23.2,pre-market
2017-03-31,2017-05-02,2.78,2.89,-0.11,-3.8062,pre-market
2017-06-30,2017-08-01,2.63,2.51,0.12,4.7809,pre-market
2017-09-30,2017-11-07,-0.26,-0.29,0.03,10.3448,pre-market
2017-12-31,2018-01-30,-1.08,-0.93,-0.15,-16.129,pre-market
2018-03-31,2018-05-01,2.88,3.31,-0.43,-12.9909,pre-market
2018-06-30,2018-07-31,2.67,2.58,0.09,3.4884,post-market
2018-09-30,2018-11-07,-0.75,-0.66,-0.09,-13.6364,pre-market
2018-12-31,2019-01-30,-1.39,-1.24,-0.15,-12.0968,pre-market
2019-03-31,2019-05-01,3.64,3.45,0.19,5.5072,pre-market
2019-06-30,2019-07-31,3.11,2.74,0.37,13.5036,pre-market
2019-09-30,2019-11-06,-0.91,-0.85,-0.06,-7.0588,pre-market
2019-12-31,2020-01-29,-1.12,-1.21,0.09,7.438,pre-market
2020-03-31,2020-05-06,4.5,3.5,1,28.5714,pre-market
2020-06-30,2020-07-29,3.8,3.42,0.38,11.1111,pre-market
2020-09-30,2020-11-04,0.06,0.08,-0.02,-25,pre-market
2020-12-31,2021-02-03,0.39,-0.67,1.06,158.209,pre-market
2021-03-31,2021-05-05,5.64,5.57,0.07,1.2567,pre-market
2021-06-30,2021-08-04,3.98,3.52,0.46,13.0682,pre-market
2021-09-30,2021-11-03,-0.82,-0.86,0.04,4.6512,pre-market
2021-12-31,2022-02-01,-0.88,-0.73,-0.15,-20.5479,pre-market
2022-03-31,2022-05-03,5.03,4.81,0.22,4.5738,pre-market
2022-06-30,2022-08-03,1.98,1.72,0.26,15.1163,pre-market
2022-09-30,2022-11-02,-2.04,-1.99,-0.05,-2.5126,pre-market
2022-12-31,2023-02-01,-1.02,-1.34,0.32,23.8806,pre-market
2023-03-31,2023-05-03,3.78,3.47,0.31,8.9337,pre-market
2023-06-30,2023-08-02,1.17,1.46,-0.29,-19.863,pre-market
2023-09-30,2023-11-01,-2.77,-2.89,0.12,4.1522,pre-market
2023-12-31,2024-02-07,-1.45,-1.47,0.02,1.3605,pre-market
