fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,1881619000,858355000,195705000,195705000,381505000,229124000,1023264000,990506000,None,None,None,None,None,None,None,52021000,None,908740000,244228000,180115000,None,None,1072000,664512000,None,432844000,None,None,433916000,63041000,None,971522000,-262241000,811581000,534000,201952000
2006-06-30,USD,2164473000,976121000,53948000,53948000,528683000,322478000,1188352000,1113709000,None,12335000,12335000,30720000,None,None,None,71012000,None,937790000,273246000,169686000,None,None,649000,664544000,None,402497000,None,None,398531000,102911000,None,1224936000,-88914000,898522000,536000,219532000
2006-09-30,USD,2208803000,1014739000,20843000,20843000,557726000,360196000,1194064000,1118533000,None,12478000,12478000,30966000,None,None,None,75974000,None,1034416000,372889000,194696000,None,None,30772000,661527000,None,401557000,None,None,432329000,113575000,None,1172573000,-250062000,1002668000,537000,219572000
2006-12-31,USD,2247017000,1036197000,29373000,29373000,569317000,355011000,1210820000,1136703000,None,12226000,12226000,30966000,None,None,None,82496000,None,1014485000,399490000,147942000,None,None,80686000,614995000,None,358192000,None,None,438878000,140365000,None,1231108000,-230472000,1093271000,537000,192632000
2007-03-31,USD,2341392000,1100732000,28332000,28332000,626218000,383632000,1240660000,1161914000,None,11973000,11973000,30966000,None,None,None,62550000,None,1115243000,501429000,225472000,None,None,95693000,613814000,None,357686000,None,None,453379000,94917000,None,1225106000,-332019000,1180700000,538000,203274000
2007-06-30,USD,2575886000,1226553000,12212000,12212000,726236000,399699000,1349333000,1249178000,None,14110000,14110000,48490000,None,None,None,88406000,None,1390862000,580402000,218318000,None,None,215699000,810460000,None,554250000,None,None,769949000,120020000,None,1184155000,-464405000,1261085000,540000,197562000
2007-09-30,USD,3095301000,1290146000,10811000,10811000,744534000,446131000,1805155000,1358204000,None,198678000,198678000,200637000,None,None,None,88670000,None,2014366000,672778000,325564000,None,None,152683000,1341588000,None,1048786000,None,None,1201469000,162792000,None,1079959000,-661427000,1348576000,541000,189858000
2007-12-31,USD,4519453000,1696229000,28486000,28486000,904398000,670020000,2823224000,1652097000,None,514547000,514547000,510983000,None,None,None,93325000,None,2979219000,904526000,378849000,None,None,295162000,2074693000,None,1734683000,None,None,2029845000,204645000,None,1529196000,-457368000,1432196000,542000,189039000
2008-03-31,USD,4821612000,1927542000,58889000,58889000,894759000,817799000,2894070000,1720276000,None,488436000,488436000,518759000,None,None,None,156095000,None,3194042000,1009980000,494701000,None,None,212477000,2184062000,None,1805435000,None,None,2017912000,204323000,None,1616057000,-501432000,1555860000,543000,199317000
2008-06-30,USD,6043589000,2627538000,115405000,115405000,1201640000,1147277000,3416051000,1916403000,None,636649000,636649000,789580000,None,None,None,163216000,None,4043733000,1395509000,772272000,None,None,266808000,2648224000,None,2269785000,None,None,2536593000,292701000,None,1987552000,-348303000,1746544000,544000,200345000
2008-09-30,USD,6054879000,2575775000,22135000,22135000,1356992000,1032734000,3479104000,1997495000,None,625537000,625537000,781555000,None,None,None,163914000,None,4306546000,1674710000,652795000,None,None,640203000,2631836000,None,2235784000,None,None,2875987000,350098000,None,1739394000,-720835000,1921240000,544000,196859000
2008-12-31,USD,5253577000,1709915000,16233000,16233000,1023235000,539332000,3543662000,2072857000,None,614786000,614786000,770438000,None,None,None,131115000,None,3621264000,970981000,263393000,None,None,431223000,2650283000,None,2219161000,None,None,2650384000,272258000,None,1623886000,-737319000,1820385000,545000,182000000
2009-03-31,USD,4926079000,1366811000,16067000,16067000,833074000,335715000,3559268000,2108657000,None,551489000,551489000,812161000,None,None,None,181955000,None,3387135000,729650000,243914000,None,None,65450000,2657485000,None,2218014000,None,None,2514464000,189286000,None,1538944000,-734083000,1714310000,545000,182000000
