fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1823400000,794100000,76600000,76600000,319200000,339500000,1029300000,864600000,None,64100000,64100000,64100000,None,None,None,58800000,None,1386100000,411900000,208200000,None,None,14700000,974200000,None,534100000,None,None,548800000,40400000,None,437300000,-500000,-12800000,400000,204665000
2007-12-31,USD,1723400000,693100000,21000000,21000000,350000000,294800000,1030300000,848900000,None,67900000,67900000,12700000,None,None,None,27300000,None,1293800000,448200000,234900000,None,None,9200000,845600000,None,475600000,None,None,484800000,44000000,None,429600000,-3000000,-136800000,400000,203460000
2008-12-31,USD,1723400000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,204975000
2009-12-31,USD,1117800000,697700000,143300000,143300000,194800000,216300000,420100000,None,None,216300000,216300000,None,None,None,None,143300000,None,1731000000,209000000,108000000,None,None,1700000,1522000000,None,None,None,None,425000000,16900000,None,-613200000,None,-1134000000,400000,205880000
2010-12-31,USD,1097900000,735700000,141700000,141700000,198400000,246500000,362200000,315500000,None,246500000,246500000,None,None,None,None,149100000,None,1727900000,252300000,134700000,None,None,4300000,1475600000,None,420700000,None,None,425000000,14800000,None,-630000000,-7200000,-1128200000,400000,164263500
2011-12-31,USD,1657400000,769000000,154000000,154000000,311200000,277800000,888400000,554500000,None,313300000,313300000,None,None,None,None,21100000,None,905100000,280900000,201000000,None,None,6000000,624200000,None,421400000,None,None,427300000,9500000,None,752300000,-11500000,241500000,100000,164263500
2012-12-31,USD,5511000000,2173000000,716000000,716000000,914000000,391000000,3338000000,2862000000,None,326000000,326000000,326000000,None,None,0,152000000,None,2629000000,467000000,189000000,None,None,40000000,2162000000,None,1605000000,None,None,1645000000,156000000,335000000,2649000000,0,1314000000,1000000,101406000
2013-12-31,USD,5699000000,2653000000,1478000000,1478000000,759000000,308000000,3046000000,2474000000,None,300000000,300000000,300000000,None,None,0,108000000,None,3262000000,363000000,164000000,None,None,18000000,2899000000,None,2395000000,None,None,2413000000,215000000,300000000,2238000000,-2437000000,1073000000,1000000,113416000
2014-12-31,USD,5065000000,2381000000,1279000000,1279000000,770000000,277000000,2684000000,2342000000,None,272000000,272000000,272000000,None,None,0,58000000,None,3277000000,366000000,160000000,None,None,18000000,2911000000,None,2375000000,18000000,None,2393000000,219000000,332000000,1610000000,0,529000000,1000000,114281000
2015-12-31,USD,5072000000,1301000000,229000000,229000000,630000000,391000000,3771000000,3447000000,None,244000000,244000000,244000000,None,None,5000000,51000000,None,3962000000,548000000,159000000,None,None,166000000,3369000000,None,2910000000,16000000,None,3121000000,126000000,316000000,998000000,0,93000000,1000000,115566000
2016-12-31,USD,4950000000,2738000000,248000000,248000000,499000000,289000000,3697000000,1969000000,None,223000000,223000000,223000000,None,None,3000000,1721000000,None,3789000000,564000000,136000000,None,None,166000000,3267000000,None,2888000000,166000000,None,3054000000,321000000,32000000,1017000000,0,-13000000,1000000,116161000
2017-12-31,USD,4864000000,2639000000,1116000000,1116000000,473000000,336000000,2225000000,2000000000,None,198000000,198000000,198000000,None,None,653000000,722000000,None,3849000000,353000000,165000000,None,None,22000000,3501000000,None,3130000000,17000000,None,3147000000,242000000,18000000,829000000,0,-327000000,1000000,119502000
2018-12-31,USD,4642000000,2544000000,1034000000,1034000000,479000000,319000000,2098000000,1800000000,None,176000000,176000000,176000000,None,None,None,712000000,None,3780000000,300000000,133000000,None,None,22000000,3480000000,None,3139000000,22000000,None,3161000000,140000000,17000000,683000000,None,-357000000,1000000,122881000
2019-12-31,USD,5268000000,2073000000,302000000,302000000,1131000000,488000000,3195000000,2715000000,None,208000000,208000000,208000000,None,None,None,152000000,None,4352000000,702000000,342000000,None,None,76000000,3650000000,100000000,2988000000,38000000,None,3126000000,277000000,114000000,748000000,None,-493000000,1000000,139859000
2020-12-31,USD,6568000000,2529000000,648000000,648000000,1137000000,561000000,4039000000,2562000000,None,201000000,201000000,201000000,None,None,None,183000000,None,4697000000,805000000,356000000,None,None,97000000,3892000000,80000000,3263000000,58000000,None,3401000000,350000000,453000000,1698000000,None,434000000,1000000,144906000
2021-12-31,USD,5987000000,2049000000,228000000,228000000,1048000000,637000000,3938000000,2542000000,None,217000000,217000000,None,None,None,None,136000000,None,3945000000,822000000,438000000,None,None,44000000,3123000000,81000000,2558000000,18000000,None,2657000000,310000000,98000000,1994000000,None,663000000,2000000,157945000
2022-12-31,USD,6306000000,1960000000,164000000,164000000,1278000000,383000000,4346000000,2531000000,None,250000000,250000000,None,None,None,30000000,135000000,None,3903000000,850000000,415000000,None,None,94000000,3053000000,130000000,2464000000,74000000,None,2668000000,323000000,436000000,2357000000,None,1080000000,2000000,157110000
2023-12-31,USD,6134000000,2135000000,273000000,273000000,1421000000,300000000,3999000000,None,None,243000000,243000000,None,None,None,18000000,141000000,None,4154000000,753000000,461000000,None,None,62000000,3401000000,127000000,2786000000,38000000,None,2951000000,224000000,87000000,1936000000,None,684000000,2000000,156397000
2024-12-31,USD,6038000000,2155000000,151000000,151000000,1551000000,268000000,3883000000,None,None,244000000,244000000,None,None,None,None,185000000,None,4247000000,874000000,499000000,None,None,124000000,3373000000,131000000,2759000000,100000000,None,2990000000,238000000,76000000,1761000000,None,555000000,2000000,157819000
2025-12-31,USD,6217000000,2265000000,211000000,211000000,1652000000,290000000,3952000000,None,None,214000000,214000000,None,None,None,None,112000000,None,4768000000,919000000,481000000,None,None,162000000,3849000000,170000000,3132000000,90000000,None,3590000000,275998000,82000000,1418000000,None,30000000,2000000,158484000
