fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,1619370,586898,287841,287841,189743,109314,1032472,930000,None,None,None,None,None,None,None,None,None,2337203,1411200,561381,None,None,192167,926003,None,858000,None,None,1050670,587652,None,-717833,None,-20058340,344457,34610907
2006-03-31,USD,1587984,419287,53314,53314,204920,161053,1168697,1067000,None,None,None,None,None,None,None,None,None,2434446,1452612,608082,None,None,207710,981834,None,910000,None,None,1118294,574230,None,-846462,None,-20359469,350207,34610907
2006-06-30,USD,1903405,518075,142387,142387,146626,229062,1385330,1287000,None,None,None,None,None,None,None,None,None,2347207,1448048,858610,None,None,182763,899159,None,828000,None,None,1010672,370965,None,-443802,None,-20465609,367358,35293850
2006-09-30,USD,1971015,473822,101327,101327,311151,61344,1497193,1397000,None,None,None,None,None,None,None,None,None,1981828,1251244,617645,None,None,33059,730584,None,660000,None,None,692393,578805,None,-10813,None,-20498369,388970,37283985
2006-12-31,USD,2749960,601523,218365,218365,285812,93596,2148437,2065000,None,None,None,None,None,None,None,3750,None,2269162,1591597,655252,None,None,291131,677565,None,170000,None,None,461196,432210,None,480798,None,-20342998,397613,40213987
2007-03-31,USD,2827786,364712,18602,18602,171373,172862,2463074,2384000,None,None,None,None,None,None,None,1875,None,2097777,1518381,555995,None,None,257234,579396,None,72000,None,None,329130,492876,None,730009,None,-20387786,409079,40213987
2007-06-30,USD,3191676,516334,4155,4155,200047,312132,2675342,2603000,None,None,None,None,None,None,None,None,None,2394604,1769356,777576,None,None,215451,625248,None,118000,None,None,333199,592257,None,797072,None,-20501852,414180,40904091
2007-09-30,USD,3275449,523487,64926,64926,312018,146543,2751962,2686000,None,None,None,None,None,None,None,None,None,2132900,1555468,690473,None,None,190227,577432,None,70000,None,None,260159,506000,None,1142549,None,-20515826,424737,41825068
2007-12-31,USD,3345889,503037,81747,81747,252614,168676,2842852,2777000,None,None,None,None,None,None,None,None,None,2617350,1850139,808748,None,None,191890,767211,None,20000,None,None,211601,562263,None,728539,None,-20966690,425192,42645817
2008-03-31,USD,3219118,370614,23624,23624,215040,131950,2848504,2782000,None,None,None,None,None,None,None,None,None,2517772,1744420,695502,None,None,178384,773352,None,26000,None,None,204236,581605,None,701346,None,-21107883,428015,42645817
2008-06-30,USD,3290389,298543,12780,12780,234111,51652,2991846,2912000,None,None,None,None,None,None,None,None,None,1802814,1618831,795217,None,None,186252,183983,None,76000,None,None,262735,553522,None,1487575,None,-20406654,430140,46772306
2008-09-30,USD,3322068,297360,3660,3660,185407,108293,3024708,2945000,None,None,None,None,None,None,None,None,None,1784272,1598440,801053,None,None,197084,185832,None,78000,None,None,275416,529546,None,1537796,None,-20481434,434099,45561787
2008-12-31,USD,3271114,229826,53848,53848,109217,66761,3041288,2960000,None,193549,193549,None,None,None,None,None,None,1487616,1325575,596005,None,None,134878,162041,None,55000,None,None,289419,476171,None,1783498,None,-20634326,458688,46595843
2009-03-31,USD,3278306,243360,65946,65946,113504,63910,3034946,2962000,None,None,None,None,None,None,None,None,None,1129451,973246,643192,None,None,132174,156205,None,49000,None,None,180879,71447,None,2148855,None,-20873370,490185,46595843
2009-06-30,USD,3485028,334916,92900,92900,145650,96366,3150112,3077000,None,None,None,None,None,None,None,None,None,1052208,895186,568568,None,None,122202,157022,None,50000,None,None,171724,72273,None,2432820,None,-20910511,508435,46595843
2009-09-30,USD,3638954,391944,23422,23422,127993,240529,3247010,3174000,None,None,None,None,None,None,None,240529,None,1113918,945917,529753,None,None,117961,168000,None,61000,None,None,178462,80282,None,2525036,None,-20960229,513340,51061186
2009-12-31,USD,4017884,539814,180613,180613,197436,161765,3478070,3404000,None,None,None,None,None,None,None,161765,None,1054653,848443,377775,None,None,57856,206210,None,99000,None,None,173708,339790,None,2963231,None,-20929169,530987,53327290
2010-03-31,USD,4052849,490232,96083,96083,176931,217218,3562617,3489000,None,None,None,None,None,None,None,217218,None,1024246,806065,444667,None,None,76738,218181,None,111000,None,None,187419,217999,None,3028603,None,-21013285,535387,53327290
2010-06-30,USD,4718595,974821,38518,38518,579362,356941,3743774,3670000,None,None,None,None,None,None,None,356941,None,1325911,1124622,665342,None,None,86357,201289,None,93000,None,None,180146,307923,None,3392684,None,-20808702,543020,46595843
2010-09-30,USD,4769507,884936,41267,41267,523826,319843,3884571,3811000,None,None,None,None,None,None,None,319843,None,1142507,943813,508550,None,None,54569,628119,None,91000,None,None,145763,315694,None,3627000,None,-20722887,549000,55198358
2010-12-31,USD,5862902,1848825,448861,448861,143291,745418,4014077,3845000,None,None,None,None,None,None,None,511255,None,974229,784322,410242,None,None,45389,189907,None,82000,None,None,127796,328691,None,4888673,None,-20123956,563073,57426529
2011-03-31,USD,6896712,2808241,1543176,1543176,216993,222362,4088471,3901000,None,None,None,None,None,None,None,825710,None,1156828,961847,580677,None,None,54669,194981,None,87000,None,None,142150,326501,None,5739884,None,-20078594,583567,57426529
2011-06-30,USD,7870487,2687065,314278,314278,764849,1094839,5183422,5009162,None,0,0,0,None,None,0,513099,None,1626869,1333443,928028,None,None,84012,293426,None,185926,None,None,269938,321403,107500,6243618,0,-19992166,593492,59662620
2011-09-30,USD,8771900,2981234,511070,511070,1242326,650313,5790666,5621579,None,0,0,0,None,None,0,577525,None,1800581,1519884,1127649,None,None,84012,280697,None,173197,None,None,257209,308223,107500,6971319,0,-19284090,593492,59692102
2011-12-31,USD,8993528,2816981,5427,5427,1066813,1438564,6176547,6047004,None,0,0,0,None,None,0,306177,None,2225155,1595433,1141529,None,None,79631,629722,None,158218,None,None,237849,477102,471504,6768373,0,-19487036,593492,60523440
2012-03-31,USD,11141139,4157872,1413583,1413583,1461149,472156,6983267,6786454,None,0,0,0,None,None,243000,340115,None,2026595,1536270,1050390,None,None,255454,490325,None,246815,None,None,502269,230426,243510,9114544,0,-19603269,608040,60523440
2012-06-30,USD,13437010,5749111,3444003,3444003,1077271,456508,7687899,7484436,None,None,None,None,None,None,243000,300460,None,1640879,1260856,829329,None,None,258988,380023,None,134503,None,None,393491,172539,245520,11796131,None,-19599499,617868,62427710
2012-09-30,USD,13666240,5094397,2376701,2376701,1454633,491735,8571843,8342000,None,0,0,0,None,None,242800,57659,None,2072314,1687791,970845,None,None,305911,384523,None,137000,None,None,442904,379367,247530,11593926,0,-19774625,617868,61786822
2012-12-31,USD,14442908,3103128,1244427,1244427,1192189,456159,11339780,10576406,None,0,0,0,None,None,242800,453969,None,3097076,1803396,1204761,None,None,280597,1293680,None,1044140,None,None,1505494,318038,249540,11345832,0,-20045572,618966,61896726
2013-03-31,USD,14185465,2538291,639234,639234,1014732,636298,11647174,10867113,None,0,0,0,None,None,245940,493967,None,3251086,2009448,1083350,None,None,469154,1241638,None,990088,None,None,1459242,456944,251550,10934379,0,-20454397,618966,61896726
2013-06-30,USD,14709103,2227287,611634,611634,878431,520695,12481816,11843592,None,0,0,0,None,None,245940,462467,None,3750234,2408189,1676716,None,None,378033,1342045,None,979735,None,None,1357768,323440,253560,10958869,0,-21006605,626217,61912660
2013-09-30,USD,13881392,1923128,331407,331407,879605,663420,11958264,11067077,None,0,0,0,None,None,246565,295261,None,3036915,2445823,1847681,None,None,141611,591092,None,263522,None,None,405133,364839,255570,10844477,0,-21131160,626217,62621726
2013-12-31,USD,14890991,1910564,266908,266908,1034770,576021,12980427,12395645,None,0,0,0,None,None,246565,279430,None,3889136,2479341,1734767,None,None,265504,1409795,None,1002215,None,None,1267719,368932,407580,11001855,0,-21686744,631562,63224806
2014-03-31,USD,15036215,1887664,253766,253766,680685,872861,13148551,12520820,None,0,0,0,None,None,248915,329267,None,4216815,3039513,1943813,None,None,553894,1177302,None,767712,None,None,1358785,449668,409590,10819400,0,-22044914,632812,63224903
2014-06-30,USD,17086207,3788287,1571476,1571476,1144036,754074,13297920,12669593,None,0,0,0,None,None,248915,318701,None,4429828,3450052,2555212,None,None,284235,979776,None,727006,None,None,1011241,518467,252770,12656379,0,-22469185,650154,63425109
2014-09-30,USD,16803881,2955794,538174,538174,1132915,985546,13848087,13198165,None,0,0,0,None,None,249147,299159,None,3554662,2587376,1875028,None,None,169903,967286,None,713306,None,None,883209,500930,253980,13249219,0,-23028515,660274,65689496
2014-12-31,USD,16545031,2303669,123683,123683,1433539,454674,14241362,13511803,None,0,0,0,None,None,249000,291773,None,3549497,2292640,1821673,None,None,159278,1256857,None,876667,159278,None,1035945,195727,380190,12995534,0,-23282199,660274,68523903
2015-03-31,USD,18194262,3611061,136086,136086,2307164,535756,14583201,13835448,None,0,0,0,None,None,250000,632055,None,4629835,2832306,1942741,None,None,319965,1797529,None,1503555,None,None,1823520,348328,293974,13564427,0,-22842171,662162,68523903
2015-06-30,USD,18655452,3982004,74125,74125,2316266,899831,14673448,13984812,None,0,0,0,None,None,250000,691782,None,5289700,3243915,2297779,None,None,329368,2045785,None,1713026,None,None,2042394,421761,332759,13365752,0,-23039932,662162,66216278
2015-09-30,USD,19710027,3734961,203324,203324,2210028,757444,15975066,15883827,None,0,0,0,None,None,250000,564165,None,6305167,3092124,2016380,None,None,308326,3213043,None,2841500,None,None,3149826,554700,371543,13404860,0,-23175823,663162,66248887
2015-12-31,USD,18260201,2136326,133543,133543,1094238,422673,16123875,16030333,None,0,0,0,None,None,250000,485872,None,5800248,2429830,1629972,None,None,311959,3370418,None,2972591,181287,None,3284550,409169,397827,12459953,0,-24120730,663162,66509685
2016-03-31,USD,18458869,2326089,137664,137664,950084,868024,16132780,16039238,None,0,0,0,None,None,251000,370317,None,6050056,2948379,1960029,None,None,395395,3101677,None,2802486,None,None,3197881,514225,299191,12408813,0,-24309370,668662,66509685
2016-06-30,USD,18234739,2176971,82942,82942,905702,671851,16057768,15949000,None,0,0,0,None,None,252000,516476,None,5982562,2936312,1730610,None,None,458716,3046250,None,2708196,None,None,3166912,668256,338054,12252177,0,-24466006,668662,66866278
2016-09-30,USD,17705987,1717878,43318,43318,738118,520117,15988109,15879000,None,0,0,0,None,None,252000,416325,None,6250867,3214473,1658225,None,None,468563,3036394,None,2659476,None,None,3128039,1008955,376918,11455120,0,-25263063,668662,66866278
2016-12-31,USD,17765998,1692555,10057,10057,855637,552119,16073443,15695966,None,0,0,0,None,None,252000,274742,None,6423745,3382123,1797251,None,None,558363,3041622,None,2607090,391046,None,3165453,947779,434532,11342253,0,-25429930,670662,67183466
2017-03-31,USD,17719311,1733777,11129,11129,911023,554380,15985534,15559890,None,0,0,0,None,None,252000,257245,None,6599611,3754101,2121759,None,None,617295,2845510,None,2534531,617295,None,3151826,936317,310979,11119700,0,-25821233,674881,67183466
2017-06-30,USD,17533395,1655321,24550,24550,806441,541284,15878074,15417160,None,0,0,0,None,365120,252000,283046,None,6430650,3598492,1864415,None,None,654668,2832158,None,2475981,2167318,None,3130649,1000679,356177,11102745,0,-25838188,674881,67488153
2017-09-30,USD,17539162,1740041,27576,27576,939880,496397,15799121,15338206,None,0,0,0,None,365120,252000,276188,None,6698982,3880431,2199458,None,None,598160,2818551,None,2417177,495134,None,3015337,1004083,401374,10840180,0,-26100753,674881,67488153
2017-12-31,USD,17131254,1562270,27987,27987,914709,362579,15132897,15132897,None,0,0,0,None,None,252000,320340,None,6754645,3934726,3106876,None,None,739553,2819919,None,2373347,546988,None,3112900,88297,446572,10376609,0,-26564324,674881,67488063
2018-03-31,USD,17131254,1562270,27987,27987,914709,362579,15568984,14950140,None,0,0,0,None,None,252717,4697,None,6754645,3934726,2287237,None,None,739553,2819919,None,2294091,598658,None,3033644,847887,491859,10376609,0,-26564324,674881,67488063
2018-06-30,USD,16745467,1442819,15878,15878,712696,461291,15302648,14854626,None,0,0,0,None,None,252954,252954,None,6791083,4209889,2373096,None,None,823664,2581194,None,2219048,632655,None,3042712,980729,362146,9954384,0,-27161549,682271,67959175
2018-09-30,USD,17451374,2063348,519282,519282,716896,574216,15388026,14866458,None,0,0,0,None,None,252954,252954,None,6229543,3686351,2321024,None,None,769407,2543192,None,2135759,669407,None,2905166,563520,407433,11221831,0,-25894102,682271,68373471
2018-12-31,USD,17557123,1903256,56650,56650,755261,838391,15227172,15227172,None,None,None,None,None,None,252954,710201,None,6132289,3517618,2549359,None,None,889377,2614671,None,2161951,705460,None,3051328,78882,452720,11424834,None,-25691099,682271,68394204
2019-03-31,USD,17557123,1903256,56650,56650,755261,838391,15653867,15316467,None,None,None,None,None,None,252954,252954,None,6132289,3517618,1942844,None,None,889377,2614671,None,2102664,838442,None,2992041,652997,485507,11424834,None,-25691099,682271,68394204
2019-06-30,USD,17119227,1440007,45762,45762,723688,417005,15679220,15254204,None,None,None,None,None,None,253552,253552,None,6576892,4180942,2085376,None,None,961661,2395950,None,2052656,961661,None,3014317,1101505,343294,10542335,None,-26884598,687573,68721070
2019-09-30,USD,16973326,1356324,71758,71758,708074,322940,15617002,15229807,None,None,None,None,None,None,253552,253552,None,6568261,4178761,2119661,None,None,1049994,2389500,None,2010294,1049994,None,3060288,976706,379206,10405065,None,-27453190,696614,69224297
2019-12-31,USD,13693975,1279755,115506,115506,626244,284453,12186848,12186848,None,None,None,None,None,None,253552,310813,None,5226833,3975681,3294174,None,None,253400,1251152,None,76762,253400,None,330162,428107,1174390,8467142,None,-29363990,696614,69697150
2020-03-31,USD,13693975,1279755,115506,115506,626244,284453,12414220,12056838,None,None,None,None,None,None,253552,253552,None,5226833,3975681,2339857,None,None,253400,1251152,None,822535,255356,None,1075935,1350024,449022,8467142,None,-29363990,696614,69697150
2020-06-30,USD,13406307,1197617,123415,123415,586354,233636,12208690,11937366,None,None,None,None,None,None,254212,254212,None,5329347,3719938,2084101,None,None,221806,1609409,None,499383,221806,None,1477336,1381631,353879,8076960,None,-29947155,702068,70177677
2020-09-30,USD,14115298,2476542,1435225,1435225,565050,222054,11638756,11421503,None,None,None,None,None,None,254213,254213,None,5218510,3588963,2082642,None,None,206752,1629547,None,1245811,206752,None,1452563,1267169,383736,8896788,None,-30940395,759496,73240218
2020-12-31,USD,13299502,1808161,665102,665102,650213,238634,11491341,11225594,None,None,None,None,None,None,254212,254212,None,6113113,4477543,1876874,None,None,152122,1635570,None,34304,152122,None,629826,571670,1157866,7186389,None,-32650794,759496,92711336
2021-03-31,USD,35895241,24604720,23042330,23042330,717750,537567,11290521,11026428,None,None,None,None,None,None,254873,307073,None,3938541,3030427,1294514,None,None,40770,908114,None,476538,40770,None,517308,1695143,431576,31956700,None,-32986282,1059634,92711336
