date,dividend
2011-08-03,4.07
2011-11-03,5.72
2012-02-03,5.88
2012-05-04,5.23
2012-08-03,6.0
2012-11-05,4.96
2013-02-05,1.92
2013-05-06,6.1
2013-08-05,5.83
2013-11-06,3.6
2014-02-27,4.3
2014-05-08,3.8
2014-08-07,3.3
2014-11-06,2.7
2015-02-26,4.1
2015-05-07,4.5
2015-08-06,3.9
2016-02-25,2.7
2016-05-05,2.7
2016-08-04,1.7
2017-05-04,0.2
2019-03-01,1.2
2019-05-03,0.7
2019-08-02,1.4
2019-11-01,0.7
2021-08-12,1.72
2021-11-10,2.93
2022-03-04,5.24
2022-05-12,2.26
2022-08-11,10.05
2022-11-10,1.77
2023-03-03,10.5
2023-05-12,10.43
2023-08-11,4.14
2023-11-10,1.55
2024-03-01,1.68
2024-05-10,1.92
2024-08-12,1.9
2024-11-08,1.19
2025-03-03,1.75
2025-05-12,2.26
2025-08-11,3.89
2025-11-10,4.02
2026-03-02,0.37
