fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,396483000,2484366000,2087883000,2087883000,313251000,83232000,None,83232000,None,None,None,16518999,None,None,None,87112000,282549000,87990000,None,None,None,313251000,400363000,194559000
2007-12-31,USD,271400000,3192178000,2920778000,2920778000,174721000,96679000,None,96679000,None,None,None,18422000,None,None,None,103514000,158957000,44228000,None,None,None,177379000,280893000,114729000
2008-12-31,USD,69368000,3692353000,3622985000,3622985000,-29540000,98908000,None,98908000,None,None,None,33957000,None,None,None,111926000,-58022000,-28479000,None,None,None,-24065000,87861000,-29543000
2009-12-31,USD,195128000,2325723000,2130595000,2130595000,107257000,87871000,None,87871000,None,None,None,34957000,None,None,None,123199000,78753000,25758000,None,None,None,113710000,236909000,52995000
2010-12-31,USD,482683000,3171787000,2689104000,2689104000,378364000,104319000,None,104319000,None,None,None,39875000,None,None,None,128732000,342960000,121567000,None,None,None,382835000,511567000,221393000
2011-12-31,USD,559006000,3619848000,3060842000,3060842000,446796000,112210000,0,112210000,None,None,None,50992000,None,5628000,None,131397000,401432000,142466000,None,258966000,None,452424000,583821000,258966000
2012-12-31,USD,736960000,3571041000,2834081000,2834081000,615351000,121609000,0,121609000,None,None,None,43049000,None,-3562000,None,144541000,585169000,199614000,None,369126000,None,628218000,772759000,385555000
2013-12-31,USD,1101438000,3759484000,2658046000,2658046000,953464000,147974000,0,147974000,None,None,None,18082000,None,6790000,None,157808000,942172000,331747000,None,1273919000,None,960254000,1118062000,610425000
2014-12-31,USD,1317350000,4415350000,3098000000,3098000000,1123991000,183745000,0,193359000,None,None,None,37352000,None,-2721000,None,208486000,1083918000,398902000,None,1482820000,None,1121270000,1329756000,678523000
2015-12-31,USD,1185000000,4463000000,3278000000,3278000000,960000000,218000000,0,225000000,None,None,13195000,34656000,None,38270000,None,246000000,963000000,298000000,None,1261837000,None,998000000,1244000000,646000000
2016-12-31,USD,983000000,5076000000,4093000000,4093000000,583000000,295436000,0,400000000,None,-71052000,8421000,79473000,None,56398000,None,378000000,558000000,138000000,None,696899000,None,637000000,1015000000,399000000
2017-12-31,USD,1761000000,8041000000,6280000000,6280000000,1225000000,399000000,0,536000000,None,-159000000,159000000,159000000,None,7000000,None,601000000,1081000000,-258000000,None,823000000,None,1240000000,1841000000,1304000000
2018-12-31,USD,1987000000,8635000000,6648000000,6648000000,1408000000,445000000,0,579000000,None,-126000000,126000000,126000000,None,52000000,None,641000000,1334000000,300000000,None,1034000000,None,1460000000,2101000000,996000000
2019-12-31,USD,1260000000,8118000000,6858000000,6858000000,656000000,458000000,None,604000000,None,-124000000,124000000,124000000,None,38000000,None,713000000,570000000,108000000,None,462000000,None,694000000,1407000000,421000000
2020-12-31,USD,1023000000,7504000000,6481000000,6481000000,429000000,435000000,None,594000000,None,-142000000,142000000,142000000,None,44000000,None,773000000,331000000,-42000000,None,373000000,None,473000000,1246000000,330000000
2021-12-31,USD,3495000000,11778000000,8283000000,8283000000,2800000000,528000000,None,695000000,None,-176000000,176000000,176000000,None,53000000,None,840000000,2677000000,607000000,None,2070000000,None,2853000000,3693000000,2015000000
2022-12-31,USD,4073000000,15794000000,11721000000,11721000000,3050000000,809000000,None,1023000000,None,-177000000,153000000,177000000,None,73000000,None,1056000000,2946000000,649000000,None,2297000000,None,3123000000,4179000000,2247000000
2023-12-31,USD,2219000000,12548000000,10329000000,10329000000,729000000,865000000,None,1490000000,None,-165000000,78000000,165000000,None,None,None,1097000000,700000000,178000000,None,522000000,None,865000000,1962000000,479000000
2024-12-31,USD,1957000000,12142000000,10185000000,10185000000,875000000,874000000,None,1082000000,None,-6000000,153000000,159000000,None,None,None,1114000000,938000000,291000000,None,647000000,None,1097000000,2211000000,602000000
2025-12-31,USD,289000000,11170000000,10881000000,10881000000,-1578000000,910000000,None,1867000000,None,-71000000,100000000,161000000,None,None,None,1237000000,-1597000000,-164000000,None,-1471000000,None,-1436000000,-199000000,-1508000000
