fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,209000000,None,None,None,None,358000000,283000000,None,277000000,None,-276000000,86000000,None,None,None,None,None,None,None,None,None,None,None,None,92000000,None,None,-459000000
2006-06-30,USD,-4000000,None,None,None,None,340000000,256000000,None,None,None,-277000000,297000000,None,None,None,None,None,None,None,None,None,None,None,None,-75000000,None,None,-382000000
2006-09-30,USD,143000000,None,None,None,None,334000000,298000000,None,None,None,749000000,-863000000,None,None,None,None,None,None,None,None,None,None,None,None,-235000000,None,None,-133000000
2006-12-31,USD,-25000000,None,None,None,None,330000000,308000000,None,805000000,None,-261000000,261000000,None,None,None,None,None,None,None,None,None,None,None,None,24000000,None,None,-396000000
2007-03-31,USD,266000000,None,None,None,None,331000000,298000000,None,1011000000,None,-321000000,200000000,None,None,None,None,None,None,None,None,None,None,None,None,12000000,None,None,-381000000
2007-06-30,USD,-148000000,None,None,None,None,334000000,281000000,None,None,None,-266000000,290000000,None,None,None,None,None,None,None,None,None,None,None,None,22000000,None,None,-360000000
2007-09-30,USD,209000000,None,None,None,None,334000000,311000000,None,None,None,-348000000,117000000,None,None,None,None,None,None,None,None,None,None,None,None,8000000,None,None,-407000000
2007-12-31,USD,43000000,None,None,None,None,329000000,354000000,None,880000000,None,-203000000,219000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-468000000
2008-03-31,USD,204000000,None,None,None,None,321000000,334000000,None,620000000,None,-436000000,624000000,None,None,None,None,None,None,None,None,None,None,None,None,13000000,None,None,-359000000
2008-06-30,USD,-36000000,None,None,None,None,328000000,316000000,None,None,None,-266000000,-102000000,None,None,None,None,None,None,None,None,None,None,None,None,9000000,None,None,-274000000
2008-09-30,USD,242000000,None,None,None,None,332000000,288000000,None,None,None,-278000000,542000000,None,None,None,None,None,None,None,None,None,None,None,None,18000000,None,None,-322000000
2008-12-31,USD,-11000000,None,None,None,None,329000000,303000000,None,None,None,-230000000,632000000,None,None,None,None,None,None,None,None,None,None,None,None,1491000000,None,None,-1495000000
2009-03-31,USD,187000000,None,None,None,None,321000000,296000000,None,11880000000,None,-292000000,-19000000,None,None,None,None,None,None,None,None,None,None,None,None,-21000000,None,None,-334000000
2009-06-30,USD,438000000,None,None,None,None,329000000,263000000,None,None,None,-267000000,-15000000,None,None,None,None,None,None,None,None,None,None,None,None,-155000000,None,None,-159000000
2009-09-30,USD,383000000,None,None,None,None,327000000,278000000,None,None,None,-282000000,-18000000,None,None,None,None,None,None,None,None,None,None,None,None,1459000000,None,None,-2430000000
2009-12-31,USD,-414000000,None,None,None,None,339000000,711000000,None,12163000000,None,-463000000,556000000,None,None,None,None,None,None,None,None,None,None,1614000000,None,None,None,None,12718000000
2010-03-31,USD,530000000,None,None,None,None,369000000,325000000,None,412000000,None,-330000000,-700000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24000000
2010-06-30,USD,451000000,None,None,None,None,380000000,324000000,None,None,None,-323000000,-315000000,None,None,None,None,None,None,None,None,None,None,None,None,32000000,None,None,-81000000
2010-09-30,USD,441000000,None,None,None,None,385000000,306000000,None,None,None,-309000000,483000000,None,None,None,None,None,None,None,None,None,None,None,None,3000000,None,None,-95000000
2010-12-31,USD,489000000,None,None,None,None,390000000,246000000,None,625000000,None,-208000000,-931000000,None,None,None,None,None,None,None,None,None,None,-6000000,None,283000000,None,None,-85000000
2011-03-31,USD,447000000,None,None,None,None,383000000,375000000,24000000,619000000,None,-381000000,-44000000,None,None,None,None,0,0,None,None,None,None,-207000000,None,67000000,22000000,None,-110000000
2011-06-30,USD,460000000,None,None,None,None,393000000,343000000,-19000000,0,None,-313000000,-7000000,None,None,None,None,0,0,None,None,None,None,0,None,53000000,140000000,None,-107000000
2011-09-30,USD,405000000,None,None,None,None,405000000,393000000,-10000000,0,None,-410000000,-157000000,None,None,None,None,0,0,None,None,None,None,-116000000,None,306000000,-162000000,None,-85000000
2011-12-31,USD,425000000,None,None,None,None,411000000,270000000,-20000000,748000000,None,-263000000,-165000000,None,None,None,None,0,0,None,None,None,None,-410000000,None,86000000,-3000000,None,-67000000
2012-03-31,USD,454000000,None,None,None,None,408000000,352000000,40000000,794000000,None,-365000000,-87000000,None,None,None,None,0,0,None,None,None,None,-3000000,None,109000000,2000000,None,-94000000
2012-06-30,USD,469000000,None,None,None,None,415000000,443000000,-24000000,0,None,-420000000,-48000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,142000000,1000000,None,-83000000
2012-09-30,USD,468000000,None,None,None,None,424000000,485000000,2000000,0,None,-494000000,889000000,None,None,None,None,0,0,None,None,None,None,0,None,13000000,863000000,None,-87000000
2012-12-31,USD,485000000,None,None,None,None,466000000,433000000,16000000,0,None,-458000000,-888000000,None,None,None,None,0,0,None,None,None,None,-7000000,None,13000000,-861000000,None,-40000000
2013-03-31,USD,541000000,None,None,None,None,425000000,423000000,26000000,900000000,None,-432000000,-51000000,None,None,None,None,0,0,None,None,None,None,-5000000,None,11000000,58000000,None,-42000000
2013-06-30,USD,484000000,None,None,None,None,436000000,409000000,-15000000,957000000,None,-414000000,-91000000,None,None,None,None,0,0,None,None,None,None,-5000000,None,15000000,-21000000,None,-96000000
2013-09-30,USD,538000000,None,None,None,None,493000000,1079000000,-1000000,1018000000,None,-1080000000,539000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,11000000,-3000000,None,-70000000
2013-12-31,USD,595000000,None,None,None,None,500000000,514000000,None,1169000000,None,-517000000,-98000000,None,None,None,None,0,0,None,None,None,None,-4000000,None,11000000,-20000000,None,39000000
2014-03-31,USD,577000000,None,None,None,None,505000000,503000000,18000000,1202000000,None,-499000000,-95000000,None,None,None,None,0,0,None,None,None,None,-11000000,None,12000000,-17000000,None,-37000000
2014-06-30,USD,632000000,None,None,None,None,528000000,562000000,-36000000,1275000000,None,-567000000,-60000000,None,None,None,None,0,0,None,None,None,None,-6000000,None,15000000,5000000,None,-45000000
2014-09-30,USD,520000000,None,None,None,None,535000000,582000000,-18000000,1206000000,None,-4099000000,3580000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,14000000,1000000,None,-53000000
2014-12-31,USD,630000000,None,None,None,None,534000000,541000000,-15000000,1276000000,None,-4139000000,3502000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,14000000,-7000000,None,-48000000
2015-03-31,USD,528000000,None,None,None,None,514000000,427000000,21000000,1041000000,None,-441000000,-70000000,None,None,None,None,0,0,None,None,None,None,-16000000,None,19000000,17000000,None,-81000000
2015-06-30,USD,531000000,None,None,None,None,528000000,373000000,-58000000,1186000000,None,6683000000,-7204000000,None,None,None,None,0,0,None,None,None,None,-7000000,None,19000000,10000000,None,-122000000
2015-09-30,USD,689000000,None,None,None,None,538000000,481000000,30000000,1424000000,None,-20107000000,19388000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,20000000,-30000000,None,54000000
2015-12-31,USD,611000000,None,None,None,None,545000000,531000000,12000000,1643000000,None,-3167000000,2561000000,None,None,None,None,0,0,None,None,None,None,-14000000,None,20000000,5000000,None,-122000000
2016-03-31,USD,424000000,None,None,None,None,539000000,485000000,24000000,292000000,None,-536000000,1385000000,None,None,None,None,0,0,None,None,None,None,-16000000,None,24000000,1273000000,None,-188000000
2016-06-30,USD,1590000000,None,None,None,None,1436000000,29876000000,-124000000,6514000000,None,-7567000000,5254000000,None,None,None,None,18000000,18000000,None,None,None,None,-83000000,None,208000000,-723000000,None,3114000000
2016-09-30,USD,2801000000,None,None,None,None,2437000000,1800000000,98000000,5940000000,None,-1802000000,-389000000,None,None,None,None,37000000,37000000,None,None,None,None,-349000000,None,138000000,610000000,None,250000000
2016-12-31,USD,3226000000,None,None,None,None,2495000000,1371000000,-158000000,6298000000,None,-1603000000,-1253000000,None,None,None,None,6276000000,6276000000,None,None,None,None,-1114000000,None,122000000,370000000,None,569000000
2017-03-31,USD,2843000000,None,None,None,None,2550000000,1705000000,236000000,4771000000,None,-1739000000,281000000,None,None,None,None,38000000,38000000,None,None,None,None,-895000000,None,86000000,1385000000,None,211000000
2017-06-30,USD,2945000000,None,None,None,None,2595000000,1801000000,-175000000,5619000000,None,-2245000000,-2926000000,None,None,None,None,37000000,37000000,None,None,None,None,-3328000000,None,85000000,-2226000000,None,195000000
2017-09-30,USD,2908000000,None,None,None,None,2701000000,2314000000,-162000000,6347000000,None,-2821000000,1383000000,None,None,None,None,40000000,40000000,None,None,None,None,-3525000000,None,70000000,1470000000,None,92000000
2017-12-31,USD,3258000000,None,None,None,None,2742000000,2050000000,17000000,8574000000,None,-2958000000,-1843000000,None,None,None,None,13050000000,13050000000,None,None,None,None,-3967000000,None,69000000,-1543000000,None,9617000000
2018-03-31,USD,2699000000,None,None,None,None,2710000000,2748000000,226000000,9073000000,None,-2865000000,121000000,None,None,None,None,39000000,39000000,None,None,None,None,-617000000,None,77000000,-45000000,None,223000000
2018-06-30,USD,3096000000,None,None,None,None,2592000000,2292000000,-210000000,11314000000,None,-2570000000,-329000000,None,None,None,None,37000000,37000000,None,None,None,None,-1664000000,None,70000000,197000000,None,339000000
2018-09-30,USD,2804000000,None,None,None,None,2482000000,2272000000,-117000000,9115000000,None,-2468000000,-449000000,None,None,None,None,38000000,38000000,None,None,None,None,-933000000,None,71000000,-113000000,None,584000000
2018-12-31,USD,3168000000,None,None,None,None,2534000000,2283000000,3000000,9242000000,None,-2489000000,-574000000,None,None,None,None,2384000000,2384000000,None,None,None,None,-1185000000,None,72000000,105000000,None,360000000
2019-03-31,USD,2686000000,None,None,None,None,2550000000,2041000000,155000000,7899000000,None,-2173000000,348000000,None,None,None,None,39000000,39000000,None,None,None,None,-940000000,None,85000000,861000000,None,317000000
