fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,3705000000,5901000000,2196000000,2196000000,1050000000,1422000000,0,2655000000,None,None,None,476000000,None,None,None,1151000000,476000000,164000000,None,0,None,1004000000,2155000000,466000000
2006-06-30,USD,3918000000,6228000000,2310000000,2310000000,1229000000,1467000000,0,2689000000,None,None,None,496000000,None,None,None,1203000000,818000000,362000000,None,0,None,1173000000,2376000000,460000000
2006-09-30,USD,4132000000,6432000000,2300000000,2300000000,1224000000,1721000000,0,2908000000,None,None,None,530000000,None,None,None,1093000000,1582000000,610000000,None,0,None,1344000000,2437000000,1217000000
2006-12-31,USD,4580000000,7031000000,2451000000,2451000000,1218000000,1904000000,0,3362000000,None,None,None,562000000,None,None,None,1515000000,652000000,221000000,None,0,None,1218000000,2733000000,390000000
2007-03-31,USD,4629000000,7388000000,2759000000,2759000000,1261000000,1866000000,0,3368000000,None,None,None,568000000,None,None,None,1502000000,1359000000,526000000,None,0,None,1261000000,2763000000,837000000
2007-06-30,USD,4958000000,7712000000,2754000000,2754000000,1468000000,1946000000,0,3490000000,None,None,None,550000000,None,None,None,1544000000,1029000000,453000000,None,0,None,1468000000,3012000000,588000000
2007-09-30,USD,5022000000,7781000000,2759000000,2759000000,1391000000,1354000000,0,3631000000,None,None,None,571000000,None,None,None,1538000000,965000000,421000000,None,0,None,1391000000,2929000000,560000000
2007-12-31,USD,5111000000,8014000000,2903000000,2903000000,1458000000,1774000000,0,3653000000,None,None,None,600000000,None,None,None,1624000000,996000000,400000000,None,0,None,1458000000,3082000000,602000000
2008-03-31,USD,5282000000,8389000000,3107000000,3107000000,1555000000,1854000000,0,3727000000,None,None,None,621000000,None,None,None,1619000000,1246000000,508000000,None,0,None,1867000000,3486000000,732000000
2008-06-30,USD,5462000000,8553000000,3091000000,3091000000,1750000000,1868000000,0,3712000000,None,None,None,618000000,None,None,None,1601000000,1074000000,455000000,None,0,None,1692000000,3293000000,632000000
2008-09-30,USD,5454000000,8549000000,3095000000,3095000000,1670000000,1966000000,0,3784000000,None,None,None,601000000,None,None,None,1567000000,1157000000,401000000,None,0,None,1670000000,3237000000,771000000
2008-12-31,USD,4586000000,8765000000,4179000000,4179000000,1757000000,1964000000,0,2829000000,None,None,None,599000000,None,None,None,1613000000,581000000,169000000,None,0,None,1522000000,3135000000,412000000
2009-03-31,USD,5270000000,8835000000,3565000000,3565000000,1811000000,1830000000,0,3459000000,None,None,None,570000000,None,None,None,1633000000,1239000000,461000000,None,0,None,1809000000,3442000000,772000000
2009-06-30,USD,3535000000,8938000000,5403000000,5403000000,1875000000,1862000000,0,1660000000,None,None,None,551000000,None,None,None,1660000000,1380000000,424000000,None,0,None,1931000000,3591000000,956000000
2009-09-30,USD,5312000000,8802000000,3490000000,3490000000,1711000000,1989000000,0,3601000000,None,None,None,707000000,None,None,None,1615000000,1137000000,203000000,None,0,None,1844000000,3459000000,944000000
2009-12-31,USD,5385000000,9181000000,3796000000,3796000000,1817000000,1981000000,0,3568000000,None,None,None,520000000,None,None,None,1592000000,1350000000,390000000,None,0,None,1870000000,3462000000,955000000
2010-03-31,USD,5470000000,9202000000,3732000000,3732000000,1935000000,1905000000,0,3535000000,None,None,None,524000000,None,None,None,1630000000,1470000000,591000000,None,0,None,1994000000,3624000000,866000000
2010-06-30,USD,5698000000,9525000000,3827000000,3827000000,2078000000,1961000000,0,3620000000,None,None,None,543000000,None,None,None,1659000000,1474000000,588000000,None,0,None,2017000000,3676000000,884000000
2010-09-30,USD,5697000000,9489000000,3792000000,3792000000,1954000000,2119000000,0,3743000000,None,None,None,545000000,None,None,None,1624000000,1454000000,584000000,None,0,None,1999000000,3623000000,867000000
2010-12-31,USD,5822000000,9721000000,3899000000,3899000000,2013000000,2106000000,0,3809000000,None,None,None,544000000,None,None,None,1703000000,1706000000,673000000,None,0,None,2250000000,3953000000,1018000000
2011-03-31,USD,4066000000,12128000000,8062000000,8062000000,2224000000,2755000000,0,1842000000,None,None,None,605000000,None,16000000,None,1842000000,1635000000,596000000,None,1039000000,None,2240000000,4082000000,943000000
2011-06-30,USD,8993000000,14333000000,5340000000,5340000000,2938000000,3085000000,0,6055000000,None,None,None,621000000,None,64000000,None,1863000000,2381000000,1014000000,None,1367000000,None,3002000000,4865000000,1022000000
2011-09-30,USD,8942000000,14339000000,5397000000,5397000000,2641000000,3266000000,0,6301000000,None,None,None,637000000,None,-199000000,None,6702000000,1805000000,639000000,None,1166000000,None,2442000000,9144000000,908000000
2011-12-31,USD,9344000000,15042000000,5698000000,5698000000,2918000000,3382000000,0,6426000000,None,None,None,642000000,None,None,None,1998000000,2386000000,801000000,None,0,None,3028000000,5026000000,1287000000
2012-03-31,USD,9059000000,14878000000,5819000000,5819000000,2758000000,3168000000,0,6301000000,None,None,None,640000000,None,None,None,4083000000,2197000000,750000000,None,0,None,2837000000,6920000000,1224000000
2012-06-30,USD,5004000000,15211000000,10207000000,10207000000,3079000000,3306000000,0,1925000000,None,None,None,625000000,None,None,None,3928000000,2444000000,811000000,None,0,None,3069000000,6997000000,1348000000
2012-09-30,USD,9743000000,16544000000,6801000000,6801000000,3048000000,5810000000,0,6695000000,None,None,None,633000000,None,None,None,5099000000,4383000000,1405000000,None,0,None,5016000000,10115000000,2113000000
2012-12-31,USD,11021000000,15937000000,4916000000,4916000000,3294000000,4650000000,0,7727000000,None,None,None,623000000,None,None,None,4142000000,2585000000,778000000,None,0,None,3208000000,7350000000,1518000000
2013-03-31,USD,10647000000,15310000000,4663000000,4663000000,3067000000,4466000000,0,7580000000,None,None,None,653000000,None,156000000,None,3939000000,2570000000,925000000,None,1645000000,None,3223000000,7162000000,1437000000
2013-06-30,USD,11302000000,16270000000,4968000000,4968000000,3435000000,4570000000,0,7867000000,None,None,None,636000000,None,-7000000,None,18000000,2792000000,1048000000,None,1744000000,None,5400000000,5418000000,1734000000
2013-09-30,USD,11364000000,16151000000,4787000000,4787000000,3414000000,4751000000,0,7950000000,None,None,None,639000000,None,24000000,None,1916000000,2799000000,1021000000,None,1778000000,None,3438000000,5354000000,1732000000
2013-12-31,USD,11674000000,16926000000,5252000000,5252000000,3647000000,4797000000,0,8027000000,None,None,None,646000000,None,None,None,4249000000,2954000000,986000000,None,0,None,3600000000,7849000000,1913000000
2014-03-31,USD,11500000000,17408000000,5908000000,5908000000,3568000000,4752000000,0,7932000000,None,None,None,642000000,None,130000000,None,1970000000,3056000000,1118000000,None,1938000000,None,3698000000,5668000000,1871000000
2014-06-30,USD,11970000000,16844000000,4874000000,4874000000,3804000000,4924000000,0,8166000000,None,None,None,648000000,None,103000000,None,2000000000,3259000000,1234000000,None,2025000000,None,3907000000,5907000000,1992000000
