fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,1743159000,239943000,65610000,65610000,43664000,61215000,1503216000,152114000,None,951864000,951864000,385833000,None,None,None,113118000,None,714226000,41561000,35110000,None,None,-56687000,672665000,None,500269000,None,None,506602000,28028000,None,1028933000,None,-156392000,13000,124293792
2006-03-31,USD,1621712000,114093000,19219000,19219000,None,51018000,1507619000,151607000,None,948106000,948106000,385833000,None,None,None,43856000,None,720438000,38612000,32157000,None,None,6337000,681826000,None,501943000,None,None,508280000,118000,None,901274000,None,-144273000,11000,109507016
2006-06-30,USD,1447152000,206990000,20258000,20258000,43837000,66635000,1240162000,147868000,None,841010000,841010000,229597000,None,None,None,120097000,None,708731000,39217000,32767000,None,None,6332000,669514000,None,499625000,None,None,505957000,118000,None,738421000,None,-312271000,12000,105080809
2006-09-30,USD,1448914000,216093000,21054000,21054000,43736000,70095000,1232821000,147905000,None,840509000,840509000,229597000,None,None,None,124944000,None,711117000,40469000,34069000,None,None,6282000,670648000,None,497349000,None,None,503631000,118000,None,737797000,None,-312379000,12000,107279346
2006-12-31,USD,1418664000,193205000,118525000,118525000,None,61036000,1225459000,145975000,None,836220000,836220000,229210000,None,None,None,13644000,None,666945000,37585000,33770000,None,None,3697000,629360000,None,494073000,None,None,497770000,118000,None,751719000,None,-290991000,12000,107279346
2007-03-31,USD,1411332000,196613000,126126000,126126000,None,56427000,1214719000,142881000,None,831651000,831651000,229210000,None,None,None,14060000,None,662104000,36111000,31096000,None,None,4897000,625993000,None,492888000,None,None,497785000,118000,None,749228000,None,-294278000,12000,104285879
2007-06-30,USD,1437760000,216903000,133896000,133896000,None,66802000,1220857000,140806000,None,829718000,829718000,229210000,None,None,None,16205000,None,675973000,41622000,35410000,None,None,6094000,634351000,None,490530000,None,None,496624000,118000,None,761787000,None,-285680000,13000,105124162
2007-09-30,USD,1396216000,189873000,103678000,103678000,None,68601000,1206343000,138080000,None,825157000,825157000,229210000,None,None,None,17594000,None,676362000,42609000,36406000,None,None,6085000,633753000,None,489263000,None,None,495348000,118000,None,719854000,-1000,-287057000,13000,103224022
2007-12-31,USD,1366148000,280311000,86945000,86945000,34406000,55986000,1085837000,92959000,None,812987000,812987000,168135000,None,None,None,137380000,None,708338000,64910000,57944000,None,None,1076000,643428000,None,483002000,None,None,484078000,5772000,None,657810000,None,-334108000,10000,103020657
2008-03-31,USD,1300205000,215986000,29421000,29421000,32978000,49686000,1084219000,93200000,None,800284000,800284000,179360000,None,None,None,136879000,None,681778000,40678000,32849000,None,None,1050000,641100000,None,473001000,None,None,474051000,6661000,None,618427000,None,-341812000,10000,95416338
