fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,79860000,None,None,None,None,54121000,41139000,None,-1490000,None,-129305000,44871000,None,None,None,None,6756000,6756000,None,None,None,None,-7396000,None,1322000,None,None,11711000
2007-12-31,USD,28360000,None,None,None,None,56792000,24834000,None,3307000,None,-25662000,7899000,None,None,None,None,7709000,7709000,None,None,None,None,-43408000,None,-300000,None,None,-23151000
2008-12-31,USD,73675000,None,None,None,None,51423000,16289000,None,-4043000,None,-16340000,-42024000,None,None,None,None,8825000,8825000,None,None,None,None,-185000,None,338974000,None,None,-202016000
2009-12-31,USD,18903000,None,None,None,None,48302000,17756000,None,4478000,None,-17531000,-16021000,None,None,None,None,None,None,None,None,None,None,None,None,2441000,None,None,-23047000
2010-12-31,USD,38126000,None,None,None,None,46519000,19395000,None,-4278000,None,-19506000,-29189000,None,None,None,None,14892000,14892000,None,None,None,None,-60693000,None,-758000,None,None,23163000
2011-12-31,USD,38173000,None,None,None,None,39792000,24274000,None,-518000,None,-21869000,-16545000,None,None,None,None,6596000,6596000,None,None,None,None,-13385000,None,-938000,None,None,9035000
2012-12-31,USD,89372000,None,None,None,None,34289000,24523000,-389000,6736000,None,-23306000,-60189000,None,None,None,None,16731000,16731000,None,None,None,None,-25922000,None,904000,5877000,None,28129000
2013-12-31,USD,60239000,None,None,None,None,35799000,24053000,-7391000,-2209000,None,-60527000,2699000,None,None,None,None,0,0,None,None,None,None,280000,None,2002000,2411000,None,18288000
2014-12-31,USD,134219000,None,None,None,None,51416000,32215000,-17442000,11848000,None,-501892000,384964000,None,None,None,None,0,0,None,None,None,None,0,None,5037000,17291000,None,48061000
2015-12-31,USD,105614000,None,None,None,None,63654000,24222000,-14787000,2949000,None,-206382000,167317000,None,None,None,None,0,0,None,None,None,None,-1105000,None,4045000,66549000,None,39301000
2016-12-31,USD,206633000,None,None,None,None,81520000,43604000,-6107000,4096000,None,-479334000,500572000,None,None,None,None,39000000,39000000,None,None,None,None,-2000000,None,5128000,227871000,None,62273000
2017-12-31,USD,180015000,None,None,None,None,98078000,34516000,-23744000,4970000,None,-349799000,306994000,None,None,None,None,641438000,641438000,None,None,None,None,-4000000,None,8303000,137210000,None,261952000
2018-12-31,USD,323316000,None,None,None,None,95869000,69975000,-12362000,31577000,None,-47377000,680605000,None,None,None,None,39000000,39000000,None,None,None,None,-19607000,None,6661000,956544000,None,210803000
2019-12-31,USD,385000000,None,None,None,None,234000000,110000000,22000000,-51000000,None,-2656000000,1064000000,None,None,None,None,39000000,39000000,None,None,None,None,-32000000,None,16000000,-1207000000,None,179000000
2020-12-31,USD,652000000,None,None,None,None,239000000,110000000,-14000000,-43000000,None,-211000000,120000000,None,None,None,None,52000000,52000000,None,None,None,None,-75000000,None,20000000,561000000,None,410000000
2021-12-31,USD,300000000,None,None,None,None,259000000,207000000,-30000000,-51000000,None,-3534000000,2650000000,None,None,None,None,83000000,83000000,None,None,None,None,-30000000,None,22000000,-584000000,None,90000000
2022-12-31,USD,829000000,None,None,None,None,384000000,436000000,-26000000,None,None,-503000000,-454000000,None,None,None,None,82000000,82000000,None,None,None,None,-50000000,None,31000000,-128000000,None,455000000
2023-12-31,USD,648000000,None,None,None,None,376000000,348000000,None,None,None,-291000000,-397000000,None,None,None,None,82000000,82000000,None,None,None,None,-5000000,None,30000000,None,None,-76000000
2024-12-31,USD,751000000,None,None,None,None,297000000,143000000,None,None,None,-28000000,-609000000,None,None,None,None,84000000,84000000,None,None,None,None,-4000000,None,22000000,None,None,375000000
2025-12-31,USD,289000000,None,None,None,None,237000000,108000000,None,None,None,-63000000,7000000,None,None,None,None,85000000,85000000,None,None,None,None,None,None,22000000,None,None,-85000000
