fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,54462000,None,None,None,None,63841000,79875000,None,None,None,-79272000,22502000,None,None,None,None,None,None,None,None,None,None,None,None,-7645000,None,None,-8992000
2007-12-31,USD,36987000,None,None,None,None,69523000,18541000,None,-167000,None,-18608000,-13332000,None,None,None,None,None,None,None,None,None,None,None,None,-1979000,None,None,-19773000
2008-12-31,USD,60648000,None,None,None,None,57871000,30793000,None,None,None,-38492000,-22548000,None,None,None,None,None,None,None,None,None,None,None,None,2255000,None,None,-78059000
2009-12-31,USD,22993000,None,None,None,None,58633000,39784000,None,None,None,-35590000,9515000,None,None,None,None,None,None,None,None,None,None,None,None,1494000,None,None,-12614000
2010-12-31,USD,59268000,None,None,None,None,54371000,13799000,None,-181000,None,-13340000,-35022000,None,None,None,None,None,None,None,None,None,None,None,None,2827000,None,None,-1815000
2011-12-31,USD,40340000,None,None,None,None,57771000,13349000,-8177000,2245000,None,-54579000,-1873000,None,None,None,None,None,None,None,None,None,None,67000,None,1162000,-16112000,None,-11891000
2012-12-31,USD,79888000,None,None,None,None,55140000,17260000,-5348000,-3770000,None,-238617000,220182000,None,None,None,None,0,0,None,None,None,None,1768000,None,1362000,61453000,None,182492000
2013-12-31,USD,27339000,None,None,None,None,76339000,18955000,-38114000,-8190000,None,-248118000,191808000,None,None,None,None,14302000,14302000,None,None,None,None,-8422000,None,2080000,-28971000,None,-1785000
2014-12-31,USD,166527000,None,None,None,None,72531000,20389000,-10378000,1499000,None,-230033000,155390000,None,None,None,None,18445000,18445000,None,None,None,None,2031000,None,7598000,91884000,None,64550000
2015-12-31,USD,205308000,None,None,None,None,117851000,29021000,-30310000,-17776000,None,-474341000,180537000,None,None,None,None,23686000,23686000,None,None,None,None,-48660000,None,11400000,-88496000,None,76383000
2016-12-31,USD,284253000,None,None,None,None,120333000,31870000,-27290000,4548000,None,-135122000,822932000,None,None,None,None,29445000,29445000,None,None,None,None,1125000,None,11390000,44264000,None,93100000
2017-12-31,USD,109091000,None,None,None,None,323066000,72461000,-55819000,-37234000,None,-2066285000,1057367000,None,None,None,None,55892000,55892000,None,None,None,None,-99008000,None,24068000,27972000,None,475327000
2018-12-31,USD,736867000,None,None,None,None,320537000,106246000,30874000,34216000,None,-175514000,-531890000,None,None,None,None,68629000,68629000,None,None,None,None,-50524000,None,31260000,29463000,None,388265000
2019-12-31,USD,417467000,None,None,None,None,408710000,197511000,2176000,-122785000,None,-4702155000,4388251000,None,None,None,None,82823000,82823000,None,None,None,None,-45115000,None,38620000,103563000,None,236295000
2020-12-31,USD,1254170000,None,None,None,None,564888000,217038000,-16055000,-90056000,None,-39750000,-1293789000,None,None,None,None,101038000,101038000,None,None,None,None,-281897000,None,48274000,-79369000,None,808060000
2021-12-31,USD,1214843000,None,None,None,None,588545000,150761000,-118600000,None,None,-232100000,-945558000,None,None,None,None,118209000,118209000,None,None,None,None,-536796000,None,46703000,37185000,None,830436000
2022-12-31,USD,1403000000,None,None,None,None,662100000,157300000,None,None,None,125200000,-1515000000,None,None,None,None,142200000,142200000,None,None,None,None,-880700000,None,61600000,None,None,943500000
2023-12-31,USD,999000000,None,None,None,None,941000000,149000000,None,None,None,-173000000,-899000000,None,None,None,None,191000000,191000000,None,None,None,None,-605000000,None,60000000,None,None,270000000
2024-12-31,USD,1250000000,None,None,None,None,808000000,145000000,None,None,None,-102000000,-1151000000,None,None,None,None,219000000,219000000,None,None,None,None,-601000000,None,78000000,None,None,683000000
2025-12-31,USD,891000000,None,None,None,None,592000000,148000000,None,None,None,-173000000,-582000000,None,None,None,None,169000000,169000000,None,None,None,None,-120000000,None,58000000,None,None,362000000
