fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,43029600000,6795500000,1655300000,1655300000,976300000,2726100000,36234100000,None,None,10514200000,10514200000,18629800000,None,None,None,1444100000,None,21290900000,5378600000,588600000,None,None,747100000,15912300000,None,None,None,None,7900300000,3693600000,None,21737000000,None,-21836400000,800000,785150000
2006-03-31,USD,42503300000,6196300000,1286800000,1286800000,800300000,2770800000,36307000000,None,None,10513900000,10513900000,19192000000,None,None,None,1338400000,None,20374100000,4443300000,479900000,None,None,17400000,15930800000,None,None,None,None,7102700000,3823700000,None,22127500000,None,-21609500000,800000,766700000
2006-06-30,USD,43069500000,7510100000,3061800000,3061800000,743800000,2451900000,35559400000,None,None,10490100000,10490100000,18983000000,None,None,None,1252600000,None,19956600000,4266300000,378900000,None,None,16300000,15690300000,None,None,None,None,7035700000,3704600000,None,23111100000,None,-20827800000,800000,769600000
2006-09-30,USD,43485800000,7872500000,3176600000,3176600000,838200000,2582200000,35613300000,None,None,10472500000,10472500000,18994900000,None,None,None,1275500000,None,20237500000,4249600000,426000000,None,None,14800000,15987900000,None,None,None,None,7047800000,3784800000,None,23247600000,None,-20510900000,800000,774200000
2006-12-31,USD,43508800000,8144100000,3074600000,3074600000,982900000,2824000000,35364700000,None,None,10425000000,10425000000,18821500000,None,None,None,1262600000,None,19985300000,4399500000,502300000,None,None,15000000,15585800000,None,None,None,None,7042300000,3610500000,None,23522500000,None,-20175900000,800000,766000000
2007-03-31,USD,43325600000,8257500000,3378600000,3378600000,768900000,2835400000,35068100000,None,None,10305400000,10305400000,18719000000,None,None,None,1274600000,None,20859300000,5325400000,399600000,None,None,677600000,15533900000,None,None,None,None,7725300000,4135500000,None,22465500000,None,-19958300000,800000,765100000
2007-06-30,USD,42691800000,7428800000,2796800000,2796800000,729600000,2541700000,35263000000,None,None,10254300000,10254300000,19022800000,None,None,None,1360700000,None,20057900000,4397000000,396100000,None,None,19500000,15660900000,None,None,None,None,7015300000,3981400000,None,22633300000,None,-19554200000,800000,729400000
2007-09-30,USD,41101700000,5743300000,1226000000,1226000000,792200000,2592900000,35358400000,None,None,10240400000,10240400000,19081500000,None,None,None,1132200000,None,19902500000,4263200000,375600000,None,None,19800000,15639300000,None,None,None,None,7055700000,3867800000,None,21198100000,None,-19211000000,800000,715400000
2007-12-31,USD,40430200000,6030900000,1346900000,1346900000,971900000,2678000000,34399300000,None,None,10081300000,10081300000,18452000000,None,None,None,1034100000,None,18956300000,4404600000,352300000,None,None,19100000,14551700000,None,None,None,None,7087700000,3614800000,None,21472400000,None,-18924800000,800000,707100000
2008-03-31,USD,41031300000,6991800000,2258900000,2258900000,750000000,2923000000,34039500000,None,None,9961000000,9961000000,18480600000,None,None,None,1059900000,None,19362600000,4736900000,328100000,None,None,14600000,14625700000,None,None,None,None,7126600000,3804300000,None,21667000000,None,-18680500000,800000,673800000
