fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,5455900000,14320200000,8864300000,8864300000,2707200000,None,None,2748700000,None,None,None,565500000,None,None,None,439500000,2035699999,652200000,None,None,None,2698200000,3137700000,1205700000
2007-12-31,USD,5287900000,14072900000,8785000000,8785000000,2621800000,None,None,2666100000,None,None,None,570900000,None,None,None,455700000,2052400000,821500000,None,None,None,2703900000,3159600000,1247000000
2008-12-31,USD,4768100000,13950400000,9182300000,9182300000,2159400000,None,None,2608700000,None,None,None,546600000,None,None,None,531600000,-12592700000,-919300000,None,None,None,-12028500000,-11496900000,-11673400000
2009-12-31,USD,3729600000,13014600000,9285000000,9285000000,1241200000,None,None,2488400000,None,None,None,542000000,None,None,None,582300000,409300000,182800000,None,None,None,985000000,1567300000,226500000
2010-12-31,USD,4511200000,14059800000,9548600000,9548600000,1895900000,None,None,2615300000,None,None,None,528799999,None,None,None,562300000,1186900000,462700000,None,None,None,1750300000,2312600000,724200000
2011-12-31,USD,5330000000,14245000000,8915000000,8915000000,2575000000,None,None,2755000000,None,None,None,436000000,None,None,None,548000000,2046000000,755000000,None,None,None,2519000000,3067000000,1305000000
2012-12-31,USD,5647000000,14089000000,8442000000,8442000000,3013000000,2634000000,None,2634000000,None,None,None,402000000,None,None,None,475000000,2526000000,892000000,None,None,None,2963000000,3438000000,1574000000
2013-12-31,USD,6014000000,15284000000,9270000000,9270000000,3279000000,2735000000,None,2735000000,None,None,None,376000000,None,None,None,457000000,2851000000,978000000,None,None,None,3273000000,3730000000,1726000000
2014-12-31,USD,5436000000,13806000000,8370000000,8370000000,2974000000,2462000000,None,2462000000,None,None,None,363000000,None,None,None,281000000,2116000000,762000000,None,None,None,2527000000,2808000000,1402000000
2015-12-31,USD,4525000000,12671000000,8146000000,8146000000,2564000000,2455000000,None,1961000000,None,None,None,392000000,None,None,None,235000000,2230000000,676000000,None,None,None,2656000000,2891000000,1413000000
2016-12-31,USD,4985000000,13166000000,8181000000,8181000000,2650000000,2335000000,None,2335000000,None,None,None,411000000,None,None,None,225000000,2180000000,628000000,None,None,None,2641000000,2866000000,1261000000
2017-12-31,USD,5031000000,13692000000,8661000000,8661000000,2905000000,2478000000,None,2126000000,None,None,None,457000000,None,None,None,223000000,1942000000,633000000,None,None,None,2436000000,2659000000,357000000
2018-12-31,USD,10900000000,27250000000,16350000000,16350000000,5694000000,2217000000,None,5206000000,None,None,None,1030000000,None,None,None,12028000000,4077000000,617000000,None,None,None,5154000000,17182000000,3455000000
2019-12-31,USD,9867000000,26998000000,17131000000,17131000000,4386000000,5580000000,None,5481000000,None,None,None,962000000,None,None,None,12972000000,3170000000,-29000000,None,None,None,4185000000,17157000000,3308000000
2020-12-31,USD,9900000000,25285000000,15385000000,15385000000,4580000000,5389000000,None,5320000000,None,None,None,1031000000,None,None,None,11438000000,3119000000,535000000,None,None,None,4178000000,15616000000,2422000000
2021-12-31,USD,10452000000,28586000000,18134000000,18134000000,4054000000,6398000000,None,6398000000,None,-933000000,53000000,986000000,None,None,None,13742000000,5115000000,646000000,None,4469000000,None,6192000000,19934000000,4543000000
2022-12-31,USD,9904000000,30154000000,20250000000,20250000000,2871000000,7033000000,None,7033000000,None,-823000000,108000000,931000000,None,None,None,405000000,1062000000,227000000,None,835000000,None,2197000000,2602000000,1104000000
2023-12-31,USD,7264000000,29652000000,22388000000,22388000000,-451000000,7245000000,None,7715000000,None,-783000000,137000000,920000000,None,None,None,418000000,-1613000000,-361000000,None,-1252000000,None,-333000000,85000000,-1045000000
2024-12-31,USD,8266000000,29213000000,20947000000,20947000000,1608000000,6658000000,None,6658000000,None,-709000000,151000000,860000000,None,None,None,392000000,-6468000000,-305000000,None,-6163000000,None,-5317000000,-4925000000,-6190000000
2025-12-31,USD,9776000000,29213000000,19437000000,19437000000,-5269000000,None,None,15045000000,None,None,None,860000000,None,None,None,392000000,-6177000000,305000000,None,None,None,-5317000000,-4925000000,-6190000000
