fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,197550000,706802000,509252000,509252000,64205000,-147155000,0,133345000,None,None,None,11724000,None,None,None,56503000,208299000,49007000,None,0,None,64205000,120708000,-603000
2006-03-31,USD,411016000,589729000,178713000,178713000,145583000,185203000,0,265433000,None,None,None,12153000,None,None,None,25348000,146379000,50548000,None,0,None,141107000,166455000,75065000
2006-06-30,USD,610877000,641914000,31037000,31037000,189222000,215430000,0,421655000,None,None,None,15537000,None,None,None,33433000,189847000,65249000,None,0,None,189222000,222655000,71144000
2006-09-30,USD,435465000,583449000,147984000,147984000,137579000,-135493000,0,297886000,None,None,None,15281000,None,None,None,27128000,138374000,44132000,None,0,None,160196000,187324000,73063000
2006-12-31,USD,528167000,682985000,154818000,154818000,213846000,400633000,0,314321000,None,None,None,12994000,None,None,None,29190000,215604000,59332000,None,0,None,213846000,243036000,133948000
2007-03-31,USD,328357000,601424000,273067000,273067000,116894000,176932000,None,211463000,None,None,None,16019000,None,None,None,34442000,115088000,32391000,None,None,None,118496000,152938000,68484000
2007-06-30,USD,377435000,640074000,262639000,262639000,164271000,-278534000,0,213164000,None,None,None,10729000,None,None,None,45925000,174596000,55917000,None,0,None,164271000,210196000,97461000
2007-09-30,USD,337567000,596446000,258879000,258879000,134531000,-249644000,0,203036000,None,None,None,9072000,None,None,None,38069000,153059000,46957000,None,0,None,134531000,172600000,88367000
2007-12-31,USD,611295000,679196000,67901000,67901000,-205572000,-1397321000,0,816867000,None,None,None,7980000,None,None,None,40130000,-188096000,42000000,None,0,None,-205572000,-165442000,-255933000
2008-03-31,USD,309383000,642474000,333091000,333091000,149883000,-285318000,0,159500000,None,None,None,5832000,None,None,None,37019000,157001000,50874000,None,0,None,-7241000,29778000,84068000
2008-06-30,USD,278616000,664141000,385525000,385525000,-615306000,-374871000,0,893922000,None,None,None,4874000,None,None,None,37993000,726586000,-219786000,None,0,None,-915884000,-877891000,-531241000
2008-09-30,USD,60302000,230278000,169976000,169976000,-13085000,-137149000,0,51367000,None,None,None,45346000,None,None,None,-40254000,-36411000,-15486000,None,0,None,20139000,-20115000,-16799000
2008-12-31,USD,542693000,264926000,-277767000,-277767000,-8583000,-215173000,0,551276000,None,None,None,58000,None,None,None,12214000,-19369000,-7784000,None,0,None,-8583000,3631000,-12618000
2009-03-31,USD,142306000,205368000,63062000,63062000,-254902000,126546000,0,179302000,None,None,None,246000,None,None,None,11763000,-256595000,-35748000,None,0,None,-235308000,-223545000,-220700000
2009-06-30,USD,138592000,193924000,55332000,55332000,2523000,85626000,0,134387000,None,None,None,311000,None,None,None,10786000,2761000,508000,None,0,None,1698000,12484000,2253000
2009-09-30,USD,133358000,186401000,53043000,53043000,-2955000,89299000,0,135222000,None,None,None,1149000,None,None,None,10866000,-3248000,293000,None,0,None,-5899000,4967000,-3261000
2009-12-31,USD,158198000,217433000,59235000,59235000,15572000,92924000,0,137517000,None,None,None,996000,None,None,None,11757000,15838000,1714000,None,0,None,16834000,28591000,12103000
2010-03-31,USD,172613000,199015000,26402000,26402000,1072000,89296000,0,168198000,None,None,None,848000,None,None,None,11784000,-266000,614000,None,0,None,-382000,11402000,-880000
2010-06-30,USD,162298000,188785000,26487000,26487000,3212000,85688000,0,97265000,None,None,None,845000,None,None,None,11412000,3665000,1817000,None,0,None,4675000,16087000,99507000
2010-09-30,USD,15123000,183587000,168464000,168464000,668000,88609000,0,11249000,None,None,None,741000,None,None,None,10724000,-34000,-5459000,None,0,None,707000,11431000,6245000
2010-12-31,USD,193012000,220238000,27226000,27226000,28907000,90743000,0,329250000,None,None,None,1232000,None,None,None,10974000,28523000,4861000,None,0,None,29755000,40729000,25637000
2011-03-31,USD,151941000,180358000,28417000,28417000,-10499000,91607000,0,102027000,None,None,None,393000,None,None,None,10420000,-11581000,-2686000,None,0,None,-11937000,-1517000,-8895000
2011-06-30,USD,155077000,183034000,27957000,27957000,-2219000,85266000,0,155269000,None,None,None,412000,None,-43000,None,10029000,-2674000,-462000,None,-2212000,None,-2262000,7767000,-2212000
2011-09-30,USD,3247000,167871000,164624000,164624000,-17943000,83058000,0,10052000,None,None,None,362000,None,110000,None,10052000,-18195000,-7473000,None,-10722000,None,-17833000,-7781000,-10722000
2011-12-31,USD,171990000,197397000,25407000,25407000,7288000,91967000,0,331294000,None,None,None,473000,None,None,None,9568000,6762000,620000,None,0,None,7235000,16803000,6292000
2012-03-31,USD,178907000,207127000,28220000,28220000,-4173000,107469000,0,119775000,None,None,None,3154000,None,None,None,12306000,-7444000,-3029000,None,0,None,-10840000,1466000,-4415000
2012-06-30,USD,189757000,216934000,27177000,27177000,14367000,99054000,0,111657000,None,None,None,3211000,None,None,None,12603000,9721000,4305000,None,0,None,12932000,25535000,5416000
