fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,None,1361000,None,None,None,None,207000,275000,None,-4000,None,-275000,-12000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2396000
2007-12-31,None,3724000,None,None,None,None,266000,164000,None,55000,None,-164000,48000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2343000
2008-12-31,None,5615000,None,None,None,None,370000,1049000,None,-45000,None,-1049000,-907000,None,None,None,None,None,None,None,None,None,None,-738000,None,None,None,None,-2257000
2009-12-31,None,2464000,None,None,None,None,405000,278000,None,53000,None,-4678000,-41000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3716000
2010-12-31,None,839000,None,None,None,None,339000,387000,None,-25000,None,3513000,47000,None,None,None,None,None,None,None,None,None,None,-469000,None,None,None,None,7626000
2011-12-31,None,58910000,None,None,None,None,694000,2195000,None,93000,None,-5695000,-43209000,None,None,None,None,31335000,31335000,None,None,None,None,-17369000,None,None,None,None,51089000
2012-12-31,None,-2711000,None,None,None,None,1148000,138000,None,11000,None,-138000,-82000,None,None,None,None,None,None,None,None,None,None,-213000,None,None,None,None,-1624000
2013-12-31,None,3979000,None,None,None,None,1058000,265000,None,3000,None,-250000,-2237000,None,None,None,None,None,None,None,None,None,None,-2328000,None,None,None,None,1379000
2014-12-31,None,-1648000,None,None,None,None,1177000,427000,None,-216000,None,-10664000,-2214000,None,None,None,None,None,None,None,None,None,None,-2450000,None,None,None,None,211000
2015-12-31,None,3218000,None,None,None,None,1156000,444000,None,132000,None,-206000,-1726000,None,None,None,None,None,None,None,None,None,None,-1762000,None,None,None,None,1534000
2016-12-31,None,-3988000,None,None,None,None,1450000,1467000,None,66000,None,8039000,-307000,None,None,None,None,None,None,None,None,None,None,-312000,None,None,None,None,-1286000
2017-12-31,None,1780000,None,None,None,None,1348000,1159000,None,24000,None,-1159000,-8193000,None,None,None,None,8177000,8177000,None,None,None,None,-16000,None,None,None,None,-639000
2018-12-31,None,7111000,None,None,None,None,1167000,1337000,None,-52000,None,-1302000,-344000,None,None,None,None,14000,14000,None,None,None,None,-379000,None,None,None,None,1399000
2019-12-31,None,-2311000,None,None,None,None,1647000,398000,None,31000,None,-398000,59000,None,None,None,None,14000,14000,None,None,None,None,-35000,None,None,None,None,-5577000
2020-12-31,None,-1580000,None,None,None,None,472000,61000,None,135000,None,139000,1059000,None,None,None,None,14000,14000,None,None,None,None,-1000,None,None,None,None,-4615000
2021-12-31,USD,-3000000,None,None,None,None,60000,106000,None,66000,None,-90000,-187000,None,None,None,None,14000,14000,None,None,None,None,-200000,None,232000,None,None,-3534000
2022-12-31,USD,10663000,None,None,None,None,0,29000,None,-10000,None,-29000,39000,None,None,None,None,0,0,None,None,None,None,0,None,123000,None,None,-2294000
2023-12-31,USD,518000,None,None,None,None,7000,39000,None,0,None,1508000,-473000,None,None,None,None,None,None,None,None,None,None,-482000,None,44000,None,None,-3021000
2024-12-31,USD,-4051999,None,None,None,None,2633000,1170000,None,-877000,None,-35148000,24882000,None,None,None,None,None,None,None,None,None,None,0,None,60000,None,None,-5967000
2025-12-31,None,-3422000,None,None,None,None,3301000,416000,None,6306000,None,-416000,2742000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3667000
