fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,5871000000,317000000,155000000,155000000,11522000,147000000,5554000000,None,None,None,None,2075000000,None,None,None,15000000,None,1322000000,122000000,44000000,None,None,None,1200000000,None,None,None,None,None,62000000,None,4549000000,None,-1184000000,3000000,575000000
2007-12-31,USD,5866000000,372000000,8000000,8000000,14815000,10000000,5494000000,None,None,1000000,1000000,1782000000,None,None,None,354000000,None,1371000000,120000000,1000000,None,None,None,1251000000,None,None,None,None,None,94049000,None,4495000000,None,-1253000000,3000000,562000000
2008-12-31,USD,10484000000,1109000000,100000000,100000000,156000000,780000000,9375000000,None,None,1879000000,1879000000,6891000000,None,None,None,229000000,None,4923000000,1070000000,71000000,None,None,466000000,3853000000,None,None,None,None,3797000000,440000000,None,5536000000,None,-936000000,3000000,644000000
2009-12-31,USD,10952000000,1671000000,623000000,623000000,171000000,812000000,9281000000,None,None,1850000000,1850000000,6433000000,None,None,None,236000000,None,4683000000,783000000,63000000,None,None,38000000,3900000000,None,None,None,None,3495000000,553000000,None,6197000000,None,-387000000,3000000,850000000
2010-12-31,USD,11019000000,1735000000,466000000,466000000,300000000,880000000,9284000000,None,None,1850000000,1850000000,6434000000,None,None,None,389000000,None,4786000000,785000000,87000000,None,None,20000000,4001000000,None,None,None,None,3618000000,564000000,None,6225000000,None,11000000,3000000,858000000
2011-12-31,USD,11913000000,2431000000,1048000000,1048000000,248000000,1042000000,9482000000,None,None,1873000000,1873000000,6291000000,None,None,None,341000000,None,5394000000,746000000,53000000,None,None,26000000,4648000000,None,None,None,None,4245000000,516000000,None,6517000000,None,1132000000,3000000,810000000
2012-12-31,USD,12930000000,2730000000,1201000000,1201000000,277000000,1130000000,10200000000,None,None,2166000000,2166000000,6399000000,None,None,96000000,122000000,None,6637000000,946000000,71000000,None,None,31000000,5691000000,None,None,None,None,5243000000,721000000,None,6293000000,None,2075000000,3000000,759000000
2013-12-31,USD,14979000000,2410000000,408000000,408000000,354000000,1371000000,12569000000,None,None,3448000000,3448000000,7341000000,None,None,129000000,631000000,None,8746000000,1294000000,141000000,None,None,17000000,7452000000,None,None,None,None,6499000000,921000000,None,6196000000,None,2892000000,3000000,722000000
2014-12-31,USD,15970000000,2491000000,367000000,367000000,362000000,1433000000,13479000000,None,None,3944000000,3944000000,8236000000,None,None,147000000,691000000,None,9619000000,2604000000,225000000,None,None,1107000000,7015000000,None,None,None,None,7109000000,974000000,None,5602000000,None,3809000000,5000000,687000000
2015-12-31,USD,15864000000,2596000000,390000000,390000000,414000000,1479000000,13268000000,None,None,3760000000,3760000000,8164000000,None,None,149000000,727000000,None,10172000000,1579000000,282000000,None,None,119000000,8593000000,None,None,None,None,7735000000,958000000,None,5451000000,None,4517000000,5000000,656000000
2016-12-31,USD,15672000000,2502000000,300000000,300000000,494000000,1495000000,13170000000,482000000,None,3601000000,3601000000,8040000000,None,None,160000000,707000000,None,10262000000,1561000000,241000000,None,None,82000000,8701000000,None,7690000000,None,None,7923000000,1041000000,None,5167000000,None,5232000000,5000000,610000000
2017-12-31,USD,22555000000,9991000000,7309000000,7309000000,434000000,1838000000,12564000000,597000000,None,3983000000,3983000000,7073000000,None,None,182000000,844000000,None,17532000000,1871000000,277000000,None,None,30000000,15661000000,None,14530000000,None,None,14785000000,1264000000,None,4610000000,-6737000000,4632000000,5000000,576000000
2018-12-31,USD,32550000000,4231000000,986000000,986000000,312000000,2620000000,28319000000,664000000,None,12743000000,12743000000,13006000000,None,935000000,13000000,625000000,None,22033000000,3997000000,325000000,None,None,1819000000,18036000000,None,15185000000,1860000000,None,16793000000,1604000000,1040000000,8386000000,-6737000000,5254000000,7000000,688000000
2019-12-31,USD,33735000000,5217000000,1552000000,1552000000,453000000,2633000000,28518000000,1388000000,None,11796000000,11796000000,13050000000,None,568000000,11000000,579000000,None,21769000000,3239000000,463000000,None,None,609000000,18530000000,None,14810000000,609000000,None,15622000000,1678000000,2029000000,11966000000,-7374000000,7333000000,7000000,717000000
2020-12-31,USD,34087000000,6130000000,2091000000,2091000000,970000000,2537000000,27957000000,1533000000,None,11079000000,11079000000,13070000000,None,507000000,268000000,532000000,None,21704000000,3082000000,397000000,None,None,335000000,18622000000,None,15069000000,335000000,None,15588000000,1793000000,2019000000,12383000000,-8244000000,8543000000,7000000,677000000
2021-12-31,USD,34427000000,7264000000,3905000000,3905000000,668000000,2446000000,27163000000,1500000000,None,10149000000,10149000000,12912000000,None,543000000,53000000,245000000,None,21031000000,3459000000,412000000,None,None,339000000,17572000000,None,14420000000,339000000,None,14956000000,2230000000,1927000000,13396000000,-8244000000,9580000000,7000000,668000000
2022-12-31,USD,134001000000,13999000000,3731000000,3731000000,None,7611000000,120002000000,8490000000,None,71634000000,71634000000,34438000000,None,None,25000000,2657000000,None,85334000000,15017000000,1454000000,None,None,365000000,70317000000,None,48634000000,365000000,None,48999000000,11504000000,10669000000,47095000000,None,2205000000,27000000,1940000000
2023-12-31,USD,122757000000,14218000000,3780000000,3780000000,599000000,7312000000,108539000000,9031000000,None,59514000000,59514000000,34969000000,None,None,60000000,3126000000,None,76285000000,15332000000,1260000000,None,None,1780000000,60953000000,None,41889000000,1780000000,None,43669000000,10368000000,10328000000,45226000000,None,-928000000,27000000,2436000000
2024-12-31,USD,104560000000,14078000000,5312000000,5312000000,None,5926000000,90482000000,8460000000,None,51401000000,51401000000,25667000000,None,None,None,2840000000,None,69622000000,15810000000,1055000000,None,None,2748000000,53812000000,None,36757000000,2748000000,None,39505000000,10438000000,10070000000,34037000000,None,-12239000000,27000000,2450000000
2025-12-31,USD,100085000000,13206000000,4566000000,4566000000,None,5294000000,86879000000,9434000000,None,27764000000,27764000000,25933000000,None,None,None,3346000000,None,62919000000,12500000000,1093000000,None,None,139000000,50419000000,None,32428000000,139000000,None,32567000000,9626000000,11608000000,35919000000,None,-11512000000,27000000,2530000000
