fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2015-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8500
2015-06-30,USD,30000,None,None,None,None,None,30000,None,None,20000,20000,None,None,None,None,None,None,40000,40000,None,None,None,10000,10000,None,None,None,None,10000,30000,None,-10000,None,-40000,10000,9000
2015-09-30,USD,27500,888,None,None,None,None,26612,None,None,13110,13110,None,None,None,None,888,None,72810,72810,68310,None,None,None,68310,None,None,None,None,None,4500,None,-45310,None,-75310,9000,9000
2015-12-31,USD,49730,37230,19230,19230,None,None,12500,None,None,10573,10573,None,None,None,None,18000,None,99370,99370,93370,None,None,6105,93370,None,None,None,None,6105,-105,None,-49640,None,-117500,15000,375000
2016-03-31,USD,23025,13525,5061,5061,None,None,9500,None,None,8035,8035,None,None,None,181182,8464,None,135940,135940,128190,None,None,None,128190,None,None,None,None,None,7750,None,-112915,None,-180775,15000,15000
2016-06-30,USD,13089,6588,130,130,None,None,6501,None,None,5498,5498,None,None,None,None,6458,None,20000,20000,20000,None,None,None,20000,None,None,None,None,None,-20000,None,-6911,None,-96761,15000,14194
2016-09-30,USD,429638,30576,27243,27243,None,None,399062,None,None,2960,2960,None,None,None,None,3333,None,446553,21553,None,None,None,None,425000,None,None,None,None,425000,21553,None,-16915,None,-106765,15000,41.67
2016-12-31,USD,595990,11303,470,470,137905,None,584687,None,None,423,423,None,None,None,None,10833,None,638512,38512,163799,None,None,988030,600000,None,None,None,None,600000,38512,None,-42522,None,-132372,15000,375000
2017-03-31,USD,1290219,142532,134199,134199,282808,None,1147687,None,None,None,None,None,None,None,None,8333,None,1370077,65076,20000,None,None,None,1305000,None,None,None,None,1305000,65076,None,-79859,None,-169709,15000,14620
2017-06-30,USD,791101,569041,4851,4851,534107,30083,222060,None,None,None,None,None,None,None,None,30083,None,2323881,818881,380064,None,None,332321,1505000,None,None,None,None,1837321,106496,None,-1532780,None,-4404499,23421,44.18
2017-09-30,USD,826587,620034,19322,19322,515371,None,206553,None,None,None,None,None,None,None,None,85341,None,2650118,975118,365358,None,None,441223,1675000,None,None,None,None,2116223,168537,None,-1823530,None,-4870249,23771,65.87
2018-03-31,USD,918104,735724,20490,20490,643745,242928,182380,None,None,None,None,None,None,None,None,71488,None,3521263,1361263,306959,None,None,733526,2160000,None,None,None,None,2893526,320778,None,-2603160,None,-5913212,24238,67.11
