fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2007-01-31,USD,600000000,None,None,None,None,316000000,548000000,None,-545000000,None,-1093000000,-215000000,None,None,None,None,238000000,238000000,None,None,None,None,-193000000,None,-16000000,None,None,676000000
2008-01-31,USD,765000000,None,None,None,None,352000000,749000000,None,337000000,None,30000000,-279000000,None,None,None,None,227000000,227000000,None,None,None,None,-1402000000,None,-389000000,None,None,718000000
2009-01-31,USD,954000000,None,None,None,None,343000000,479000000,None,45000000,None,-240000000,-562000000,None,None,None,None,201000000,201000000,None,None,None,None,-379000000,None,-122000000,None,None,220000000
2010-01-31,USD,1174000000,None,None,None,None,393000000,202000000,None,156000000,None,-162000000,-387000000,None,None,None,None,193000000,193000000,None,None,None,None,None,None,40000000,None,None,448000000
2011-01-31,USD,1284000000,None,None,None,None,394000000,274000000,None,9000000,None,-106000000,-1857000000,None,None,None,None,1488000000,1488000000,None,None,None,None,-207000000,None,64000000,None,None,805000000
2012-01-31,USD,1266000000,None,None,None,None,391000000,426000000,None,-27000000,None,-226000000,-1237000000,None,None,None,None,1144000000,1144000000,None,None,None,None,-1190000000,None,51000000,None,None,850000000
2013-01-31,USD,1351000000,None,None,None,None,389000000,588000000,None,-7000000,None,-531000000,-982000000,None,None,None,None,1449000000,1449000000,None,None,None,None,-629000000,None,73000000,None,None,753000000
2014-01-31,USD,1248000000,None,None,None,None,407000000,691000000,None,-168000000,None,-655000000,154000000,None,None,None,None,349000000,349000000,None,None,None,None,-60000000,None,85000000,None,None,903000000
2015-01-31,USD,1786000000,None,None,None,None,438000000,715000000,None,121000000,None,-699000000,-919000000,None,None,None,None,691000000,691000000,None,None,None,None,-87000000,None,90000000,None,None,1042000000
2016-01-31,USD,1869000000,None,None,None,None,457000000,727000000,None,-92000000,None,-443000000,-558000000,None,None,None,None,1171000000,1171000000,None,None,None,None,-483000000,None,97000000,None,None,1253000000
2017-01-31,USD,1890000000,None,None,None,None,518000000,990000000,None,30000000,None,-833000000,-1665000000,None,None,None,None,1268000000,1268000000,None,None,None,None,-435000000,None,96000000,None,None,1158000000
2018-01-31,USD,1406000000,None,None,None,None,571000000,707000000,None,-137000000,None,-698000000,-1127000000,None,None,None,None,686000000,686000000,None,None,None,None,-446000000,None,102000000,None,None,983000000
2019-01-31,USD,1377000000,None,None,None,None,590000000,629000000,None,-40000000,None,-609000000,-872000000,None,None,None,None,666000000,666000000,None,None,None,None,-198000000,None,97000000,None,None,644000000
2020-01-31,USD,1236000000,None,None,None,None,588000000,458000000,None,-40000000,None,-480000000,-666000000,None,None,None,None,332000000,332000000,None,None,None,None,-13000000,None,87000000,None,None,-366000000
2021-01-31,USD,2039000000,None,None,None,None,521000000,228000000,38000000,3000000,None,-219000000,610000000,None,None,None,None,83000000,83000000,None,None,None,None,-12000000,None,50000000,2434000000,4000000,844000000
2022-01-31,USD,1492000000,None,None,None,None,363000000,270000000,-64000000,-177000000,None,-259000000,-3188000000,None,None,None,None,120000000,120000000,None,None,None,None,-1964000000,None,46000000,-1954000000,1000000,1333000000
2023-01-31,USD,1144000000,None,None,None,None,221000000,328000000,11000000,0,None,-328000000,-1562000000,None,None,None,None,186000000,186000000,None,None,None,None,-1312000000,None,38000000,-746000000,None,800000000
2024-01-31,USD,954000000,None,None,None,None,269000000,298000000,None,-2000000,None,-286000000,-815000000,None,None,None,None,182000000,182000000,None,None,None,None,-148000000,None,43000000,None,None,878000000
2025-01-31,USD,886000000,None,None,None,None,282000000,226000000,None,-26000000,None,-162000000,-1132000000,None,None,None,None,177000000,177000000,None,None,None,None,-401000000,None,40000000,None,None,798000000
2026-01-31,USD,1102000000,None,None,None,None,254000000,237000000,None,37000000,None,-227000000,-599000000,None,None,None,None,167000000,167000000,None,None,None,None,-401000000,None,31000000,None,None,649000000
