fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2007-01-31,USD,4013000000,10671000000,6658000000,6658000000,1176000000,2367000,None,2837000000,None,None,None,102000000,None,None,None,316000000,1097000000,422000000,None,None,None,1199000000,1515000000,676000000
2008-01-31,USD,3509000000,10134000000,6625000000,6625000000,1110000000,7694000000,None,2399000000,None,None,None,149000000,None,None,None,352000000,1129000000,411000000,None,None,None,880000000,1232000000,718000000
2009-01-31,USD,3006000000,9043000000,6037000000,6037000000,718000000,None,None,2288000000,None,None,None,181000000,None,None,None,377000000,449000000,233000000,None,None,None,630000000,1007000000,220000000
2010-01-31,USD,3028000000,8632000000,5604000000,5604000000,868000000,None,None,2157000000,None,None,None,237000000,None,None,None,393000000,650000000,202000000,None,None,None,887000000,1280000000,448000000
2011-01-31,USD,3631000000,9613000000,5982000000,5982000000,1284000000,2341000000,None,2341000000,None,None,None,183000000,None,None,None,394000000,1251000000,446000000,None,None,None,1459000000,1853000000,805000000
2012-01-31,USD,4057000000,10364000000,6307000000,6307000000,1238000000,2698000000,None,2819000000,None,None,None,246000000,None,None,None,391000000,1227000000,377000000,None,None,None,1473000000,1864000000,850000000
2013-01-31,USD,4386000000,10459000000,6073000000,6073000000,1573000000,2720000000,None,2813000000,None,None,None,316000000,None,None,None,389000000,1281000000,528000000,None,None,None,1597000000,1986000000,753000000
2014-01-31,USD,4429000000,10773000000,6344000000,6344000000,1743000000,2775000000,None,2686000000,None,None,None,314000000,None,None,None,407000000,1446000000,543000000,None,None,None,1760000000,2167000000,903000000
2015-01-31,USD,4808000000,11454000000,6646000000,6646000000,1953000000,2855000000,None,2855000000,None,None,None,324000000,None,None,None,438000000,1636000000,594000000,None,None,None,1960000000,2398000000,1042000000
2016-01-31,USD,5204000000,12154000000,6950000000,6950000000,2192000000,3012000000,None,3012000000,None,None,None,334000000,None,None,None,457000000,1934000000,681000000,None,None,None,2268000000,2725000000,1253000000
2017-01-31,USD,5125000000,12574000000,7449000000,7449000000,2003000000,3122000000,None,3122000000,None,None,None,394000000,None,None,None,518000000,1696000000,538000000,None,None,None,2090000000,2608000000,1158000000
2018-01-31,USD,4959000000,12632000000,7673000000,7673000000,1728000000,3231000000,None,3231000000,None,-406000000,None,406000000,None,None,None,571000000,1312000000,329000000,None,983000000,None,1718000000,2289000000,983000000
2019-01-31,USD,4899000000,13237000000,8338000000,8338000000,1237000000,3563000000,None,3662000000,None,-385000000,None,385000000,None,None,None,590000000,857000000,213000000,None,644000000,None,1242000000,1832000000,644000000
2020-01-31,USD,2387000000,5405000000,3018000000,3018000000,1040000000,1347000000,None,1347000000,None,-378000000,None,370000000,None,None,None,588000000,608000000,148000000,None,-366000000,None,978000000,1566000000,-366000000
2021-01-31,USD,3096000000,6434000000,3338000000,3338000000,1604000000,1380000000,None,1492000000,None,-438000000,432000000,432000000,None,-50000000,None,521000000,1122000000,257000000,None,844000000,None,1554000000,2075000000,844000000
2022-01-31,USD,3855000000,7882000000,4027000000,4027000000,2009000000,1680000000,None,1846000000,None,-388033000,388000000,388000000,None,-198000000,None,363000000,1423000000,348000000,None,1075229000,None,1811000000,2174000000,1333000000
2023-01-31,USD,3255000000,7560000000,4305000000,4305000000,1376000000,499000000,None,1879000000,None,-348000000,348000000,348000000,None,17000000,None,221000000,1045000000,251000000,None,794000000,None,1393000000,1614000000,800000000
2024-01-31,USD,3236000000,7429000000,4193000000,4193000000,1285000000,594000000,None,1951000000,None,-345000000,345000000,345000000,None,None,None,269000000,1021000000,143000000,None,878000000,None,1366000000,1635000000,878000000
2025-01-31,USD,3234000000,7307000000,4073000000,4073000000,1266000000,535000000,None,1968000000,None,-312000000,312000000,312000000,None,None,None,282000000,1028000000,230000000,None,798000000,None,1340000000,1622000000,798000000
2026-01-31,USD,3189000000,7291000000,4102000000,4102000000,1126000000,2063000000,None,2063000000,None,-276000000,276000000,276000000,None,None,None,254000000,882000000,233000000,None,649000000,None,1126000000,1380000000,649000000
