fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2007-01-31,USD,8769000000,35934000000,27165000000,27165000000,1999000000,6770000000,None,6770000000,None,None,None,31000000,None,None,None,509000000,2130000000,752000000,None,None,None,1999000000,2508000000,1377000000
2008-01-31,USD,9546000000,40023000000,30477000000,30477000000,2161000000,7385000000,None,7385000000,None,None,None,62000000,None,None,None,580000000,2228000000,815000000,None,None,None,2161000000,2741000000,1407000000
2009-01-31,USD,10998000000,45015000000,34017000000,34017000000,1870000000,8984000000,None,9128000000,None,None,None,94000000,None,None,None,793000000,1700000000,674000000,None,None,None,1794000000,2587000000,1003000000
2010-01-31,USD,12042000000,49694000000,37201000000,37201000000,2368000000,9873000000,None,9674000000,None,None,None,94000000,None,None,None,926000000,2195000000,802000000,None,None,None,2421000000,3347000000,1317000000
2011-01-31,USD,12541000000,50272000000,37206000000,37206000000,2374000000,10325000000,None,10167000000,None,None,None,87000000,None,None,None,978000000,2078000000,714000000,None,None,None,2417000000,3395000000,1277000000
2012-01-31,USD,10984000000,45457000000,34473000000,34473000000,2200000000,10242000000,None,8784000000,None,None,None,134000000,None,None,None,945000000,1043000000,709000000,None,None,None,2277000000,3222000000,-1231000000
2013-01-31,USD,9844362816,41729451068,31885088252,31885088252,1274181712,9504000000,None,9746181006,None,None,None,112000000,None,None,None,832000000,4363636,286909067,None,None,None,-74000000,758000000,-282545431
2014-01-31,USD,9399000000,40611000000,31212000000,31212000000,1144000000,7250000000,None,8255000000,None,None,None,100000000,None,None,None,716000000,1087000000,398000000,None,None,None,1183000000,1899000000,532000000
2015-01-31,USD,9047000000,40339000000,31292000000,31292000000,1450000000,6839000000,None,7597000000,None,None,None,90000000,None,None,None,656000000,1387000000,141000000,None,None,None,1477000000,2133000000,1233000000
2016-01-31,USD,9191000000,39528000000,30337000000,30337000000,1375000000,6870000000,None,7816000000,None,None,None,80000000,None,None,None,657000000,1310000000,503000000,None,None,None,1390000000,2047000000,897000000
2017-01-31,USD,9440000000,39403000000,29963000000,29963000000,1854000000,6781000000,None,7586000000,None,None,38000000,72000000,None,None,None,654000000,1816000000,609000000,None,None,None,1888000000,2542000000,1228000000
2018-01-31,USD,9876000000,42151000000,32275000000,32275000000,1843000000,7247000000,None,8033000000,None,None,26000000,75000000,None,None,None,683000000,1817000000,818000000,None,None,None,1892000000,2575000000,1000000000
2019-01-31,USD,9961000000,42879000000,32918000000,32918000000,1900000000,7202000000,None,8061000000,None,-73000000,12000000,73000000,None,None,None,770000000,1888000000,424000000,None,1464000000,None,1961000000,2731000000,1464000000
2020-01-31,USD,10048000000,43638000000,33590000000,33590000000,2009000000,7155000000,None,8039000000,None,-64000000,16000000,64000000,None,None,None,812000000,1993000000,452000000,None,1541000000,None,2057000000,2869000000,1541000000
2021-01-31,USD,10573000000,47262000000,36689000000,36689000000,2391000000,7029000000,None,8182000000,None,-52000000,14000000,52000000,None,None,None,839000000,2377000000,579000000,None,1798000000,None,2429000000,3268000000,1798000000
2022-01-31,USD,11640000000,51761000000,40121000000,40121000000,2997000000,7627000000,None,8601000000,None,-25000000,15000000,25000000,None,None,None,869000000,3028000000,574000000,None,2454000000,None,3049000000,3918000000,2454000000
2023-01-31,USD,9912000000,46298000000,36386000000,36386000000,1795000000,7020000000,None,8117000000,None,-35000000,7000000,35000000,None,29000000,None,918000000,1788000000,370000000,None,1419000000,None,1823000000,2741000000,1419000000
2024-01-31,USD,9603000000,43452000000,33849000000,33849000000,1574000000,7021000000,None,8029000000,None,-52000000,26000000,52000000,None,None,None,923000000,1621000000,381000000,None,1241000000,None,1673000000,2596000000,1241000000
2025-01-31,USD,9385000000,41528000000,32143000000,32143000000,1721000000,6784000000,None,7643000000,None,-51000000,33000000,51000000,None,None,None,866000000,1299000000,372000000,None,927000000,None,1346000000,2212000000,927000000
2026-01-31,USD,9373000000,41691000000,32318000000,32318000000,1389000000,7623000000,None,7984000000,None,-47000000,21000000,47000000,None,None,None,831000000,1404000000,335000000,None,1069000000,None,1451000000,2282000000,1069000000
