fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,4089400000,1168700000,89700000,89700000,332000000,626100000,2920700000,1294900000,None,1029800000,1029800000,1029800000,None,None,40600000,80300000,None,2309100000,1122100000,786400000,None,None,299900000,1187000000,None,440600000,None,None,740500000,35800000,None,1644200000,-100000,889200000,600000,231032000
2006-03-31,USD,4206200000,1252800000,56800000,56800000,341300000,703600000,2953400000,1301500000,None,1036800000,1036800000,1036800000,None,None,65800000,85300000,None,2339300000,1077100000,777000000,None,None,262100000,1262200000,None,510900000,None,None,773000000,38000000,None,1734000000,-100000,941400000,600000,231032000
2006-06-30,USD,4297300000,1291100000,67200000,67200000,357300000,716700000,3006200000,1340100000,None,1052900000,1052900000,1052900000,None,None,61400000,88500000,None,2313600000,1082600000,816400000,None,None,234300000,1231000000,None,451500000,None,None,685800000,31900000,None,1844200000,-100000,1002400000,600000,231992000
2006-09-30,USD,4377100000,1344800000,67000000,67000000,379900000,695600000,3032300000,1350800000,None,1102500000,1102500000,1102500000,None,None,71300000,131000000,None,2355800000,1075900000,794400000,None,None,250500000,1279900000,None,512500000,None,None,763000000,31000000,None,1877300000,-100000,1032400000,600000,231960000
2006-12-31,USD,4584000000,1437500000,123300000,123300000,386900000,744000000,3146500000,1460700000,None,120400000,120400000,1086500000,None,None,59100000,124200000,None,2546500000,1034800000,843400000,None,None,151700000,1511700000,None,569400000,None,None,721100000,39700000,None,1875400000,-100000,1064100000,600000,234476000
2007-03-31,USD,4705300000,1534500000,118100000,118100000,425000000,795400000,3170800000,1460600000,None,1090500000,1090500000,1090500000,None,None,58000000,138000000,None,2601000000,1052400000,899500000,None,None,113400000,1548600000,None,581600000,None,None,695000000,39500000,None,1951900000,-100000,1096100000,600000,234476000
2007-06-30,USD,4775600000,1582100000,118500000,118500000,424600000,848300000,3193500000,1476700000,None,1095400000,1095400000,1095400000,None,None,58400000,132300000,None,2589300000,1048300000,925600000,None,None,87800000,1541000000,None,557600000,None,None,645400000,34900000,None,2024900000,-16300000,1161900000,600000,235632000
2007-09-30,USD,4854200000,1635600000,137400000,137400000,450900000,870100000,3218600000,1524900000,None,1113100000,1113100000,1113100000,None,None,38900000,138300000,None,2490200000,1034200000,963200000,None,None,37100000,1456000000,None,564400000,None,None,601500000,33900000,None,2194800000,-37800000,1235200000,600000,236108000
2007-12-31,USD,4958500000,1580300000,188500000,188500000,447600000,802400000,3378200000,1609100000,None,139400000,139400000,1168200000,None,None,14600000,127200000,None,2519500000,1083900000,626300000,None,None,63700000,1435600000,None,572600000,None,None,636300000,393900000,None,2321100000,-46500000,1295900000,1200000,236932000
2008-03-31,USD,5287200000,1767100000,203400000,203400000,471800000,955100000,3520100000,1672200000,None,1199800000,1199800000,1199800000,None,None,11800000,125000000,None,2685800000,1336400000,1035600000,None,None,282900000,1349400000,None,446700000,None,None,729600000,17900000,None,2479400000,-56100000,1369500000,1200000,236932000
2008-06-30,USD,5441400000,1812100000,225900000,225900000,498300000,951100000,3629300000,1701800000,None,1270700000,1270700000,1270700000,None,None,None,136800000,None,2852400000,1348400000,1120200000,None,None,195800000,1504000000,None,431100000,None,None,626900000,32400000,None,2554900000,-64100000,1439800000,1200000,236764000
2008-09-30,USD,4886000000,1625000000,135800000,135800000,499700000,849100000,3261000000,1611400000,None,1067700000,1067700000,1067700000,None,None,None,140400000,None,2628500000,1367600000,980400000,None,None,283000000,1260900000,None,431300000,None,None,714300000,104200000,None,2227000000,-80100000,1294600000,1200000,231998000
2008-12-31,USD,4644000000,1308200000,103400000,103400000,451200000,607100000,3335800000,1586200000,None,148400000,148400000,1052400000,None,None,None,146500000,None,2606500000,1250000000,923000000,None,None,320700000,1356500000,None,459600000,None,None,780300000,6300000,None,2006000000,-87400000,1200500000,1200000,232058000
2009-03-31,USD,4353700000,1188400000,90800000,90800000,352400000,622100000,3165300000,1510100000,None,1038100000,1038100000,1038100000,None,None,None,123100000,None,2366800000,1111000000,851400000,None,None,250400000,1255800000,None,466500000,None,None,716900000,250400000,None,1961000000,-87000000,1179600000,1200000,232058000
2009-06-30,USD,4611000000,1394800000,256900000,256900000,313500000,681100000,3216200000,1502100000,None,1057300000,1057300000,1057300000,None,232800000,0,143300000,None,2528200000,985100000,889300000,None,None,95800000,1543100000,None,766200000,None,None,862000000,95800000,776900000,2057600000,-81800000,1141000000,1200000,233128000
2009-09-30,USD,4791200000,1504900000,258800000,258800000,314600000,779600000,3286300000,1525000000,None,1068600000,1068600000,1068600000,None,247200000,0,151900000,None,2620500000,1054600000,973200000,None,None,76800000,1565900000,None,770900000,None,None,847700000,76800000,795000000,2137200000,-76400000,1155900000,1200000,234990000
2009-12-31,USD,4811400000,1551800000,357400000,357400000,314300000,732000000,3259600000,1490300000,None,148600000,148600000,1061400000,None,257400000,0,148100000,None,2588700000,1046200000,567800000,None,None,69100000,1542500000,None,773200000,None,None,842300000,409300000,769300000,2185300000,-57900000,1193400000,1200000,259326000
2010-03-31,USD,4966200000,1759000000,374100000,374100000,350300000,885200000,3207200000,1436400000,None,1041200000,1041200000,1041200000,None,264900000,0,149400000,None,2723400000,1185100000,1042600000,None,None,132400000,1538300000,None,774000000,None,None,906400000,1042600000,764300000,2204200000,-37100000,1262800000,1200000,259326000
2010-06-30,USD,4969200000,1702300000,187500000,187500000,378800000,977400000,3266900000,1405900000,None,1080700000,1080700000,1080700000,None,290000000,0,158600000,None,2911100000,1382300000,1161800000,None,None,185700000,1528800000,None,780600000,None,None,966300000,1161800000,748200000,2016100000,-178600000,1341900000,1200000,258156000
2010-09-30,USD,5577700000,2103700000,432200000,432200000,442000000,1064400000,3474000000,1509100000,None,1120000000,1120000000,1120000000,None,310300000,0,165100000,None,3272700000,1421600000,1229900000,None,None,146200000,1851100000,None,1045100000,None,None,1191300000,-1275400000,806000000,2255900000,-222700000,1448500000,1200000,255608000
2010-12-31,USD,5555000000,2059900000,449900000,449900000,430600000,1023900000,3495100000,1542600000,None,168800000,168800000,1113500000,None,307900000,0,155500000,None,3245200000,1392300000,766600000,None,None,128500000,1852900000,None,1051900000,None,None,1180400000,457500000,801000000,2258600000,-349500000,1560200000,1200000,260448000
2011-03-31,USD,6007000000,2153700000,222900000,222900000,490700000,1278400000,3853300000,1623200000,None,1231700000,1231700000,1231700000,None,319500000,0,161700000,None,3653200000,1532500000,1318100000,None,None,176200000,2120700000,None,1259500000,None,None,1435700000,1318100000,861200000,2306400000,-531400000,1684800000,1200000,260448000
2011-06-30,USD,6226000000,2305700000,372400000,372400000,495500000,1269900000,3920300000,1681400000,None,1240700000,1240700000,1240700000,None,336800000,0,167900000,None,3727500000,1936600000,1362100000,None,None,529400000,1790900000,None,919500000,None,None,1448900000,1725700000,871400000,2430900000,-618400000,1846700000,1200000,256284000
2011-09-30,USD,6094300000,2267700000,377000000,377000000,482400000,1237900000,3826600000,1637200000,None,1203500000,1203500000,1203500000,None,354800000,0,170400000,None,3628600000,1924100000,1346500000,None,None,525300000,1704500000,None,867200000,None,None,1392500000,1713900000,837300000,2405500000,-618400000,1988100000,1200000,255880000
2011-12-31,USD,5958600000,2137800000,359600000,359600000,454300000,1183000000,3820800000,1664300000,None,243300000,243300000,1186200000,None,345300000,0,140900000,None,3505600000,1905400000,869600000,None,None,577800000,1600200000,None,751300000,None,None,1329100000,428200000,848900000,2387900000,-707100000,2110300000,1200000,255400000
2012-03-31,USD,6281300000,2410000000,396900000,396900000,480800000,1369400000,3871300000,1696400000,None,1200500000,1200500000,1200500000,None,345600000,0,162900000,None,3560500000,1881200000,1291300000,None,None,561300000,1679300000,None,848700000,None,None,1410000000,1668400000,830600000,2658000000,-721700000,2268300000,1200000,255484000
2012-06-30,USD,6220700000,2420500000,481900000,481900000,472700000,1327700000,3800200000,1672700000,None,1161800000,1161800000,1161800000,None,363700000,0,138200000,None,3286200000,1513300000,1279300000,None,None,197000000,1772900000,None,956200000,None,None,1153200000,1289500000,816700000,2873700000,-811600000,2388900000,1200000,242946000
2012-09-30,USD,6346500000,2493600000,621500000,621500000,475300000,1261400000,3852900000,1698700000,None,1172300000,1172300000,1172300000,None,380700000,0,135400000,None,3241000000,1568400000,1276500000,None,None,236500000,1672600000,None,866300000,None,None,1102800000,1282000000,806300000,3044800000,-510800000,2490000000,1200000,236998000
2012-12-31,USD,6400800000,2472800000,715700000,715700000,447600000,1147300000,3928000000,1788000000,None,206300000,206300000,1181400000,None,382700000,0,162200000,None,3254700000,1603100000,855200000,None,None,243400000,1651600000,None,823800000,None,None,1067200000,432000000,827800000,3082600000,-569200000,2611200000,1200000,233130000
2013-03-31,USD,6528900000,2601500000,695400000,695400000,449500000,1318400000,3927400000,1765200000,None,1170000000,1170000000,1170000000,None,377500000,0,138200000,None,3367300000,1583200000,1311900000,None,None,229300000,1784100000,None,971400000,None,None,1200700000,1311900000,812700000,3106100000,-589600000,2753200000,1200000,233130000
2013-06-30,USD,6705400000,2736900000,817000000,817000000,439200000,1339700000,3968500000,1796300000,None,1172200000,1172200000,1172200000,None,392200000,0,141000000,None,3449400000,1716600000,1359100000,None,None,316800000,1732800000,None,913300000,None,None,1230100000,1359100000,819500000,3195100000,-674900000,2927300000,1200000,232202000
2013-09-30,USD,6964300000,2906200000,920400000,920400000,454700000,1347500000,4058100000,1875400000,None,1190300000,1190300000,1190300000,None,402300000,0,183600000,None,3529600000,1674700000,1377700000,None,None,253700000,1854900000,None,1018600000,None,None,1272300000,127200000,836300000,3367300000,-740500000,3065600000,1200000,230476000
2013-12-31,USD,6917000000,2798500000,939500000,939500000,458100000,1248500000,4118500000,1939400000,None,169500000,169500000,1197000000,None,405100000,0,152400000,None,3284600000,1623900000,935400000,None,None,201600000,1660700000,None,1021000000,None,None,1222600000,448400000,639700000,3560600000,-727200000,3177400000,2500000,229500000
