fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2010-03-31,USD,266734000,508099000,241365000,241365000,56174000,191717000,None,210560000,None,None,None,2057000,None,None,None,18843000,54947000,15699000,None,None,None,56174000,75017000,39248000
2011-03-31,USD,446065000,803339000,357274000,357274000,136866000,281874000,None,309199000,None,None,None,1861000,None,None,None,25543000,133219000,60713000,None,None,None,140700000,166243000,72506000
2012-03-31,USD,753096000,1302254000,549158000,549158000,247682000,464690000,None,505414000,None,None,None,1495000,None,None,None,37554000,248816000,101452000,None,None,None,250974000,288528000,147364000
2013-03-31,USD,1306566000,2181732000,875166000,875166000,630014000,579636000,None,676552000,None,None,None,1524000,None,-1363000,None,54291000,627127000,229525000,None,397602000,None,630739000,685030000,397602000
2014-03-31,USD,2016100000,3310800000,1294700000,1294700000,1008200000,861213000,None,1007900000,None,None,None,400000,None,-131000,None,79700000,1007700000,346200000,None,661485000,None,1009500000,1089200000,661500000
2015-03-31,USD,2647700000,4371500000,1723800000,1723800000,1257000000,1147831000,None,1390700000,None,None,None,215000,None,-935000,None,138400000,1255800000,374800000,None,881000000,None,1257800000,1396200000,881000000
2016-03-31,USD,2797200000,4712100000,1914900000,1914900000,1175100000,1316700000,None,1622100000,None,None,6500000,1700000,None,-1100000,None,183200000,1172300000,334600000,None,837700000,None,1186000000,1369200000,839100000
2017-03-31,USD,2661000000,4494000000,1833000000,1833000000,690000000,1428500000,None,1971000000,None,-4100000,6700000,4000000,None,2800000,None,220000000,689000000,137000000,None,551500000,None,900000000,1120000000,553000000
2018-03-31,USD,2859000000,4719000000,1860000000,1860000000,749000000,1593800000,None,2110000000,None,-22300000,9000000,22300000,None,15000000,None,208000000,742000000,150000000,None,592100000,None,884000000,1092000000,592000000
2019-03-31,USD,3180000000,5238000000,2058000000,2058000000,735000000,1909000000,None,2445000000,None,-38000000,118000000,38000000,None,-76000000,None,225000000,621000000,79000000,None,542000000,None,659000000,884000000,543000000
2020-03-31,USD,3271000000,5551000000,2280000000,2280000000,-192000000,2256000000,None,3463000000,None,-18000000,29000000,18000000,None,-5000000,None,249000000,-215000000,10000000,None,-225000000,None,558000000,807000000,-223000000
2021-03-31,USD,3744000000,5654000000,1910000000,1910000000,903000000,1878000000,None,2841000000,None,-43000000,23000000,43000000,None,27000000,None,193000000,915000000,92000000,None,-63000000,None,1018000000,1211000000,822000000
2022-03-31,USD,3744000000,5654000000,1910000000,1910000000,903000000,2200000000,None,2841000000,None,18000000,None,18000000,None,-6000000,None,193000000,915000000,92000000,None,823000000,None,1018000000,1211000000,822000000
2023-03-31,USD,3724000000,5619000000,1895000000,1895000000,679000000,2325000000,None,3045000000,None,-24000000,None,24000000,None,None,None,179000000,648000000,29000000,None,619000000,None,837000000,1016000000,616000000
2024-03-31,USD,2826000000,4442000000,1616000000,1616000000,-752000000,2345000000,None,3578000000,None,-6000000,None,6000000,None,None,None,193000000,-727000000,452000000,None,-229000000,None,52000000,245000000,-1182000000
2025-03-31,USD,2826000000,4442000000,1616000000,1616000000,-752000000,2210000000,None,3578000000,None,37000000,None,37000000,None,None,None,193000000,-727000000,452000000,None,-1179000000,None,52000000,245000000,-1182000000
