fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-09-30,USD,-1190800000,None,None,None,None,61700000,83300000,None,-3109000000,None,-83300000,711900000,None,None,None,None,137600000,137600000,None,None,None,None,-36800000,None,11800000,None,None,1233300000
2007-09-30,USD,1355500000,None,None,None,None,71000000,39800000,None,737600000,None,-39800000,-1633700000,None,None,None,None,188400000,188400000,None,None,None,None,None,None,12400000,None,None,-712500000
2008-09-30,USD,1879900000,None,None,None,None,60400000,6600000,None,2139700000,None,-6600000,-755600000,None,None,None,None,142000000,142000000,None,None,None,None,None,None,12400000,None,None,-2633600000
2009-09-30,USD,1141200000,None,None,None,None,25700000,6200000,None,577000000,None,-59400000,-511800000,None,None,None,None,47500000,47500000,None,None,None,None,None,None,13700000,None,None,-545300000
2010-09-30,USD,709400000,None,None,None,None,17200000,19200000,None,156000000,None,-318000000,-1039400000,None,None,None,None,47700000,47700000,None,None,None,None,13000000,None,13300000,-648000000,None,245100000
2011-09-30,USD,14900000,None,None,None,None,19900000,16300000,None,-74500000,None,-19300000,-572300000,None,None,None,None,47800000,47800000,None,None,None,None,-38600000,None,14200000,-576700000,None,71800000
2012-09-30,USD,-288700000,None,None,None,None,18800000,33600000,None,-646400000,None,-147700000,751500000,None,None,None,None,47800000,47800000,None,None,None,None,715000000,None,18100000,315100000,None,956300000
2013-09-30,USD,-1231100000,None,None,None,None,22700000,58000000,None,-2050900000,None,180900000,939000000,None,None,None,None,60200000,60200000,None,None,None,None,29700000,None,19000000,-111200000,None,462700000
2014-09-30,USD,-661400000,None,None,None,None,38400000,100200000,None,-1431800000,None,-282100000,627900000,None,None,None,None,48600000,48600000,None,None,None,None,45200000,None,26200000,-315600000,None,533500000
2015-09-30,USD,700400000,None,None,None,None,54100000,56100000,None,-89500000,None,-95400000,117000000,None,None,None,None,91600000,91600000,None,None,None,None,61800000,None,42200000,722000000,None,750700000
2016-09-30,USD,618000000,None,None,None,None,61000000,86100000,None,-506500000,None,-112600000,-586000000,None,None,None,None,118700000,118700000,None,None,None,None,-5900000,None,49000000,-80600000,None,886300000
2017-09-30,USD,435100000,None,None,None,None,54700000,157300000,None,-946700000,None,-171000000,-559500000,None,None,None,None,149600000,149600000,None,None,None,None,-65700000,None,59200000,-295400000,None,1038400000
2018-09-30,USD,545200000,None,None,None,None,62400000,68100000,None,-1056600000,None,2600000,-82500000,None,None,None,None,188400000,188400000,None,None,None,None,-137800000,None,55800000,465300000,None,1462300000
2019-09-30,USD,892100000,None,None,None,None,72000000,224100000,None,-591800000,None,-394000000,-490100000,None,None,None,None,223400000,223400000,None,None,None,None,-499500000,None,73200000,None,None,1618600000
2020-09-30,USD,1421600000,None,None,None,None,80400000,286800000,None,-1063500000,None,-166100000,270600000,None,None,None,None,256000000,256000000,None,None,None,None,-398600000,None,77800000,1526100000,None,2380500000
2021-09-30,USD,534400000,None,None,None,None,73900000,267400000,None,-3759100000,None,-252200000,-85100000,None,None,None,None,289300000,289300000,None,None,None,None,-926900000,None,91400000,197100000,None,4191200000
2022-09-30,USD,561800000,None,None,None,None,81400000,148200000,None,-5185000000,None,-414900000,-811200000,None,None,None,None,316500000,316500000,None,None,None,None,-1193500000,None,105100000,-664300000,None,5895600000
2023-09-30,USD,4304100000,None,None,None,None,91600000,148600000,None,-516400000,None,-310200000,-2666700000,None,None,None,None,341200000,341200000,None,None,None,None,-1234600000,None,111200000,None,None,4795200000
2024-09-30,USD,2189800000,None,None,None,None,87100000,165300000,None,78800000,None,-190600000,-1355300000,None,None,None,None,395200000,395200000,None,None,None,None,-1787500000,None,118100000,None,None,4756400000
2025-09-30,USD,3420900000,None,None,None,None,101300000,137400000,None,158100000,None,-168700000,-4762900000,None,None,None,None,494800000,494800000,None,None,None,None,-4281600000,None,131000000,None,None,3585200000
