fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,526237000,None,None,None,None,144099000,97747000,None,-1563426000,None,-1604445000,215461000,None,None,None,None,None,None,None,None,None,None,None,None,5832000,None,None,279221000
2006-03-31,USD,584204000,None,None,None,None,123286000,133576000,None,-2178217000,None,-145886000,103978000,None,None,None,None,None,None,None,None,None,None,None,None,83818000,None,None,248282000
2006-06-30,USD,515513000,None,None,None,None,142426000,148432000,None,None,None,87063000,131996000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,249994000
2006-09-30,USD,522113000,None,None,None,None,377969000,136867000,None,None,None,-79487000,-616177000,None,None,None,None,None,None,None,None,None,None,None,None,1000,None,None,280896000
2006-12-31,USD,625961000,None,None,None,None,-99129000,96573000,None,213831000,None,367163000,-880484000,None,None,None,None,None,None,None,None,None,None,-999999000,None,31772000,None,None,346467000
2007-03-31,USD,564492000,None,None,None,None,143449000,85413000,None,-29372000,None,-62650000,-225157000,None,None,None,None,None,None,None,None,None,None,-331085000,None,71950000,None,None,377176000
2007-06-30,USD,654585000,None,None,None,None,146722000,121328000,None,None,None,2950000,-235489000,None,None,None,None,None,None,None,None,None,None,-343776000,None,None,None,None,375824000
2007-09-30,USD,629486000,None,None,None,None,151720000,119294000,None,None,None,-2489000,-275828000,None,None,None,None,None,None,None,None,None,None,-495838000,None,None,None,None,-935635000
2007-12-31,USD,792546000,None,None,None,None,159816000,127932000,None,279222000,None,-630957000,43082000,None,None,None,None,None,None,None,None,None,None,-314698000,None,317410000,None,None,530886000
2008-03-31,USD,766270000,None,None,None,None,165980000,134644000,None,-23575000,None,-334171000,-1183100000,None,None,None,None,None,None,None,None,None,None,-992561000,None,87381000,None,None,459718000
2008-06-30,USD,738599000,None,None,None,None,173359000,121683000,None,None,None,-123645000,-483215000,None,None,None,None,None,None,None,None,None,None,-562729000,None,None,None,None,460345000
2008-09-30,USD,693403000,None,None,None,None,178578000,150412000,None,None,None,-225098000,-610060000,None,None,None,None,None,None,None,None,None,None,-622652000,None,None,None,None,492219000
2008-12-31,USD,683723000,None,None,None,None,201897000,159151000,None,100981000,None,-1374432000,602524000,None,None,None,None,None,None,None,None,None,None,-160000,None,301813000,None,None,367192000
2009-03-31,USD,668527000,None,None,None,None,197289000,90934000,None,None,None,-52059000,-614520000,None,None,None,None,None,None,None,None,None,None,None,None,113846000,None,None,357113000
2009-06-30,USD,730718000,None,None,None,None,197805000,128454000,None,0,None,-1376125000,30859000,None,None,None,None,0,0,None,None,None,None,0,None,96434000,None,None,327342000
2009-09-30,USD,738241000,None,None,None,None,215068000,174768000,None,0,None,-603399000,-198382000,None,None,None,None,0,0,None,None,None,None,0,None,92489000,None,None,349736000
2009-12-31,USD,770600000,None,None,None,None,200784000,172938000,None,-4465525000,None,882200000,-163613000,None,None,None,None,2177942000,2177942000,None,None,None,None,-2177942000,None,92038000,None,None,1354906000
2010-03-31,USD,418262000,None,None,None,None,188022000,152256000,None,0,None,-700969000,-7390000,None,None,None,None,0,0,None,None,None,None,0,None,102069000,None,None,397653000
2010-06-30,USD,726379000,None,None,None,None,187817000,207201000,None,0,None,-134666000,57753000,None,None,None,None,0,0,None,None,None,None,0,None,91983000,None,None,412192000
2010-09-30,USD,747114000,None,None,None,None,194338000,166988000,None,0,None,-555097000,-309449000,None,None,None,None,0,0,None,None,None,None,-297662000,None,93780000,None,None,431929000
2010-12-31,USD,854005000,None,None,None,None,192288000,197467000,None,-6819144000,None,-891738000,1493492000,None,None,None,None,0,0,None,None,None,None,-413406000,None,93660000,None,None,559187000
2011-03-31,USD,699610000,None,None,None,None,193089000,148568000,None,0,None,-596573000,-338592000,None,None,None,None,0,0,None,None,None,None,-357000000,None,118857000,-112829000,122726000,475865000
2011-06-30,USD,782736000,None,None,None,None,207595000,239783000,None,0,None,-3209062000,172252000,None,None,None,None,0,0,None,None,None,None,-424000000,None,118853000,-2198756000,55318000,283407000
2011-09-30,USD,809068000,None,None,None,None,266716000,283500000,None,0,None,-963260000,-24145000,None,None,None,None,67093000,67093000,None,None,None,None,-32752000,None,108222000,-266876000,-88539000,490503000
2011-12-31,USD,982260000,None,None,None,None,272553000,291647000,None,-5523398000,None,1462033000,-648011000,None,None,None,None,722556000,722556000,None,None,None,None,-249854000,None,111256000,None,None,1979612000
2012-03-31,USD,531000000,None,None,None,None,281000000,242000000,None,0,None,-893000000,-219000000,None,None,None,None,746000000,746000000,None,None,None,None,-240000000,None,111000000,None,None,570000000
2012-06-30,USD,768000000,None,None,None,None,290000000,357000000,None,0,None,-581000000,-215000000,None,None,None,None,90000000,90000000,None,None,None,None,-355000000,None,127000000,None,None,692000000
2012-09-30,USD,1154000000,None,None,None,None,311000000,362000000,None,0,None,-430000000,2516000000,None,None,None,None,2937000000,2937000000,None,None,None,None,-47000000,None,122000000,None,None,597000000
2012-12-31,USD,1386000000,None,None,None,None,319000000,296000000,None,-10239000000,None,-1859000000,-131000000,None,None,None,None,550000000,550000000,None,None,None,None,-256000000,None,127000000,None,None,751000000
2013-03-31,USD,937000000,None,None,None,None,329000000,299000000,None,0,None,-719000000,-411000000,None,None,None,None,0,0,None,None,None,None,-476000000,None,111000000,-287000000,-94000000,677000000
2013-06-30,USD,1011000000,None,None,None,None,347000000,353000000,None,0,None,-371000000,-352000000,None,None,None,None,0,0,None,None,None,None,-466000000,None,161000000,325000000,37000000,640000000
2013-09-30,USD,1334000000,None,None,None,None,357000000,317000000,None,0,None,-2904000000,-91000000,None,None,None,None,0,0,None,None,None,None,-146000000,None,140000000,-1575000000,86000000,689000000
2013-12-31,USD,1713000000,None,None,None,None,367000000,281000000,None,-10467000000,None,-2018000000,-500000000,None,None,None,None,0,0,None,None,None,None,-255000000,None,197000000,None,None,850000000
2014-03-31,USD,1174000000,None,None,None,None,382000000,206000000,None,0,None,532000000,-1793000000,None,None,None,None,0,0,None,None,None,None,-1811000000,None,149000000,-79000000,8000000,-2326000000
2014-06-30,USD,1494000000,None,None,None,None,373000000,269000000,None,0,None,-1661000000,-445000000,None,None,None,None,0,0,None,None,None,None,-1657000000,None,166000000,-581000000,31000000,676000000
2014-09-30,USD,1368000000,None,None,None,None,365000000,427000000,None,0,None,-2616000000,2281000000,None,None,None,None,0,0,None,None,None,None,-8000000,None,173000000,956000000,-77000000,673000000
2014-12-31,USD,1641000000,None,None,None,None,370000000,369000000,16000000,-9127000000,None,1072000000,-1065000000,None,None,None,None,0,0,None,None,None,None,-1182000000,None,187000000,1538000000,-110000000,936000000
2015-03-31,USD,1151000000,None,None,None,None,381000000,322000000,None,0,None,-724000000,-985000000,None,None,None,None,0,0,None,None,None,None,-1000000000,None,185000000,-855000000,-297000000,626000000
2015-06-30,USD,1156000000,None,None,None,None,324000000,421000000,None,0,None,-1697000000,7000000,None,None,None,None,0,0,None,None,None,None,108000000,None,198000000,-486000000,47000000,83000000
2015-09-30,USD,686000000,None,None,None,None,182000000,242000000,None,0,None,-867000000,-2354000000,None,None,None,None,1615000000,1615000000,None,None,None,None,-512000000,None,93000000,-2572000000,-36000000,539000000
2015-12-31,USD,1040000000,None,None,None,None,171000000,129000000,None,-5580000000,None,-323000000,-1222000000,None,None,None,None,5000000,5000000,None,None,None,None,-637000000,None,78000000,None,None,477000000
2016-03-31,USD,641000000,None,None,None,None,167000000,158000000,None,0,None,-1075000000,1222000000,None,None,None,None,0,0,None,None,None,None,-1001000000,None,88000000,854000000,66000000,482000000
2016-06-30,USD,763000000,None,None,None,None,167000000,147000000,None,0,None,-898000000,-537000000,None,None,None,None,0,0,None,None,None,None,-500000000,None,113000000,-685000000,-13000000,435000000
