fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-03-31,USD,790000000,None,None,None,None,None,5900000000,None,None,None,11330000000,None,None,None,None,None,141000000,141000000,None,None,None,None,None,None,None,None,None,602000000
2006-06-30,USD,None,None,None,None,None,None,12409000000,None,None,None,14878000000,None,None,None,None,None,283000000,283000000,None,None,None,None,None,None,None,None,None,None
2006-09-30,USD,None,None,None,None,None,None,19148000000,None,None,None,7812000000,None,None,None,None,None,424000000,424000000,None,None,None,None,None,None,None,None,None,None
2006-12-31,USD,None,None,None,None,None,None,25003000000,None,377000000,None,19695000000,None,None,None,None,None,563000000,563000000,None,None,None,None,None,None,None,None,None,950000000
2007-03-31,USD,1468000000,None,None,None,None,None,1185000000,None,None,None,None,None,None,None,None,None,141000000,141000000,None,None,None,None,None,None,None,None,None,62000000
2007-06-30,USD,4267000000,None,None,None,None,None,2884000000,None,None,None,None,None,None,None,None,None,283000000,283000000,None,None,None,None,None,None,None,None,None,891000000
2007-09-30,USD,3862000000,None,None,None,None,None,4939000000,None,None,None,None,None,None,None,None,None,425000000,425000000,None,None,None,None,None,None,None,None,None,None
2007-12-31,USD,7731000000,None,None,None,None,None,7542000000,None,None,None,None,None,None,None,None,None,567000000,567000000,None,None,None,None,None,None,None,None,None,None
2008-03-31,USD,None,None,None,None,None,None,1945000000,None,None,None,None,None,None,None,None,None,142000000,142000000,None,None,None,None,None,None,None,None,None,None
2008-06-30,USD,None,None,None,None,None,None,4125000000,None,None,None,None,None,None,None,None,None,283000000,283000000,None,None,None,None,None,None,None,None,None,None
2008-09-30,USD,None,None,None,None,None,None,5527000000,None,None,None,None,1721000000,None,None,None,None,283000000,283000000,None,None,None,None,None,None,None,None,None,None
2008-12-31,USD,None,None,None,None,None,None,7530000000,None,None,None,None,3843000000,None,None,None,None,283000000,283000000,None,None,None,None,None,None,None,None,None,None
2009-03-31,USD,-9390000000,None,None,None,None,None,1566000000,None,None,None,-2315000000,9314000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5975000000
2009-06-30,USD,-5696000000,None,None,None,None,None,1568000000,None,None,None,-1214000000,12411000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-12905000000
2009-09-30,USD,-258000000,None,None,None,None,None,1264000000,None,None,None,None,25873000000,None,None,None,None,41000000,41000000,None,None,None,None,None,None,None,None,None,127140000000
2009-12-31,USD,-1895000000,None,None,None,None,None,981000000,None,2603000000,None,None,-3024000000,None,None,None,None,56000000,56000000,None,None,None,None,None,None,None,None,None,-3439000000
2010-03-31,USD,1850000000,None,None,None,None,11384000000,840000000,None,3194000000,None,451000000,-1738000000,None,None,None,None,203000000,203000000,None,None,None,None,None,None,None,None,None,105217000000
2010-06-30,USD,3845000000,None,None,None,None,None,1011000000,None,None,None,5959000000,-6053000000,None,None,None,None,202000000,202000000,None,None,None,None,-6000000,None,None,None,None,1536000000
2010-09-30,USD,2624000000,None,None,None,None,None,1261000000,None,None,None,-2264000000,-158000000,None,None,None,None,203000000,203000000,None,None,None,None,None,None,None,None,None,2162000000
2010-12-31,USD,-1539000000,None,None,None,None,None,1088000000,None,None,None,-2913000000,-1821000000,None,None,None,None,964000000,964000000,None,None,None,None,-696000000,None,None,None,None,1406000000
2011-03-31,USD,-377000000,None,None,None,None,None,1642000000,None,None,None,39000000,207000000,None,None,None,None,221000000,221000000,None,None,None,None,-100000000,None,None,None,None,3366000000
2011-06-30,USD,5064000000,None,None,None,None,0,1266000000,None,0,None,-5226000000,-287000000,None,None,None,None,214000000,214000000,None,None,None,None,0,None,None,None,None,2992000000
2011-09-30,USD,2037000000,None,None,None,None,0,1741000000,None,0,None,-1317000000,-576000000,None,None,None,None,214000000,214000000,None,None,None,None,0,None,None,None,None,2107000000
2011-12-31,USD,1442000000,None,None,None,None,0,2435000000,None,0,None,-6236000000,298000000,None,None,None,None,267000000,267000000,None,None,None,None,100000000,None,None,None,None,725000000
2012-03-31,USD,2499000000,None,None,None,None,0,2298000000,None,0,None,-1292000000,-28000000,None,None,None,None,217000000,217000000,None,None,None,None,2248000000,None,None,1307000000,128000000,1315000000
2012-06-30,USD,3942000000,None,None,None,None,0,2371000000,None,0,None,467000000,594000000,None,None,None,None,242000000,242000000,None,None,None,None,3000000,None,None,4806000000,-197000000,1846000000
2012-09-30,USD,3383000000,None,None,None,None,328000000,2172000000,None,0,None,-3456000000,1157000000,None,None,None,None,220000000,220000000,None,None,None,None,0,None,79000000,1136000000,52000000,1833000000
2012-12-31,USD,781000000,None,None,None,None,38762000000,2277000000,None,-326000000,None,776000000,-6464000000,None,None,None,None,260000000,260000000,None,None,None,None,-5098000000,None,96000000,None,None,1194000000
2013-03-31,USD,819000000,None,None,None,None,1465000000,2418000000,None,0,None,-510000000,2167000000,None,None,None,None,218000000,218000000,None,None,None,None,0,None,None,2221000000,-255000000,1175000000
2013-06-30,USD,4893000000,None,None,None,None,1578000000,2541000000,None,0,None,-5291000000,-314000000,None,None,None,None,256000000,256000000,None,None,None,None,0,None,None,None,None,1414000000
2013-09-30,USD,3860000000,None,None,None,None,1475000000,2554000000,None,0,None,-4788000000,1466000000,None,None,None,None,1045000000,1045000000,None,None,None,None,-2438000000,None,None,-2509000000,141000000,1717000000
2013-12-31,USD,3058000000,None,None,None,None,8041000000,2306000000,None,59000000,None,-3773000000,412000000,None,None,None,None,168000000,168000000,None,None,None,None,0,None,311000000,-334000000,-31000000,1040000000
2014-03-31,USD,1976000000,None,None,None,None,1607000000,2379000000,None,0,None,-2837000000,718000000,None,None,None,None,571000000,571000000,None,None,None,None,0,None,None,None,None,213000000
2014-06-30,USD,3830000000,None,None,None,None,1819000000,2848000000,None,0,None,-4763000000,1300000000,None,None,None,None,622000000,622000000,None,None,None,None,0,None,None,None,None,278000000
2014-09-30,USD,1088000000,None,None,None,None,1676000000,3031000000,None,0,None,-3825000000,1342000000,None,None,None,None,588000000,588000000,None,None,None,None,-168000000,None,None,None,None,1471000000
2014-12-31,USD,3164000000,None,None,None,None,8041000000,3609000000,None,-309000000,None,-4273000000,2315000000,None,None,None,None,1384000000,1384000000,None,None,None,None,-3109000000,None,245000000,None,None,1987000000
2015-03-31,USD,375000000,None,None,None,None,1757000000,3936000000,None,0,None,-5468000000,2359000000,None,None,None,None,488000000,488000000,None,None,None,None,-300000000,None,None,-3178000000,-444000000,908000000
2015-06-30,USD,5786000000,None,None,None,None,2170000000,6057000000,None,0,None,-5855000000,2395000000,None,None,None,None,598000000,598000000,None,None,None,None,-1699000000,None,None,1851000000,-475000000,1140000000
2015-09-30,USD,3308000000,None,None,None,None,1981000000,6367000000,None,0,None,-8856000000,3590000000,None,None,None,None,592000000,592000000,None,None,None,None,-889000000,None,None,-2194000000,-236000000,1341000000
2015-12-31,USD,2509000000,None,None,None,None,8017000000,6672000000,None,-1350000000,None,-7856000000,5342000000,None,None,None,None,564000000,564000000,None,None,None,None,-632000000,None,446000000,-195000000,-190000000,6266000000
2016-03-31,USD,-108000000,None,None,None,None,2292000000,7396000000,None,0,None,-6640000000,6427000000,None,None,None,None,588000000,588000000,None,None,None,None,-300000000,None,-508000000,-344000000,159000000,1931000000
2016-06-30,USD,6127000000,None,None,None,None,2299000000,6781000000,None,0,None,-5699000000,3600000000,None,None,None,None,600000000,600000000,None,None,None,None,0,None,1341000000,4029000000,-79000000,2736000000
