fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,433500000,None,None,None,None,73423000,126044000,None,-7240000,None,-145599000,-340729000,None,None,None,None,228052000,228052000,None,None,None,None,-123478000,None,4500000,None,None,475405000
2007-12-31,USD,641471000,None,None,None,None,87702000,115648000,None,-42087000,None,-87598000,-469496000,None,None,None,None,243244000,243244000,None,None,None,None,-241220000,None,2725000,None,None,506339000
2008-12-31,USD,530309000,None,None,None,None,88698000,105026000,None,-20709000,None,-214334000,-472573000,None,None,None,None,251808000,251808000,None,None,None,None,-273000000,None,2475000,None,None,475417000
2009-12-31,USD,845298000,None,None,None,None,90411000,142259000,None,194743000,None,-264420000,-330383000,None,None,None,None,253558000,253558000,None,None,None,None,-26019000,None,8578000,269026000,18531000,399575000
2010-12-31,USD,678663000,None,None,None,None,89332000,85379000,None,44865000,None,-172348000,-320569000,None,None,None,None,257898000,257898000,None,None,None,None,-75007000,None,7016000,193165000,7419000,475511000
2011-12-31,USD,624927000,None,None,None,None,88936000,103469000,None,-19624000,None,-231497000,-394140000,None,None,None,None,276369000,276369000,None,None,None,None,-123127000,None,7547000,-4914000,-4204000,565116000
2012-12-31,USD,906438000,None,None,None,None,98383000,101987000,None,-25845000,None,-651867000,-378834000,None,None,None,None,300983000,300983000,None,None,None,None,-81826000,None,10747000,-121959000,2304000,648041000
2013-12-31,USD,1056731000,None,None,None,None,133957000,124063000,None,-79253000,None,-825579000,-425117000,None,None,None,None,326217000,326217000,None,None,None,None,-120673000,None,12648000,-206202000,-12237000,684959000
2014-12-31,USD,790145000,None,None,None,None,148313000,107681000,None,-100820000,None,-386715000,-455440000,None,None,None,None,347271000,347271000,None,None,None,None,-95946000,None,16239000,-59163000,-7153000,711286000
2015-12-31,USD,1159373000,None,None,None,None,141675000,109544000,None,-21821000,None,-263627000,-806074000,None,None,None,None,368284000,368284000,None,None,None,None,-292275000,None,17717000,73901000,-15771000,705672000
2016-12-31,USD,946078000,None,None,None,None,147487000,160643000,None,-64214000,None,-593999000,-322406000,None,None,None,None,386863000,386863000,None,None,None,None,-181417000,None,19719000,31248000,1575000,687240000
2017-12-31,USD,815043000,None,None,None,None,167691000,156760000,None,-9923000,None,-1630280000,872059000,None,None,None,None,395475000,395475000,None,None,None,None,-173524000,None,16892000,72020000,15198000,616757000
2018-12-31,USD,1145164000,None,None,None,None,241635000,232422000,None,-73173000,None,-496124000,-608830000,None,None,None,None,415983000,415983000,None,None,None,None,-91983000,None,20716000,18648000,-21562000,810474000
2019-12-31,USD,892010000,None,None,None,None,257263000,277873000,-116145000,-54765000,None,-563206000,-385962000,None,None,None,None,438890000,438890000,None,None,None,None,-74187000,None,28703000,-57158000,None,646475000
2020-12-31,USD,2019561000,None,None,None,None,272842000,153502000,957514000,58462000,None,182768000,-1513765000,None,None,None,None,453277000,453277000,None,None,None,None,-96215000,None,22621000,683525000,None,163395000
2021-12-31,USD,1258285000,None,None,None,None,290971000,266136000,-258994000,-329237000,None,-506164000,-989532000,None,None,None,None,465649000,465649000,None,None,None,None,-333599000,None,25597000,-237411000,None,898790000
2022-12-31,USD,1466971000,None,None,None,None,347819000,339632000,-244371000,-380420000,None,-1684240000,205101000,None,None,None,None,495917000,495917000,None,None,None,None,-222726000,None,38058000,-12168000,None,1182701000
2023-12-31,USD,1435610000,None,None,None,None,350529000,512675000,None,-69148000,None,-705792000,-292161000,None,None,None,None,526674000,526674000,None,None,None,None,-261473000,None,57226000,None,None,1316524000
2024-12-31,USD,1251251000,None,None,None,None,407978000,567339000,None,-440549000,None,-1507524000,-333936000,None,None,None,None,554931000,554931000,None,None,None,None,-149999000,None,40693000,None,None,904076000
2025-12-31,USD,890762000,None,None,None,None,538023000,469838000,None,-208190000,None,-711587000,-209254000,None,None,None,None,563842000,563842000,None,None,None,None,-16671000,None,48847000,None,None,65945000
