fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2007-01-31,USD,9041177000,3401040000,189170000,189170000,2588099000,40190000,5640137000,None,None,219286000,219286000,9338000,None,None,431230000,152351000,None,3437782000,1918658000,934376000,None,None,18841000,1519124000,None,None,None,None,1058898000,233263000,None,5603395000,None,5479534000,3485000,334948943
2008-01-31,USD,10560082000,3723889000,180543000,180543000,2855733000,71069000,6836193000,None,None,209958000,209958000,9338000,None,None,483128000,133416000,None,4458479000,1771448000,835985000,None,None,12701000,2687031000,None,None,None,None,2064576000,124254000,None,6101603000,None,6563385000,3508000,320000000
2009-01-31,USD,11334000000,3700000000,167000000,167000000,2799000000,74000000,7634000000,None,None,201000000,201000000,9000000,None,None,509000000,151000000,None,4595000000,1815000000,881000000,None,None,17000000,2780000000,None,None,None,None,2070000000,105000000,None,6739000000,None,7448000000,4000000,307000000
2010-01-31,USD,13160000000,5485000000,2267000000,2267000000,2923000000,73000000,7675000000,None,None,204000000,204000000,None,None,None,None,222000000,None,5307000000,2390000000,1188000000,None,None,16000000,2917000000,None,None,None,None,2068000000,1002000000,None,7853000000,None,8439000000,4000000,306000000
2011-01-31,USD,13564000000,5645000000,2277000000,2277000000,3036000000,77000000,7919000000,None,None,193000000,193000000,None,None,None,None,255000000,None,5462000000,2710000000,1138000000,None,None,418000000,2752000000,None,None,None,None,2096000000,1027000000,None,8102000000,None,9553000000,4000000,306000000
2012-01-31,USD,14094000000,4775000000,1205000000,1205000000,3199000000,72000000,9319000000,None,None,193000000,193000000,None,None,None,277000000,299000000,None,7586000000,2590000000,1233000000,None,None,94000000,4996000000,None,None,None,None,4244000000,311000000,None,6508000000,None,10195000000,4000000,271000000
2013-01-31,USD,13905000000,4719000000,537000000,537000000,3748000000,122000000,9186000000,None,None,None,None,None,None,None,None,312000000,None,7857000000,2535000000,1307000000,None,None,105000000,5322000000,None,None,None,None,4553000000,833000000,None,6048000000,None,10878000000,4000000,237000000
2014-01-31,USD,14378000000,5292000000,971000000,971000000,3874000000,142000000,9086000000,None,None,None,None,None,None,None,None,305000000,None,8400000000,2736000000,1365000000,None,None,139000000,5664000000,None,None,None,None,4861000000,972000000,None,5978000000,None,11462000000,4000000,220000000
2015-01-31,USD,14431000000,5698000000,1407000000,1407000000,3814000000,116000000,8733000000,None,None,None,None,None,None,None,None,361000000,None,8440000000,2859000000,1511000000,None,None,110000000,5581000000,None,None,None,None,4761000000,931000000,None,5991000000,None,12008000000,4000000,204000000
2016-01-31,USD,13606000000,5076000000,707000000,707000000,4038000000,26000000,8530000000,None,None,None,None,None,None,None,None,331000000,None,8115000000,2714000000,1251000000,None,None,127000000,5401000000,None,None,None,None,4708000000,1013000000,None,5491000000,None,12329000000,4000000,195000000
2017-01-31,USD,13574000000,5247000000,1074000000,1074000000,3795000000,27000000,8327000000,8103000000,None,None,None,None,None,None,None,378000000,None,8397000000,2974000000,1507000000,None,None,131000000,5423000000,None,2795000000,None,None,4611000000,1007000000,None,5177000000,None,12522000000,4000000,179000000
2018-01-31,USD,13340000000,5331000000,1308000000,1308000000,3542000000,62000000,8009000000,7773000000,None,None,None,None,None,None,None,481000000,None,7914000000,2651000000,1271000000,None,None,126000000,5263000000,None,2797000000,None,None,4514000000,924000000,None,5426000000,None,13006000000,4000000,168000000
2019-01-31,USD,12469000000,4835000000,934000000,934000000,3475000000,29000000,7634000000,7428000000,None,None,None,None,None,None,None,426000000,None,6942000000,2730000000,1187000000,None,None,115000000,4212000000,1638000000,1861000000,None,None,3614000000,1098000000,644000000,5527000000,None,13395000000,4000000,165000000
