fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-03-31,USD,8000,8000,None,None,-123996000,None,109759000,124004000,None,None,None,None,None,None,None,1502000,-129655000,-72000,None,None,None,-123996000,-122494000,-129583000
2020-06-30,USD,-59000,118000,59000,59000,-113420000,None,97940000,113361000,None,None,None,None,None,None,None,1790000,-117313000,-28000,None,None,None,-113420000,-111630000,-117285000
2020-09-30,USD,-275000,334000,609000,609000,-162100000,27935000,133890000,161825000,None,-10000,None,10000,None,167783,None,2155000,-161382000,-145000,None,-155614,None,-162100000,-159945000,-161237000
2020-12-31,USD,1114000,3634000,2520000,2520000,-199711000,31304000,169521000,200825000,None,-44000,None,44000,None,None,None,4770000,-311218000,57000,None,-311275000,None,-311174000,-306404000,-311275000
2021-03-31,USD,228000,313000,85000,85000,-298793000,131652000,167369000,299021000,None,-5000,None,5000,None,None,None,4919000,-747948000,4000,None,-747952000,None,-747943000,-743024000,-747952000
2021-06-30,USD,155000,174000,19000,19000,-248919000,72272000,176802000,249074000,None,-872547,27453,30000,None,-587355759,None,6819000,-261721000,5000,None,-588819915,None,-261691000,-254872000,-261726000
2021-09-30,USD,-3088000,232000,3320000,3320000,-497050000,251554000,242408000,493962000,None,-2793000,None,76000,None,-27255000,None,14900000,-524381000,22000,None,-524403000,None,-524305000,-509405000,-524403000
2021-12-31,USD,-125081000,26392000,151473000,151473000,-485684000,196997000,163606000,360603000,None,-1263000,None,1263000,None,None,None,36286000,-1045662000,18000,None,-1045680000,None,-1044399000,-1008113000,-1045680000
2022-03-31,USD,-188295000,57675000,245970000,245970000,-597530000,223159000,186076000,409235000,None,-7705000,None,7705000,None,524272000,None,42346000,-80963000,323000,None,-81286000,None,-73258000,-30912000,-81286000
2022-06-30,USD,-195006000,97336000,292342000,292342000,-559199000,163812000,200381000,364193000,None,-7189000,None,7189000,None,346031000,None,47348000,-220357000,68000,None,-220425000,None,-213168000,-165820000,-220425000
2022-09-30,USD,-297026000,195457000,492483000,492483000,-687523000,176736000,213761000,390497000,None,16760000,24373000,7613000,None,165184000,None,55955000,-529952000,149000,None,-530101000,None,-522339000,-466384000,-530101000
2022-12-31,USD,-357578000,257713000,615291000,615291000,-749739000,170867000,221294000,392161000,None,21397000,29472000,8075000,None,None,None,55240000,-472809000,-161000,None,-472648000,None,-464734000,-409494000,-472648000
2023-03-31,USD,-351092000,149432000,500524000,500524000,-772161000,168770000,229803000,421069000,None,32897000,40005000,7108000,None,-130000,None,55668000,-779399000,129000,None,-779528000,None,-772291000,-716623000,-779528000
2023-06-30,USD,-404931000,150874000,555805000,555805000,-837685000,197748000,233474000,431222000,None,32835000,39525000,6690000,None,80730000,None,61811000,-763645000,587000,None,-764232000,None,-756955000,-695144000,-764232000
2023-09-30,USD,-331908000,137814000,469722000,469722000,-752875000,189691000,230758000,420967000,None,62724000,66064000,3340000,None,None,None,60832000,-630598000,296000,None,-630894000,None,-627258000,-566426000,-630894000
2023-12-31,USD,-252864000,157151000,410015000,410015000,-736867000,205726000,242977000,484003000,None,50903000,58680000,7777000,None,None,None,67498000,-653752000,14000,None,-653766000,None,-645975000,-578477000,-653766000
2024-03-31,USD,-232056000,172740000,404796000,404796000,-729915000,213232000,284627000,497859000,None,43130000,50631000,7501000,None,None,None,68838000,-680671000,188000,None,-680859000,None,-673170000,-604332000,-680859000
2024-06-30,USD,-269774000,200581000,470355000,470355000,-787417000,210245000,287170000,517643000,None,47880000,54553000,6673000,None,None,None,66183000,-643455000,-65000,None,-643390000,None,-636782000,-570599000,-643390000
2024-09-30,USD,-212506000,200038000,412544000,412544000,-770538000,233585000,324371000,558032000,None,41539000,50017000,8478000,None,None,None,69473000,-991988000,487000,None,-992475000,None,-983510000,-914037000,-992475000
2024-12-31,USD,-208775000,234473000,443248000,443248000,-732950000,194090000,280285000,524175000,None,47554000,57825000,10271000,None,None,None,90843000,-396629000,589000,None,-397218000,None,-386358000,-295515000,-397218000
2025-03-31,USD,-228512000,235048000,463560000,463560000,-691933000,212175000,251246000,463421000,None,40326000,52209000,11883000,None,None,None,97959000,-367534000,-1363000,None,-366171000,None,-355651000,-257692000,-366171000
2025-06-30,USD,-272351000,259432000,531783000,531783000,-803047000,256857000,273839000,530696000,None,20569000,44318000,23749000,None,None,None,111088000,-541801000,-2369000,None,-539432000,None,-518052000,-406964000,-539432000
2025-09-30,USD,-333617000,336580000,670197000,670197000,-942019000,283097000,325305000,608402000,None,9072000,34643000,10829000,None,None,None,120090000,-978791000,-363000,None,-978428000,None,-967962000,-847872000,-978428000
2025-12-31,USD,-421906000,522730000,944636000,944636000,-1064754000,281841000,361007000,642848000,None,-8625000,25273000,22015000,None,None,None,1200000,-812258000,1762000,None,-814020000,None,-790243000,-789043000,-814020000
