fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2005-12-31,USD,4052600000,1763300000,64900000,64900000,767100000,847600000,2289300000,971100000,None,133500000,133500000,1102500000,None,None,None,83700000,None,1803600000,738000000,254200000,None,None,156300000,1065600000,None,921600000,None,None,1077900000,327500000,None,2249000000,-376800000,2093100000,2000000,187400000
2006-03-31,USD,4148000000,1862700000,130300000,130300000,771600000,888200000,2285300000,962700000,None,134500000,134500000,1107100000,None,None,None,72600000,None,1868800000,803800000,283100000,None,None,98700000,1065000000,None,920900000,None,None,1019600000,422000000,None,2279200000,-384500000,2125600000,2000000,188200000
2006-06-30,USD,4276100000,1907400000,94800000,94800000,806200000,930000000,2368700000,970400000,None,176900000,176900000,1139500000,None,None,None,76400000,None,1948300000,754400000,291800000,None,None,50700000,1193900000,None,1032200000,None,None,1082900000,411900000,None,2327800000,-422400000,2178600000,2000000,187900000
2006-09-30,USD,4314000000,1947700000,94100000,94100000,806900000,968300000,2366300000,962500000,None,168400000,168400000,1144700000,None,None,None,78400000,None,1967300000,762000000,287800000,None,None,51000000,1205300000,None,1048700000,None,None,1099700000,423200000,None,2346700000,-463600000,2231600000,2000000,186300000
2006-12-31,USD,4265300000,1894100000,131900000,131900000,826300000,853800000,2371200000,962800000,None,182900000,182900000,1149300000,None,None,None,82100000,None,1914200000,691200000,259000000,None,None,52000000,1223000000,None,1060000000,None,None,1112000000,380200000,None,2351100000,-490600000,2270700000,2000000,183000000
2007-03-31,USD,4434200000,1981400000,234600000,234600000,808000000,869600000,2452800000,965000000,None,245400000,245400000,1158900000,None,None,None,69200000,None,2053500000,738900000,272100000,None,None,49200000,1314600000,None,1139100000,None,None,1188300000,417600000,None,2380700000,-504900000,2315700000,2000000,183700000
2007-06-30,USD,4378400000,1924700000,168200000,168200000,811800000,869500000,2453700000,962900000,None,242900000,242900000,1169100000,None,None,None,75200000,None,1988900000,759700000,290400000,None,None,82800000,1229200000,None,1054800000,None,None,1137600000,386500000,None,2389500000,-565400000,2343400000,2000000,182600000
2007-09-30,USD,4342200000,1885000000,188300000,188300000,754100000,877100000,2457200000,964700000,None,223400000,223400000,1193100000,None,None,None,65500000,None,1995100000,755500000,269800000,None,None,92300000,1239600000,None,1067500000,None,None,1159800000,393400000,None,2347100000,-660700000,2377900000,2000000,177400000
2007-12-31,USD,4072500000,1834400000,205400000,205400000,599200000,640200000,2238100000,726900000,None,232200000,232200000,931300000,None,None,None,389600000,None,1939800000,799600000,227600000,None,None,88700000,1140200000,None,1000600000,None,None,1089300000,483300000,None,2132700000,-685100000,2122300000,2000000,173000000
2008-03-31,USD,4103000000,1870600000,188100000,188100000,599200000,685800000,2232400000,736400000,None,227500000,227500000,927900000,None,None,None,397500000,None,2015800000,772500000,242200000,None,None,74200000,1243300000,None,1095800000,None,None,1170000000,456100000,None,2087200000,-712100000,2123500000,2000000,173200000
2008-06-30,USD,4218600000,1965900000,203100000,203100000,669200000,706700000,2252700000,739600000,None,223700000,223700000,938700000,None,None,None,386900000,None,2138000000,745400000,278800000,None,None,11400000,1392600000,None,1227900000,None,None,1239300000,455200000,None,2080600000,-756200000,2127800000,2000000,171500000
2008-09-30,USD,3730500000,1714500000,211400000,211400000,644800000,743100000,2016000000,722400000,None,220500000,220500000,922700000,None,None,None,115200000,None,1831000000,685800000,271400000,None,None,17100000,1145200000,None,998200000,None,None,1015300000,397300000,None,1899500000,-902900000,2120100000,2000000,166100000
2008-12-31,USD,3161900000,1306800000,164700000,164700000,495000000,550500000,1855100000,681400000,None,197400000,197400000,875600000,None,None,None,96600000,None,1508900000,524200000,175300000,None,None,22400000,984700000,None,851200000,None,None,873600000,326500000,None,1653000000,-918600000,2062100000,2000000,161100000
2009-03-31,USD,3020600000,1203400000,160200000,160200000,452700000,526200000,1817200000,671400000,None,182400000,182400000,880900000,None,None,27900000,64300000,None,1399600000,489100000,159900000,None,None,17100000,910500000,None,793200000,None,None,810300000,312100000,None,1603300000,-889600000,2025400000,2000000,161400000
2009-06-30,USD,3069400000,1220200000,222200000,222200000,411100000,526500000,1849200000,685600000,None,181200000,181200000,905800000,None,None,25300000,60400000,None,1403700000,502300000,186400000,None,None,17000000,901400000,None,772800000,None,None,789800000,298900000,None,1646300000,-891800000,2004300000,2000000,161800000
2009-09-30,USD,3095400000,1250900000,221500000,221500000,397400000,575900000,1844500000,664000000,None,176200000,176200000,917900000,None,None,18500000,56100000,None,1466500000,539100000,209300000,None,None,1900000,927400000,None,772400000,None,None,774300000,327900000,None,1609400000,-965700000,2017800000,2000000,160500000
2009-12-31,USD,3061200000,1213600000,260500000,260500000,409100000,469500000,1847600000,668600000,None,171100000,171100000,928200000,None,None,None,74500000,None,1485700000,535100000,199400000,None,None,10100000,950600000,None,789300000,None,None,799400000,325600000,None,1554000000,-1033800000,2013300000,2000000,152600000
2010-03-31,USD,3090700000,1279500000,247200000,247200000,438600000,545400000,1811200000,641400000,None,165400000,165400000,922100000,None,None,16800000,48300000,None,1551200000,566700000,240600000,None,None,10000000,984500000,None,822200000,None,None,832200000,316100000,None,1517900000,-1051800000,2018900000,2000000,154300000
2010-06-30,USD,3079300000,1307000000,243500000,243500000,451500000,537200000,1772300000,651900000,-1131100000,160400000,160400000,904200000,None,None,18700000,74800000,None,1591000000,571600000,256900000,None,None,10000000,1019400000,None,854800000,None,None,864800000,304700000,117800000,1465200000,-1083200000,2032300000,2000000,153800000
2010-09-30,USD,3079300000,1308400000,276700000,276700000,448900000,546600000,1770900000,646000000,-1153500000,156000000,156000000,916100000,None,None,0,36200000,None,1563800000,549900000,232100000,None,None,9800000,1013900000,None,833500000,None,None,843300000,308000000,121800000,1491600000,-1085800000,2039100000,2000000,152900000
2010-12-31,USD,3001000000,1219100000,244500000,244500000,435300000,478900000,1781900000,649100000,-1173900000,152300000,152300000,930300000,None,None,0,60400000,None,1476600000,523000000,226400000,None,None,2200000,953600000,None,762200000,None,None,764400000,294400000,121900000,1507300000,-1093000000,2033300000,2000000,152600000
2011-03-31,USD,3090700000,1279500000,247200000,247200000,438600000,575600000,1811200000,616100000,-1197800000,147900000,147900000,940200000,None,None,0,46300000,None,1551200000,566700000,301800000,None,None,10000000,984500000,None,821900000,None,None,832200000,254900000,127500000,1539500000,-1180900000,2038100000,2000000,154300000
