fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-11-30,USD,12408266000,9910349000,803115000,803115000,7831483000,792047000,2497916999,42877000,None,195156000,195156000,257843000,None,None,483704000,24796000,None,6651501000,2902721000,751496000,None,None,1236529000,3748780000,None,2526431000,None,None,3762734000,572399000,None,5701372000,-606395000,4539137000,16976000,164158911
2007-11-30,USD,9102747000,5819243000,830623000,830623000,4500403000,488217000,3283503999,23918000,None,61222000,61222000,61222000,None,None,None,35429000,None,5252100000,1854684000,376134000,None,None,631535000,3397416000,None,2205338000,None,None,2836873000,719081000,None,3822119000,-610366000,2496933000,17227000,160836931
2008-11-30,USD,7424898000,6217938000,1234227000,1234227000,4500090000,483621000,1206960000,12563000,None,34046000,34046000,34046000,None,None,30805000,30805000,None,4636145000,1492728000,246727000,None,None,653224000,3143417000,None,2117494000,None,None,2770718000,592777000,None,2623007000,-612124000,1273159000,17346000,161562900
2009-11-30,USD,7314791000,6160746000,1492309000,1492309000,4087989000,580448000,1154045000,152032000,None,34046000,34046000,34046000,None,None,34871000,34871000,None,4726777000,1370051000,169596000,None,None,682096000,3356726000,None,2296813000,None,None,2978909000,518359000,None,2443479000,-613690000,828424000,19811000,173947740
2010-11-30,USD,8787851000,5913331000,1524849000,1524849000,4169608000,218874000,2874520000,258104000,None,34046000,34046000,34046000,None,710711000,29405000,130714000,None,5593468000,1030847000,168006000,None,None,478608000,4562621000,None,3128154000,None,None,4152134000,384233000,384233000,2608949000,-615496000,894108000,19998000,192634140
2011-11-30,USD,9154671000,6042957000,1407899000,1407899000,4360535000,274523000,3111714000,319245000,None,34046000,34046000,34046000,None,None,24909000,244295000,None,5851146000,1289764000,201101000,None,None,762463000,4561382000,None,3775971000,None,None,4538434000,326200000,None,2696468000,-621220000,956401000,20208000,199088700
2012-11-30,USD,10362206000,6853312000,1555624000,1555624000,5071713000,225975000,3508894000,313621000,None,52015000,52015000,34046000,None,807661000,21068000,747199000,None,6360998000,1487904000,220690000,None,None,999055000,4873093999,None,4579531000,None,None,5037525000,268159000,1102783000,3414764000,-632846000,1605131000,20538000,223068900
2013-11-30,USD,11273247000,8010330000,980788000,980788000,6699808000,290991000,3262916999,181423000,None,51970000,51970000,34046000,None,1574133000,49026000,38743000,None,6645777000,683420000,288883000,None,None,394537000,5962357000,None,4650173000,None,None,5016539000,10150000,1332555000,4168901000,-628019000,2053893000,21781000,230438400
2014-11-30,USD,12923151000,9608096000,1290423000,1290423000,7862774000,398075000,3350171000,158904000,None,68646000,68646000,38854000,None,1980738000,16799000,56824000,None,7671849000,2012318000,460793000,None,None,1502489000,5694647000,None,5313459000,501468000,None,6017602000,49036000,1228570000,4827020000,-93440000,2660034000,20722000,232804800
2015-11-30,USD,14419509000,10535352000,1172406000,1172406000,8862086000,472294000,3884156999,115557000,None,68046000,68046000,38854000,None,1217296000,42827000,28566000,None,8469437000,2214498000,538852000,None,None,1624215000,6254939000,None,5796858000,978000,None,6655158000,51431000,1275427000,5648944000,-107755000,3429736000,21364000,235428240
2016-11-30,USD,15361781000,12552901000,1329529000,1329529000,9178926000,891559000,2808880000,173614000,None,69164000,69164000,39838000,None,1376023000,53570000,1099317000,None,8150214000,596519000,596519000,None,None,1804564000,7553695000,None,4575977000,398232000,None,6380541000,110006000,1278155000,7211567000,-108961000,4306256000,23707000,235326240
2017-11-30,USD,18745034000,14284189000,2662878000,2662878000,11069508000,520597000,4460844999,215068000,None,201800000,201800000,196404000,None,1573762000,57439000,31206000,None,10758902000,2614274000,754668000,None,None,1478886000,8144628000,None,6410003000,7972515000,None,7972515000,380720000,2031719000,7872317000,-136020000,4840978000,24312000,237156000
2018-11-30,USD,28566181000,20924569000,1558458000,1558458000,17068704000,1041839000,7641612000,319861000,None,3680047000,3680047000,3680047000,None,1775434000,4161000,1251407000,None,13883224000,1325398000,1325398000,None,None,2570901000,12557826000,None,8543868000,1463850000,None,11114769000,175590000,2440768000,14682957000,-435869000,6487650000,33443000,308565000
2019-11-30,USD,29359511000,22239959000,1445996000,1445996000,18093647000,2625683000,7119552000,279527000,None,None,None,3657875000,None,1572725000,3732000,70901000,None,13325681000,1069179000,1069179000,None,None,1797058000,12256502000,None,7823738000,None,None,9620796000,260266000,2728316000,16033830000,-957857000,8295001000,33656000,318422000
2020-11-30,USD,29935177000,19943096000,2703986000,2703986000,16925228000,298671000,9992081000,411518000,None,None,None,3442359000,None,2133692000,53497000,15211000,None,11835776000,1037338000,1037338000,None,None,1499441000,10798438000,None,7421583000,None,None,8921024000,706691000,2932555000,18099401000,-1279227000,10564994000,33838000,309407000
2021-11-30,USD,33207778000,21962722000,2735213000,2735213000,18715304000,490278000,11245056000,339906000,None,None,None,3442359000,None,972084000,41654000,21927000,None,12211496000,1321247000,1321247000,None,None,2332892000,10890249000,None,4652338000,None,None,6985230000,976601999,6237911000,20996282000,-2709448000,14685329000,33994000,306612000
2022-11-30,USD,37984295000,26745161000,4616124000,4616124000,21432011000,673980000,11239134000,860156000,None,None,None,3442359000,None,1173164000,35482000,23046000,None,13743928000,1616128000,1616128000,None,None,2275856000,12127800000,None,4047294000,None,None,6323150000,1967551000,5315224000,24240367000,-210389000,18861417000,29268000,289824000
2023-11-30,USD,39234303000,27164813000,6557457000,6557457000,18897670000,1696205000,12069490000,550601000,None,None,None,3632058000,None,1143909000,37953000,13481000,None,12532337000,6726058000,1631401000,None,None,2553763000,5806279000,None,2816482000,None,None,5138299000,2540894000,8084454000,26580664000,None,22369368000,29508000,283319000
2024-11-30,USD,41312781000,26955198000,4978411000,4978411000,20312430000,1652558000,14357583000,791446000,None,None,None,3632058000,None,2711030000,40578000,11799000,None,13291556000,7834558000,1839440000,None,None,2431184000,5456998000,None,4189239000,None,None,4451358000,3563934000,6765486000,27870135000,None,25753078000,29658000,272019000
2025-11-30,USD,34430437000,17142851000,3804804000,3804804000,11841255000,1470862000,17287586000,911849000,None,None,None,3632058000,None,2902124000,39060000,25930000,None,12289828000,5496026000,1812484000,None,None,2207166000,6793802000,None,6095284000,None,None,6316410000,1476376000,4168252000,21959417000,None,22471471000,29818000,257746000
