fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-01-31,USD,1807000000,None,None,None,None,314000000,335000000,None,1925000000,None,-257000000,-1542000000,None,None,None,None,68000000,68000000,None,None,None,None,7000000,None,-4000000,None,None,699000000
2006-04-30,USD,-80000000,None,None,None,None,304000000,103000000,None,27000000,None,-117000000,190000000,None,None,None,None,69000000,69000000,None,None,None,None,162000000,None,None,None,None,-52000000
2006-07-31,USD,2460000000,None,None,None,None,289000000,289000000,None,130000000,None,316000000,-1955000000,None,None,None,None,70000000,70000000,None,None,None,None,-254000000,None,None,None,None,317000000
2006-10-31,USD,-330000000,None,None,None,None,304000000,473000000,None,-1914000000,None,588000000,-549000000,None,None,None,None,69000000,69000000,None,None,None,None,-831000000,None,148000000,None,None,-3000000
2007-01-31,USD,1696000000,None,None,None,None,319000000,527000000,None,1706000000,None,389000000,-1645000000,None,None,None,None,66000000,66000000,None,None,None,None,-1382000000,None,125000000,None,None,733000000
2007-04-30,USD,-363000000,None,None,None,None,320000000,150000000,None,-182000000,None,-38000000,-310000000,None,None,None,None,58000000,58000000,None,None,None,None,-1991000000,None,23000000,None,None,36000000
2007-07-31,USD,782000000,None,None,None,None,319000000,303000000,None,299000000,None,-284000000,-749000000,None,None,None,None,59000000,59000000,None,None,None,None,-928000000,None,133000000,None,None,74000000
2007-10-31,USD,-127000000,None,None,None,None,314000000,328000000,None,-1812000000,None,-303000000,456000000,None,None,None,None,56000000,56000000,None,None,None,None,-84000000,None,17000000,None,None,33000000
2008-01-31,USD,1946000000,None,None,None,None,320000000,324000000,None,1951000000,None,-171000000,-1467000000,None,None,None,None,57000000,57000000,None,None,None,None,-319000000,None,-150000000,None,None,750000000
2008-04-30,USD,21000000,None,None,None,None,308000000,108000000,None,-224000000,None,-99000000,-139000000,None,None,None,None,55000000,55000000,None,None,None,None,5000000,None,None,None,None,-59000000
2008-07-31,USD,571000000,None,None,None,None,308000000,239000000,None,276000000,None,-213000000,569000000,None,None,None,None,55000000,55000000,None,None,None,None,None,None,None,None,None,73000000
2008-10-31,USD,-275000000,None,None,None,None,334000000,303000000,None,-1907000000,None,-294000000,-424000000,None,None,None,None,56000000,56000000,None,None,None,None,1000000,None,None,None,None,-44000000
2009-01-31,USD,1562000000,None,None,None,None,301000000,247000000,None,2146000000,None,-185000000,-371000000,None,None,None,None,55000000,55000000,None,None,None,None,None,None,27000000,None,None,-4773000000
2009-04-30,USD,-35000000,None,None,None,None,303000000,75000000,None,-257000000,None,-68000000,-908000000,None,None,None,None,21000000,21000000,None,None,None,None,None,None,27000000,None,None,-88000000
2009-07-31,USD,471000000,None,None,None,None,301000000,116000000,None,392000000,None,-114000000,-137000000,None,None,None,None,21000000,21000000,None,None,None,None,-1000000,None,15000000,None,None,7000000
2009-10-31,USD,-52000000,None,None,None,None,301000000,111000000,None,-1772000000,None,-93000000,119000000,None,None,None,None,21000000,21000000,None,None,None,None,63000000,None,23000000,None,None,-35000000
2010-01-31,USD,1366000000,None,None,None,None,305000000,158000000,None,1791000000,None,-102000000,-146000000,None,None,None,None,21000000,21000000,None,None,None,None,0,None,11000000,None,None,466000000
2010-04-30,USD,-149000000,None,None,None,None,287000000,60000000,-67000000,-306000000,None,-44000000,-512000000,None,None,None,None,21000000,21000000,None,None,None,None,-1000000,None,29000000,227000000,None,23000000
2010-07-31,USD,437000000,None,None,None,None,288000000,106000000,43000000,288000000,None,-80000000,-130000000,None,None,None,None,21000000,21000000,None,None,None,None,15000000,None,3000000,-493000000,None,147000000
2010-10-31,USD,58000000,None,None,None,None,290000000,142000000,-98000000,-1897000000,None,-161000000,-390000000,None,None,None,None,21000000,21000000,None,None,None,None,92000000,None,23000000,749000000,None,10000000
2011-01-31,USD,1160000000,None,None,None,None,285000000,197000000,113000000,1772000000,None,-180000000,-231000000,None,None,None,None,21000000,21000000,None,None,None,None,13000000,None,11000000,-312000000,None,667000000
2011-04-30,USD,67000000,None,None,None,None,268000000,94000000,-77000000,-401000000,None,-64000000,-315000000,None,None,None,None,21000000,21000000,None,None,None,None,-2000000,None,16000000,343000000,None,131000000
2011-07-31,USD,520000000,None,None,None,None,268000000,158000000,-8000000,211000000,None,-158000000,-19000000,None,None,None,None,43000000,43000000,None,None,None,None,50000000,None,21000000,-398000000,None,241000000
2011-10-31,USD,40000000,None,None,None,None,282000000,248000000,-65000000,-2210000000,None,-250000000,-188000000,None,None,None,None,42000000,42000000,None,None,None,None,-208000000,None,17000000,1730000000,None,139000000
2012-01-31,USD,1466000000,None,None,None,None,267000000,264000000,95000000,2041000000,None,-145000000,409000000,None,None,None,None,42000000,42000000,None,None,None,None,-292000000,None,16000000,-936000000,None,745000000
2012-04-30,USD,265000000,None,None,None,None,256000000,214000000,-81000000,-348000000,None,-202000000,-999000000,None,None,None,None,83000000,83000000,None,None,None,None,-246000000,None,21000000,-287000000,None,181000000
2012-07-31,USD,373000000,None,None,None,None,257000000,205000000,77000000,429000000,None,-191000000,-469000000,None,None,None,None,82000000,82000000,None,None,None,None,-369000000,None,10000000,-340000000,None,279000000
2012-10-31,USD,251000000,None,None,None,None,269000000,214000000,None,-2172000000,None,-222000000,-369000000,None,None,None,None,81000000,81000000,None,None,None,None,-403000000,None,16000000,None,None,145000000
2013-01-31,USD,1372000000,None,None,None,None,267000000,309000000,-84000000,1900000000,None,-248000000,-552000000,None,None,None,None,78000000,78000000,None,None,None,None,-379000000,None,14000000,572000000,None,730000000
2013-04-30,USD,298000000,None,None,None,None,251000000,115000000,78000000,-323000000,None,-107000000,-275000000,None,None,None,None,78000000,78000000,None,None,None,None,-336000000,None,17000000,-84000000,None,217000000
2013-07-31,USD,366000000,None,None,None,None,253000000,201000000,-37000000,274000000,None,-209000000,-485000000,None,None,None,None,95000000,95000000,None,None,None,None,-449000000,None,15000000,-328000000,None,281000000
2013-10-31,USD,155000000,None,None,None,None,257000000,245000000,61000000,-2359000000,None,-225000000,-183000000,None,None,None,None,94000000,94000000,None,None,None,None,-443000000,None,16000000,-253000000,None,177000000
2014-01-31,USD,1730000000,None,None,None,None,259000000,302000000,-160000000,2159000000,None,-247000000,-381000000,None,None,None,None,92000000,92000000,None,None,None,None,-343000000,None,14000000,1102000000,None,811000000
2014-04-30,USD,86000000,None,None,None,None,253000000,112000000,163000000,-340000000,None,-96000000,-385000000,None,None,None,None,92000000,92000000,None,None,None,None,-403000000,None,21000000,-395000000,None,224000000
2014-07-31,USD,560000000,None,None,None,None,254000000,249000000,-77000000,481000000,None,-192000000,-616000000,None,None,None,None,112000000,112000000,None,None,None,None,-519000000,None,17000000,-248000000,None,292000000
2014-10-31,USD,131000000,None,None,None,None,263000000,312000000,-132000000,-2373000000,None,-308000000,-405000000,None,None,None,None,110000000,110000000,None,None,None,None,-534000000,None,17000000,1198000000,None,217000000
2015-01-31,USD,1932000000,None,None,None,None,266000000,395000000,None,2272000000,None,-374000000,-360000000,None,None,None,None,107000000,107000000,None,None,None,None,-445000000,None,18000000,None,None,793000000
2015-04-30,USD,53000000,None,None,None,None,259000000,243000000,167000000,-511000000,None,-381000000,-409000000,None,None,None,None,106000000,106000000,None,None,None,None,-359000000,None,18000000,-737000000,None,193000000
2015-07-31,USD,345000000,None,None,None,None,261000000,268000000,134000000,434000000,None,-234000000,-777000000,None,None,None,None,121000000,121000000,None,None,None,None,-550000000,None,29000000,-369000000,None,217000000
2015-10-31,USD,-120000000,None,None,None,None,271000000,329000000,-271000000,-2523000000,None,-246000000,-3000000,None,None,None,None,117000000,117000000,None,None,None,None,-876000000,None,18000000,635000000,None,117000000
2016-01-31,USD,1706000000,None,None,None,None,270000000,273000000,122000000,2540000000,None,-231000000,-840000000,None,None,None,None,112000000,112000000,None,None,None,None,-216000000,None,None,-375000000,None,543000000
2016-04-30,USD,8000000,None,None,None,None,260000000,228000000,-23000000,-232000000,None,-211000000,-172000000,None,None,None,None,112000000,112000000,None,None,None,None,-130000000,None,16000000,266000000,None,115000000
2016-07-31,USD,552000000,None,None,None,None,260000000,216000000,138000000,416000000,None,-127000000,-159000000,None,None,None,None,116000000,116000000,None,None,None,None,1000000,None,21000000,-543000000,None,9000000
2016-10-31,USD,-252000000,None,None,None,None,267000000,237000000,-238000000,-2265000000,None,-153000000,-138000000,None,None,None,None,116000000,116000000,None,None,None,None,-100000000,None,19000000,840000000,None,15000000
2017-01-31,USD,1493000000,None,None,None,None,271000000,231000000,170000000,2188000000,None,304000000,-957000000,None,None,None,None,115000000,115000000,None,None,None,None,-86000000,None,5000000,-96000000,None,472000000
2017-04-30,USD,234000000,None,None,None,None,243000000,177000000,-51000000,-227000000,None,-60000000,-270000000,None,None,None,None,115000000,115000000,None,None,None,None,-1000000,None,13000000,-418000000,None,70000000
2017-07-31,USD,302000000,None,None,None,None,244000000,195000000,155000000,646000000,None,-153000000,-567000000,None,None,None,None,115000000,115000000,None,None,None,None,1000000,None,18000000,-249000000,None,113000000
2017-10-31,USD,-147000000,None,None,None,None,254000000,178000000,None,-2084000000,None,-133000000,31000000,None,None,None,None,116000000,116000000,None,None,None,None,1000000,None,15000000,None,None,33000000
2018-01-31,USD,1555000000,None,None,None,None,250000000,210000000,-154000000,1886000000,None,-27000000,-607000000,None,None,None,None,115000000,115000000,None,None,None,None,3000000,None,12000000,921000000,None,1320000000
2018-04-30,USD,322000000,None,None,None,None,235000000,190000000,105000000,-115000000,None,-156000000,-99000000,None,None,None,None,116000000,116000000,None,None,None,None,28000000,None,17000000,67000000,None,131000000
2018-07-31,USD,222000000,None,None,None,None,235000000,218000000,-17000000,336000000,None,-156000000,-537000000,None,None,None,None,116000000,116000000,None,None,None,None,10000000,None,14000000,-471000000,None,165000000
2018-10-31,USD,-115000000,None,None,None,None,248000000,269000000,75000000,-2190000000,None,-237000000,20000000,None,None,None,None,115000000,115000000,None,None,None,None,3000000,None,17000000,-332000000,None,62000000
2019-01-31,USD,1306000000,None,None,None,None,244000000,255000000,-224000000,1882000000,None,93000000,-928000000,None,None,None,None,116000000,116000000,None,None,None,None,4000000,None,15000000,471000000,None,740000000
2019-04-30,USD,-38000000,None,None,None,None,236000000,264000000,163000000,-235000000,None,-237000000,-158000000,None,None,None,None,116000000,116000000,None,None,None,None,6000000,None,14000000,-433000000,None,136000000
2019-07-31,USD,388000000,None,None,None,None,236000000,237000000,-3000000,469000000,None,-217000000,-239000000,None,None,None,None,117000000,117000000,None,None,None,None,6000000,None,14000000,-68000000,None,87000000
2019-10-31,USD,-178000000,None,None,None,None,253000000,311000000,64000000,-2227000000,None,-275000000,57000000,None,None,None,None,116000000,116000000,None,None,None,None,-1000000,None,12000000,-396000000,None,1000000
2020-01-31,USD,1436000000,None,None,None,None,256000000,345000000,-233000000,2068000000,None,-273000000,-783000000,None,None,None,None,117000000,117000000,None,None,None,None,5000000,None,-2000000,380000000,None,340000000
2020-04-30,USD,-164000000,None,None,None,None,237000000,160000000,236000000,265000000,None,-113000000,1148000000,None,None,None,None,117000000,117000000,None,None,None,None,None,None,6000000,871000000,None,-3581000000
2020-07-31,USD,157000000,None,None,None,None,235000000,129000000,None,1333000000,None,-159000000,-198000000,None,None,None,None,117000,117000,None,None,None,None,None,None,7000000,None,None,-431000000
2020-10-31,USD,251000000,None,None,None,None,250000000,97000000,None,-1564000000,None,-42000000,13000000,None,None,None,None,117000,117000,None,None,None,None,-1000000,None,8000000,None,None,-92000000
2021-01-31,USD,405000000,None,None,None,None,237000000,80000000,None,1372000000,None,-11000000,-264000000,None,None,None,None,0,0,None,None,None,None,-1000000,None,10000000,None,None,160000000
2021-04-30,USD,494000000,None,None,None,None,224000000,99000000,None,-457000000,None,-74000000,-300000000,None,None,None,None,46000000,46000000,None,None,None,None,None,None,11000000,None,None,103000000
2021-07-31,USD,471000000,None,None,None,None,220000000,131000000,None,-68000000,None,-70000000,-60000000,None,None,None,None,46000000,46000000,None,None,None,None,-294000000,None,11000000,None,None,345000000
2021-10-31,USD,-124000000,None,None,None,None,224000000,155000000,None,-1842000000,None,-59000000,-1711000000,None,None,None,None,46000000,46000000,None,None,None,None,-294000000,None,10000000,None,None,239000000
2022-01-31,USD,1871000000,None,None,None,None,206000000,212000000,None,1757000000,None,-167000000,-310000000,None,None,None,None,44000000,44000000,None,None,None,None,-206000000,None,23000000,None,None,743000000
2022-04-30,USD,248000000,None,None,None,None,206000000,261000000,None,-573000000,None,-194000000,-1094000000,None,None,None,None,45000000,45000000,None,None,None,None,-584000000,None,13000000,None,None,286000000
2022-07-31,USD,55000000,None,None,None,None,207000000,321000000,None,346000000,None,-321000000,-106000000,None,None,None,None,42000000,42000000,None,None,None,None,-17000000,None,17000000,None,None,275000000
2022-10-31,USD,185000000,None,None,None,None,225000000,401000000,None,-1792000000,None,-354000000,195000000,None,None,None,None,43000000,43000000,None,None,None,None,-601000000,None,14000000,None,None,107000000
2023-01-31,USD,1127000000,None,None,None,None,219000000,312000000,None,2135000000,None,-1169000000,-291000000,None,None,None,None,43000000,43000000,None,None,None,None,-601000000,None,10000000,None,None,509000000
