fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-11,0.23,0.23,0,0,pre-market
1996-06-30,1996-09-26,0.21,0.21,0,0,pre-market
1996-12-31,1997-02-06,0.4,0.38,0.02,5.2632,pre-market
1997-03-31,1997-04-17,0.28,0.27,0.01,3.7037,pre-market
1997-06-30,1997-07-10,0.3,0.3,0,0,pre-market
1997-09-30,1997-10-06,0.24,0.24,0,0,pre-market
1997-12-31,1998-02-05,0.44,0.44,0,0,pre-market
1998-03-31,1998-04-16,0.16,0.18,-0.02,-11.1111,pre-market
1998-06-30,1998-07-08,0.2,0.18,0.02,11.1111,pre-market
1998-09-30,1998-10-01,0.16,0.16,0,0,pre-market
1998-12-31,1999-02-03,0.22,0.21,0.01,4.7619,pre-market
1999-03-31,1999-04-15,0.2,0.18,0.02,11.1111,pre-market
1999-06-30,1999-07-08,0.21,0.21,0,0,pre-market
1999-09-30,1999-10-25,0.18,0.18,0,0,pre-market
1999-12-31,2000-02-04,0.22,0.22,0,0,pre-market
2000-03-31,2000-04-13,0.2,0.19,0.01,5.2632,pre-market
2000-06-30,2000-09-28,0.21,0.21,0,0,pre-market
2000-09-30,2000-10-25,0.21,0.21,0,0,pre-market
2000-12-31,2001-02-06,0.29,0.29,0,0,pre-market
2001-03-31,2001-04-17,0.23,0.22,0.01,4.5455,pre-market
2001-06-30,2001-07-12,0.25,0.27,-0.02,-7.4074,pre-market
2001-09-30,2001-10-04,0.19,0.19,0,0,pre-market
2001-12-31,2002-02-13,0.11,0.12,-0.01,-8.3333,pre-market
2002-03-31,2002-04-18,0.16,0.13,0.03,23.0769,pre-market
2002-06-30,2002-07-11,0.25,0.21,0.04,19.0476,pre-market
2002-09-30,2002-10-03,0.23,0.21,0.02,9.5238,pre-market
2002-12-31,2003-02-10,0.27,0.27,0,0,pre-market
2003-03-31,2003-04-24,0.18,0.18,0,0,pre-market
2003-06-30,2003-07-17,0.26,0.23,0.03,13.0435,pre-market
2003-09-30,2003-10-09,0.19,0.19,0,0,pre-market
2003-12-31,2004-02-10,0.34,0.3,0.04,13.3333,pre-market
2004-03-31,2004-04-22,0.23,0.21,0.02,9.5238,pre-market
2004-06-30,2004-07-15,0.33,0.3,0.03,10,pre-market
2004-09-30,2004-10-07,0.27,0.27,0,0,pre-market
2004-12-31,2005-02-08,0.39,0.37,0.02,5.4054,pre-market
2005-03-31,2005-04-21,0.3,0.28,0.02,7.1429,pre-market
2005-06-30,2005-07-14,0.42,0.38,0.04,10.5263,pre-market
2005-09-30,2005-10-06,0.35,0.32,0.03,9.375,pre-market
2005-12-31,2006-02-09,0.53,0.48,0.05,10.4167,pre-market
2006-03-31,2006-04-20,0.38,0.36,0.02,5.5556,pre-market
2006-06-30,2006-07-13,0.42,0.39,0.03,7.6923,pre-market
2006-09-30,2006-10-05,0.34,0.3,0.04,13.3333,pre-market
2006-12-31,2007-02-08,0.51,0.49,0.02,4.0816,pre-market
2007-03-31,2007-04-19,0.4,0.38,0.02,5.2632,pre-market
2007-06-30,2007-07-12,0.56,0.53,0.03,5.6604,pre-market
2007-09-30,2007-10-04,0.31,0.3,0.01,3.3333,pre-market
2007-12-31,2008-02-14,0.61,0.61,0,0,pre-market
2008-03-31,2008-04-17,0.33,0.32,0.01,3.125,pre-market
2008-06-30,2008-07-10,0.5,0.48,0.02,4.1667,pre-market
2008-09-30,2008-10-02,0.34,0.32,0.02,6.25,pre-market
2008-12-31,2009-02-12,0.34,0.39,-0.05,-12.8205,pre-market
2009-03-31,2009-04-23,0.24,0.13,0.11,84.6154,pre-market
2009-06-30,2009-07-16,0.23,0.21,0.02,9.5238,pre-market
2009-09-30,2009-10-08,0.15,0.13,0.02,15.3846,pre-market
2009-12-31,2010-02-11,0.32,0.26,0.06,23.0769,pre-market
2010-03-31,2010-04-22,0.22,0.2,0.02,10,pre-market
2010-06-30,2010-07-14,0.31,0.29,0.02,6.8966,pre-market
2010-09-30,2010-10-06,0.22,0.22,0,0,pre-market
2010-12-31,2011-02-14,0.39,0.36,0.03,8.3333,pre-market
2011-03-31,2011-04-20,0.26,0.27,-0.01,-3.7037,pre-market
2011-06-30,2011-07-13,0.37,0.37,0,0,pre-market
2011-09-30,2011-10-05,0.29,0.27,0.02,7.4074,pre-market
2011-12-31,2012-02-15,0.41,0.47,-0.06,-12.766,pre-market
2012-03-31,2012-04-18,0.3,0.29,0.01,3.4483,pre-market
2012-06-30,2012-07-11,0.42,0.42,0,0,pre-market
2012-09-30,2012-10-03,0.44,0.4,0.04,10,pre-market
2012-12-31,2013-02-19,0.56,0.55,0.01,1.8182,pre-market
2013-03-31,2013-05-01,0.43,0.4,0.03,7.5,pre-market
2013-06-30,2013-07-31,0.57,0.57,0,0,pre-market
2013-09-30,2013-10-30,0.52,0.45,0.07,15.5556,pre-market
2013-12-31,2014-02-19,0.49,0.49,0,0,pre-market
2014-03-31,2014-04-29,0.54,0.51,0.03,5.8824,pre-market
2014-06-30,2014-07-29,0.66,0.67,-0.01,-1.4925,pre-market
2014-09-30,2014-10-28,0.65,0.62,0.03,4.8387,post-market
2014-12-31,2015-02-18,0.68,0.65,0.03,4.6154,post-market
2015-03-31,2015-04-29,0.73,0.7,0.03,4.2857,post-market
2015-06-30,2015-07-29,0.82,0.81,0.01,1.2346,post-market
2015-09-30,2015-10-28,0.78,0.74,0.04,5.4054,post-market
2015-12-31,2016-02-17,0.77,0.76,0.01,1.3158,post-market
2016-03-31,2016-04-27,0.87,0.84,0.03,3.5714,post-market
2016-06-30,2016-07-27,1.03,0.98,0.05,5.102,post-market
2016-09-30,2016-11-07,0.91,0.88,0.03,3.4091,post-market
2016-12-31,2017-02-15,0.85,0.84,0.01,1.1905,post-market
2017-03-31,2017-05-08,1.01,0.91,0.1,10.989,post-market
2017-06-30,2017-08-07,1.08,1.02,0.06,5.8824,post-market
2017-09-30,2017-11-07,1.1,0.99,0.11,11.1111,post-market
2017-12-31,2018-02-14,1.12,1,0.12,12,post-market
2018-03-31,2018-05-08,1.34,1.22,0.12,9.8361,post-market
2018-06-30,2018-08-06,1.47,1.38,0.09,6.5217,post-market
2018-09-30,2018-11-05,1.7,1.31,0.39,29.771,post-market
2018-12-31,2019-02-28,1.44,1.39,0.05,3.5971,post-market
2019-03-31,2019-05-10,1.41,1.34,0.07,5.2239,pre-market
2019-06-30,2019-08-05,1.56,1.56,0,0,post-market
2019-09-30,2019-11-04,1.47,1.49,-0.02,-1.3423,post-market
2019-12-31,2020-02-26,1.57,1.47,0.1,6.8027,post-market
2020-03-31,2020-05-11,0.26,0.8,-0.54,-67.5,pre-market
2020-06-30,2020-08-10,-0.64,-0.42,-0.22,-52.381,pre-market
2020-09-30,2020-11-06,0.06,-0.08,0.14,175,pre-market
2020-12-31,2021-02-18,0.12,0.11,0.01,9.0909,pre-market
2021-03-31,2021-05-10,0.1,0.03,0.07,233.3333,pre-market
2021-06-30,2021-08-03,0.79,0.45,0.34,75.5556,pre-market
2021-09-30,2021-11-03,0.99,0.98,0.01,1.0204,pre-market
2021-12-31,2022-02-15,1.3,0.99,0.31,31.3131,pre-market
2022-03-31,2022-05-04,1.25,0.9,0.35,38.8889,pre-market
2022-06-30,2022-08-02,1.8,1.56,0.24,15.3846,pre-market
2022-09-30,2022-11-03,1.69,1.68,0.01,0.5952,pre-market
2022-12-31,2023-02-14,1.96,1.83,0.13,7.1038,pre-market
2023-03-31,2023-05-02,2.09,1.84,0.25,13.587,pre-market
2023-06-30,2023-08-01,2.26,2.18,0.08,3.6697,pre-market
