fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2013-06-30,USD,15992000,None,None,None,None,None,2994000,None,3336000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2816000
2013-09-30,USD,6060500,None,None,None,None,584500,648500,None,123000,None,-628500,-6709000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,656500
2013-12-31,USD,6060500,None,None,None,None,584500,648500,None,123000,None,-628500,-6709000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,656500
2014-03-31,USD,1489000,None,None,None,None,603000,1026000,None,-598000,None,-1025000,-1242000,None,None,None,None,None,None,None,None,None,None,None,None,1176000,None,None,1853000
2014-06-30,USD,8304000,None,None,None,None,700000,1098000,None,627000,None,-99000,-905000,None,None,None,None,44000000,44000000,None,None,None,None,91161000,None,2000,None,None,16761000
2014-09-30,USD,2400000,None,None,None,None,748000,912000,None,-943000,None,-912000,None,None,None,None,None,None,None,None,None,None,None,None,None,3226000,None,None,1418000
2014-12-31,USD,14037000,None,None,None,None,788000,745000,None,556000,None,-745000,-17731000,None,None,None,None,None,None,None,None,None,None,None,None,3121000,None,None,1474000
2015-03-31,USD,5523000,None,None,None,None,767000,972000,None,-1863000,None,-972000,-9856000,None,None,None,None,44000000,44000000,None,None,None,None,None,None,391000,None,None,105000
2015-06-30,USD,3294000,None,None,None,None,975000,838000,None,1618000,None,-848000,-5562000,None,None,None,None,44000000,44000000,None,None,None,None,91161000,None,-6738000,None,None,2537000
2015-09-30,USD,2868000,None,None,None,None,825000,627000,-1451000,-1301000,None,-627000,4430000,None,None,None,None,0,0,None,None,None,None,91070000,None,5425000,6671000,None,-1323000
2015-12-31,USD,8687000,None,None,None,None,842000,884000,None,1405000,None,-884000,4430000,None,None,None,None,0,0,None,None,None,None,0,None,6804000,None,None,1870000
2016-03-31,USD,11011000,None,None,None,None,878000,915000,None,-715000,None,-915000,-4166000,None,None,None,None,0,0,None,None,None,None,-4166000,None,1310000,None,None,4894000
2016-06-30,USD,8181000,None,None,None,None,899000,1391000,None,-1475000,None,-1391000,-28288000,None,None,None,None,79945000,79945000,None,None,None,None,-336000,None,148000,None,None,4769000
2016-09-30,USD,5042000,None,None,None,None,797000,455000,-2004000,462000,None,-455000,-4448000,None,None,None,None,0,0,None,None,None,None,-336000,None,119000,139000,None,6983000
2016-12-31,USD,7879000,None,None,None,None,825000,605000,None,1220000,None,-605000,-1120000,None,None,None,None,0,0,None,None,None,None,0,None,186000,None,None,4031000
2017-03-31,USD,8301000,None,None,None,None,820000,655000,None,-543000,None,-655000,-1445000,None,None,None,None,0,0,None,None,None,None,0,None,215000,None,None,2241000
2017-06-30,USD,5010000,None,None,None,None,789000,2420000,None,54000,None,-2420000,-11119000,None,None,None,None,0,0,None,None,None,None,-4000,None,191000,None,None,6315000
2017-09-30,USD,10166000,None,None,None,None,732000,505000,-3235000,-23000,None,-505000,-1019000,None,None,None,None,0,0,None,None,None,None,-43000,None,264000,8642000,None,7046000
2017-12-31,USD,12286000,None,None,None,None,1478000,969000,None,124000,None,-80001000,61285000,None,None,None,None,0,0,None,None,None,None,0,None,264000,None,None,8009000
2018-03-31,USD,13836000,None,None,None,None,1455000,1126000,None,-1845000,None,-2509000,-9077000,None,None,None,None,0,0,None,None,None,None,-35000,None,354000,None,None,11454000
2018-06-30,USD,13109000,None,None,None,None,1421000,2705000,None,-1010000,None,-2705000,-10995000,None,None,None,None,0,0,None,None,None,None,0,None,304000,None,None,13144000
2018-09-30,USD,3367000,None,None,None,None,1435000,3425000,-3861000,-1275000,None,-3422000,-1761000,None,None,None,None,0,0,None,None,None,None,-105000,None,384000,-1816000,None,8465000
2018-12-31,USD,24494000,None,None,None,None,1924000,2597000,8141000,3821000,None,-84324000,72231000,None,None,None,None,None,None,None,None,None,None,-41000,None,404000,12401000,None,10187000
2019-03-31,USD,11691000,None,None,None,None,2091000,4365000,-11383000,-2448000,None,-4365000,-20359000,None,None,None,None,None,None,None,None,None,None,-582000,None,371000,-13033000,None,12763000
2019-06-30,USD,16334000,None,None,None,None,2337000,3677000,5268000,-547000,None,-3675000,-12294000,None,None,None,None,None,None,None,None,None,None,None,None,519000,365000,None,-10061000
2019-09-30,USD,5242000,None,None,None,None,2371000,4328000,3210000,-4412000,None,-4314000,-343000,None,None,None,None,None,None,None,None,None,None,-343000,None,512000,585000,None,8623000
2019-12-31,USD,14602000,None,None,None,None,2682000,7163000,4957000,5362000,None,-7163000,-8402000,None,None,None,None,None,None,None,None,None,None,None,None,32000,-963000,None,6879000
2020-03-31,USD,4056000,None,None,None,None,2771000,2110000,None,-950000,None,-2099000,33586000,None,None,None,None,None,None,None,None,None,None,None,None,159000,35543000,None,-36713000
2020-06-30,USD,6298000,None,None,None,None,2841000,640000,-1876000,3802000,None,-642000,-30328000,None,None,None,None,None,None,None,None,None,None,None,None,358000,-24672000,None,-2836000
2020-09-30,USD,7372000,None,None,None,None,2739000,2042000,None,-28561000,None,-2042000,-12791000,None,None,None,None,None,None,None,None,None,None,None,None,640000,-7461000,None,9567000
