fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,5845000,None,None,None,None,2396000,7984000,None,-3138000,None,-6747000,503000,None,None,None,None,None,None,None,None,None,None,-420000,None,244000,None,None,5082000
2007-12-31,USD,7954000,None,None,None,None,3471000,7965000,None,-926000,None,-7969000,1125000,None,None,None,None,None,None,None,None,None,None,-309000,None,90000,None,None,3837000
2008-12-31,USD,5496000,None,None,None,None,4574000,7442000,None,-4675000,None,-7313000,1463000,None,None,None,None,None,None,None,None,None,None,None,None,852000,None,None,5435000
2009-12-31,USD,20313000,None,None,None,None,5267000,5353000,None,2624000,None,-7932000,-1514000,None,None,None,None,1840000,1840000,None,None,None,None,-102000,None,None,None,None,11963000
2010-12-31,USD,28769000,None,None,None,None,5859000,12055000,None,-8302000,None,-23541000,1333000,None,None,None,None,398000,398000,None,None,None,None,-35000,None,2678000,None,None,19611000
2011-12-31,USD,34870000,None,None,None,None,8344000,14660000,-854000,-435000,None,-16874000,-20899000,None,None,None,None,0,0,None,None,None,None,-20389000,None,2524000,-2903000,None,18541000
2012-12-31,USD,40264000,None,None,None,None,11205000,11383000,-671000,-835000,None,-11664000,-2925000,None,None,None,None,0,0,None,None,None,None,-2764000,None,2850000,25675000,None,15876000
2013-12-31,USD,42360000,None,None,None,None,11382000,11606000,902000,2745000,None,-22602000,-23313000,None,None,None,None,0,0,None,None,None,None,-20081000,None,3209000,-3555000,None,23969000
2014-12-31,USD,25536000,None,None,None,None,8052000,7024000,-708000,1802000,None,-2518000,-34941000,None,None,None,None,11889000,11889000,None,None,None,None,-35046000,None,3918000,-11923000,None,21029000
2015-12-31,USD,29411000,None,None,None,None,7115000,2819000,17000,2400000,None,-189000,-11731000,None,None,None,None,11889000,11889000,None,None,None,None,-11812000,None,3081000,17578000,87000,19567000
2016-12-31,USD,25350000,None,None,None,None,5405000,2876000,246000,-4976000,None,-2037000,-12921000,None,None,None,None,11889000,11889000,None,None,None,None,-1342000,None,3428000,10399000,7000,17835000
2017-12-31,USD,43237000,None,None,None,None,4209000,3242000,815000,-1017000,None,-3163000,-17362000,None,None,None,None,15390000,15390000,None,None,None,None,-2540000,None,4267000,22641000,-71000,27721000
2018-12-31,USD,60816000,None,None,None,None,4435000,4940000,122000,-18658000,None,-1199000,-53328000,None,None,None,None,23160000,23160000,None,None,None,None,-30715000,None,3124000,6287000,-2000,55789000
2019-12-31,USD,84261000,None,None,None,None,4624000,10058000,-4064000,-9883000,None,-6328000,-82324000,None,None,None,None,35396000,35396000,None,None,None,None,-47206000,None,4520000,-4390000,1000,77916000
2020-12-31,USD,145196000,None,None,None,None,7270000,5887000,297000,-4621000,None,-1282000,-57144000,None,None,None,None,53190000,53190000,None,None,None,None,-5551000,None,6796000,86749000,-21000,102859000
2021-12-31,USD,94545000,None,None,None,None,6812000,34209000,None,-126651000,None,-29064000,-125133000,None,None,None,None,63856000,63856000,None,None,None,None,-62088000,None,9903000,-59652000,None,164031000
2022-12-31,USD,194570000,None,None,None,None,10980000,16681000,None,61187000,None,-11414000,-199581000,None,None,None,None,71620000,71620000,None,None,None,None,-127961000,None,11053000,-16425000,None,143568000
2023-12-31,USD,147657000,None,None,None,None,13107000,6483000,None,64265000,None,-61047000,-79789000,None,None,None,None,73017000,73017000,None,None,None,None,-6960000,None,8188000,None,None,99415000
2024-12-31,USD,24476000,None,None,None,None,17400000,7454000,None,12170000,None,-26520000,-1515000,None,None,None,None,715000,715000,None,None,None,None,-836000,None,7363000,None,None,2091000
2025-12-31,USD,6863000,None,None,None,None,14242000,5614000,None,22193000,None,-7928000,-564000,None,None,None,None,195000,195000,None,None,None,None,-369000,None,7639000,None,None,-18672000
