fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2005-12-31,USD,384628000,None,None,None,None,170159000,331661000,None,-5621000,None,-242467000,-29670000,None,None,None,None,415000000,415000000,None,None,None,None,-132350000,None,12222000,None,None,97799000
2006-03-31,USD,139755000,None,None,None,None,154508000,355394000,None,-5627000,None,-355886000,135232000,None,None,None,None,None,None,None,None,None,None,-38484000,None,23405000,None,None,144037000
2006-06-30,USD,278296000,None,None,None,None,164611000,439554000,None,-1293000,None,-292265000,11927000,None,None,None,None,None,None,None,None,None,None,-102554000,None,-100776000,None,None,146394000
2006-09-30,USD,358245000,None,None,None,None,163097000,589516000,None,808000,None,-567039000,257518000,None,None,None,None,None,None,None,None,None,None,-105854000,None,42901000,None,None,156262000
2006-12-31,USD,441118000,None,None,None,None,168607000,499589000,None,-4319000,None,-437237000,105347000,None,None,None,None,555558000,555558000,None,None,None,None,246892000,None,73626000,None,None,201571000
2007-03-31,USD,258091000,None,None,None,None,166545000,580689000,None,-6815000,None,-543558000,146490000,None,None,None,None,750000000,750000000,None,None,None,None,-174586000,None,13827000,None,None,168173000
2007-06-30,USD,419957000,None,None,None,None,172929000,1210020000,None,-790000,None,-785440000,349160000,None,None,None,None,None,None,None,None,None,None,None,None,-315459000,None,None,360172000
2007-09-30,USD,19340000,None,None,None,None,163964000,692200000,None,868000,None,-629318000,627096000,None,None,None,None,None,None,None,None,None,None,None,None,-66535000,None,None,183863000
2007-12-31,USD,297028000,None,None,None,None,201194000,434500000,None,-1774000,None,2167617000,-2363283000,None,None,None,None,2556800000,2556800000,None,None,None,None,-652179000,None,45678000,None,None,872211000
2008-03-31,USD,-123294000,None,None,None,None,194970000,249343000,None,1973000,None,-473664000,512313000,None,None,None,None,2112658000,2112658000,None,None,None,None,-1107166000,None,11203000,None,None,118346000
