fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,124179000,93595000,54456000,54456000,29556000,3814000,30584000,16641000,None,465000,465000,3308000,None,None,652000,5117000,None,22778000,17089000,3455000,None,None,10887000,5689000,None,239000,None,None,None,13634000,None,101401000,None,84875000,3791000,39065385
2007-12-31,USD,118726000,55028000,3233000,3233000,33159000,4861000,63698000,15944000,None,465000,465000,3308000,None,None,8870000,4905000,None,24969000,18915000,4621000,None,None,11324000,6054000,None,257000,None,None,None,12011000,None,93757000,None,90105000,3602000,38193023
2008-12-31,USD,110293000,46710000,4622000,4622000,22453000,8039000,63583000,14579000,None,465000,465000,3308000,None,None,8799000,2797000,None,19504000,13718000,1437000,None,None,7535000,5786000,None,275000,None,None,None,12281000,None,90789000,None,88535000,3643000,35167000
2009-12-31,USD,98249000,56748000,2573000,2573000,19487000,7569000,41501000,13310000,None,465000,465000,3308000,None,None,23328000,3791000,None,16737000,10683000,1972000,None,None,None,6054000,None,294000,None,None,None,8711000,None,81512000,None,78690000,3688000,35964000
2010-12-31,USD,102809000,48273000,9535000,9535000,21882000,1659000,54536000,12416000,None,465000,465000,3308000,None,None,12826000,2371000,None,16504000,10500000,1884000,None,None,None,6004000,None,312000,None,None,None,8616000,None,86305000,None,83222000,3708000,36668000
2011-12-31,USD,110837000,42955000,956000,956000,24907000,2209000,67882000,11884000,None,465000,465000,3308000,None,41699000,12402000,2481000,None,17419000,10654000,2992000,None,None,None,6765000,None,352000,None,None,None,7662000,6765000,93418000,0,89953000,3738000,36735000
2012-12-31,USD,97315000,36035000,1648000,1648000,28159000,2188000,61280000,11470000,None,465000,465000,3308000,None,35773000,1150000,2890000,None,19568000,13246000,4246000,None,None,6970000,6322000,None,0,None,None,None,7611000,6322000,77747000,0,73120000,3782000,36804000
2013-12-31,USD,102231000,44931000,5114000,5114000,28704000,2046000,57300000,11265000,None,465000,465000,3308000,None,30949000,5639000,4005000,None,20482000,13974000,5569000,None,None,8093000,6508000,None,0,None,None,None,8157000,6508000,81749000,0,75209000,3810000,37144000
2014-12-31,USD,103823000,43222000,4072000,4072000,28819000,2492000,60601000,9890000,None,465000,465000,3308000,None,33831000,3653000,4186000,None,20329000,13208000,3577000,None,None,8442000,7121000,None,0,None,None,None,8925000,7121000,83494000,0,77755000,3813000,37228000
2015-12-31,USD,110677000,52644000,7986000,7986000,32638000,2076000,58033000,12761000,None,465000,465000,3308000,None,27129000,7825000,2119000,None,20465000,13798000,3681000,None,None,8774000,6667000,None,0,None,None,None,9396000,6667000,90212000,0,84423000,3811000,37147000
