fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,66371904,231442792,165070888,165070888,17061020,50360077,0,49310884,None,None,None,4695427,None,None,None,7512801,13071933,4382000,None,0,None,17061020,24573821,8689933
2006-03-31,USD,69404801,244857232,175452431,175452431,20463796,48941006,0,48941005,None,None,None,3950000,None,None,None,8603038,16514244,5717000,None,0,None,20463796,29066834,10797244
2006-06-30,USD,72362043,238219569,165857526,165857526,-90937387,53476203,0,163299430,None,None,None,4216506,None,None,None,8385059,-95153893,4824000,None,0,None,14793381,23178440,-99977893
2006-09-30,USD,47019766,185838030,138818264,138818264,10919492,36100274,0,36100274,None,None,None,4022429,None,None,None,4625759,6897063,2662960,None,0,None,10919492,15545251,6056430
2006-12-31,USD,51759177,194329905,142570728,142570728,14331680,37427497,0,37427497,None,None,None,3821517,None,None,None,6598668,10656506,3325143,None,0,None,14331680,20930348,14100063
2007-03-31,USD,73765735,246470531,172704796,172704796,26956863,46808872,0,46808872,None,None,None,3821517,None,None,None,8714884,23391375,8654000,None,0,None,26956863,35671747,32525021
2007-06-30,USD,57827630,225621571,167793941,167793941,8110211,49717419,0,49717419,None,None,None,4421869,None,None,None,9525432,3688342,1175000,None,0,None,8110211,17635643,2513342
2007-09-30,USD,51786319,213920711,162134392,162134392,6429996,45356323,0,45356323,None,None,None,3945119,None,None,None,10621215,2484877,980000,None,0,None,6429996,17051211,1504877
2007-12-31,USD,52305969,232780147,180474178,180474178,4304330,48001639,0,48001639,None,None,None,3851690,None,None,None,8865478,27486537,9294000,None,0,None,4304330,13169808,18192537
2008-03-31,USD,59959965,249346160,189386195,189386195,16760982,43198983,0,43198983,None,None,None,3000498,None,None,None,10094571,13760484,5112228,None,0,None,16760982,26855553,10380283
2008-06-30,USD,49392612,214608587,165215975,165215975,7386179,42006434,0,42006434,None,None,None,2777588,None,None,None,10082643,4608591,1728341,None,0,None,7386178,17468821,2880250
