fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,408927000,1976309000,1567382000,1567382000,32580000,None,None,368347000,None,None,None,136478000,None,None,None,119097000,-5813000,171479000,None,None,None,5579000,124676000,-130899000
2007-12-31,USD,479875000,2172815000,1692940000,1692940000,42214000,None,None,435096000,None,None,None,175409000,None,None,None,148003000,-55502000,271741000,None,None,None,-51553000,96450000,-226962000
2008-12-31,USD,527920000,2106401000,1578481000,1578481000,-63247000,None,None,462392000,None,None,None,152364000,None,None,None,162565000,-191010000,277331000,None,None,None,-59439000,103126000,-211803000
2009-12-31,USD,565750000,1855204000,1289454000,1289454000,171374000,61000,None,394376000,None,None,None,115350000,None,None,None,169701000,181747000,104141000,None,None,None,182583000,352284000,66952000
2010-12-31,USD,664830000,2012128000,1347298000,1347298000,230241000,246000,None,434589000,None,None,None,173772000,None,None,None,170191000,196289000,207624000,None,None,None,196389000,366580000,22986000
2011-12-31,USD,751448000,2219324000,1467876000,1467876000,316112000,251351000,None,435336000,None,None,None,190225000,None,None,None,211049000,126859000,192441000,None,None,None,317084000,528133000,126859000
2012-12-31,USD,797813000,2276246000,1478433000,1478433000,357093000,251183000,None,440720000,None,None,None,189930000,None,None,None,216137000,168556000,191323000,None,None,None,358486000,574623000,168556000
2013-12-31,USD,912635000,2570294000,1657659000,1657659000,395887000,516748000,0,516748000,None,None,None,282602000,None,1403000,None,245111000,114688000,11802000,None,102886000,None,397290000,642401000,101714000
2014-12-31,USD,1179257000,3125881000,1946624000,1946624000,502941000,403169000,0,676316000,None,None,None,151754000,None,-10853000,None,304877000,340334000,-2267000,None,342601000,None,492088000,796965000,338352000
2015-12-31,USD,1689599000,4345048000,2655449000,2655449000,702486000,554999000,0,987113000,None,None,237579000,221909000,None,-46668000,None,450335000,433909000,6772000,None,427137000,None,655818000,1106153000,427137000
2016-12-31,USD,2024115000,4874340000,2850225000,2850225000,925464000,666156000,0,1098651000,None,-276859000,296112000,276859000,None,-8302000,None,449216000,640303000,7218000,None,633085000,None,921108000,1370324000,633085000
2017-12-31,USD,2332531000,5396175000,3063644000,3063644000,1048819000,773755000,0,1283712000,None,-267804000,268194000,267804000,None,-10401000,None,525561000,770614000,10742000,None,759872000,None,1041415000,1566976000,759872000
2018-12-31,USD,2678050000,6055126000,3377076000,3377076000,1219061000,897929000,0,1458989000,None,-270404000,270404000,270404000,None,20653000,None,563509000,969310000,14467000,None,954843000,None,1238863000,1802372000,954843000
2019-12-31,USD,2799115000,6462376000,3663261000,3663261000,1178077000,974850000,None,1621038000,None,-272867000,256191000,257337000,None,6155000,None,644040000,911365000,-18863000,None,930228000,None,1168702000,1812742000,930228000
2020-12-31,USD,-413153000,1279908000,1693061000,1693061000,-3484135000,745345000,None,3070982000,None,-482313000,454518000,482313000,None,-33599000,None,739619000,-4000047000,12467000,None,-4012514000,None,-3517734000,-2778115000,-4012514000
2021-12-31,USD,-960051000,647986000,1608037000,1608037000,-2552348000,891452000,None,1592297000,None,-2072925000,None,2072925000,None,123953000,None,758604000,-4501320000,5267000,None,-4506587000,None,-2428395000,-1669791000,-4506587000
2022-12-31,USD,576674000,4843760000,4267086000,4267086000,-1551757000,1379105000,None,2128431000,None,-801512000,None,801512000,None,None,None,810053000,-2276703000,-6794000,None,-2269909000,None,-1475191000,-665138000,-2269909000
2023-12-31,USD,3081337000,8549924000,5468587000,5468587000,930911000,1392127000,None,2150426000,None,-707270000,None,727531000,None,None,None,883236000,163176000,-3002000,None,-209817000,None,890707000,1773943000,166178000
2024-12-31,USD,3790955000,9479651000,5688696000,5688696000,1465906000,1434807000,None,2325049000,None,-747223000,None,747223000,None,None,None,973512000,772907000,-137350000,None,910257000,None,1520130000,2493642000,910257000
2025-12-31,USD,3141680000,9827592000,6685912000,6685912000,1592874000,1548806000,None,1548806000,None,-953506000,None,2230123000,None,None,None,1145633000,428721000,5475000,None,423246000,None,1592874000,2738507000,423246000
